date,value
2015-01-02,49.65
2015-01-09,49.5
2015-01-16,50.47
2015-01-23,51.678
2015-01-30,52.87
2015-02-06,53.05
2015-02-13,52.66
2015-02-20,55.055
2015-02-27,55.536
2015-03-06,56.13
2015-03-13,56.506
2015-03-20,57.6704
2015-03-27,57.81
2015-04-03,57.1
2015-04-10,58.6
2015-04-17,57.99
2015-04-24,59.3595
2015-05-01,57.9099
2015-05-08,58.1491
2015-05-15,58.29
2015-05-22,58.5872
2015-05-29,57.16
2015-06-05,56.83
2015-06-12,56.75
2015-06-19,56.6444
2015-06-26,57.08
2015-07-03,56.55
2015-07-10,55.83
2015-07-17,57.874
2015-07-24,57.59
2015-07-31,58.1472
2015-08-07,58.6608
2015-08-14,58.778
2015-08-21,55.21
2015-08-28,56.11
2015-09-04,52.9628
2015-09-11,53.93
2015-09-18,53.28
2015-09-25,53.94
2015-10-02,53.82
2015-10-09,55.1864
2015-10-16,55.885
2015-10-23,57.0224
2015-10-30,56.95
2015-11-06,56.81
2015-11-13,56.54
2015-11-20,57.89
2015-11-27,57.368
2015-12-04,56.97
2015-12-11,55.76
2015-12-18,56.58
2015-12-25,56.64
2016-01-01,56.9975
2016-01-08,55.0899
2016-01-15,53.88
2016-01-22,54.06
2016-01-29,55.77
2016-02-05,54.75
2016-02-12,52.9182
2016-02-19,54.35
2016-02-26,55.83
2016-03-04,56.84
2016-03-11,56.8086
2016-03-18,56.65
2016-03-25,56.79
2016-04-01,55.79
2016-04-08,57.2781
2016-04-15,58.549
2016-04-22,59.54
2016-04-29,57.17
2016-05-06,58.0201
2016-05-13,58.0487
2016-05-20,57.84
2016-05-27,58.05
2016-06-03,58.475
2016-06-10,58.3524
2016-06-17,57.65
2016-06-24,57.4567
2016-07-01,59.08
2016-07-08,60.2146
2016-07-15,59.3
2016-07-22,59.63
2016-07-29,60.49
2016-08-05,59.8309
2016-08-12,60.433
2016-08-19,59.28
2016-08-26,59.48
2016-09-02,59.61
2016-09-09,59.49
2016-09-16,59.07
2016-09-23,61.7873
2016-09-30,61.52
2016-10-07,60.0207
2016-10-14,59.7399
2016-10-21,60.551
2016-10-28,60.58
2016-11-04,60.155
2016-11-11,58.57
2016-11-18,58.0805
2016-11-25,57.82
2016-12-02,57.9664
2016-12-09,58.66
2016-12-16,57.9768
2016-12-23,57.3986
2016-12-30,56.91
2017-01-06,58.743
2017-01-13,59.06
2017-01-20,58.4
2017-01-27,58.3755
2017-02-03,58.87
2017-02-10,58.98
2017-02-17,58.5506
2017-02-24,59.46
2017-03-03,58.9628
2017-03-10,59.08
2017-03-17,59.85
2017-03-24,60.55
2017-03-31,59.7
2017-04-07,59.87
2017-04-14,59.75
2017-04-21,60.34
2017-04-28,60.255
2017-05-05,60.8241
2017-05-12,61.13
2017-05-19,62.4
2017-05-26,62.42
2017-06-02,64.1
2017-06-09,63.075
2017-06-16,63.84
2017-06-23,63.615
2017-06-30,62.4
2017-07-07,61.3398
2017-07-14,62.1104
2017-07-21,63.18
2017-07-28,63.2611
2017-08-04,64.08
2017-08-11,63.45
2017-08-18,63.74
2017-08-25,63.6862
2017-09-01,64.0316
2017-09-08,64.3308
2017-09-15,64.195
2017-09-22,63.898
2017-09-29,64.3021
2017-10-06,64.223
2017-10-13,66.03
