date,value
2015-01-02,48.2008
2015-01-09,47.61
2015-01-16,48.44
2015-01-23,49.18
2015-01-30,49.256
2015-02-06,49.9208
2015-02-13,51.12
2015-02-20,52.51
2015-02-27,52.85
2015-03-06,52.8206
2015-03-13,53.51
2015-03-20,54.8665
2015-03-27,54.74
2015-04-03,54.58
2015-04-10,55.3985
2015-04-17,55.54
2015-04-24,57.2165
2015-05-01,55.93
2015-05-08,56.6473
2015-05-15,57.94
2015-05-22,57.5299
2015-05-29,56.1601
2015-06-05,56.06
2015-06-12,55.66
2015-06-19,55.5
2015-06-26,56.43
2015-07-03,55.56
2015-07-10,54.4499
2015-07-17,55.74
2015-07-24,54.947
2015-07-31,55.448
2015-08-07,55.59
2015-08-14,55.6296
2015-08-21,52.13
2015-08-28,53.14
2015-09-04,49.51
2015-09-11,50.19
2015-09-18,49.5699
2015-09-25,50.3586
2015-10-02,50.2468
2015-10-09,52.2093
2015-10-16,52.6875
2015-10-23,54.0364
2015-10-30,53.52
2015-11-06,54.105
2015-11-13,53.9023
2015-11-20,54.84
2015-11-27,54.582
2015-12-04,53.89
2015-12-11,52.05
2015-12-18,52.71
2015-12-25,52.52
2016-01-01,52.54
2016-01-08,49.7986
2016-01-15,48.4
2016-01-22,48.98
2016-01-29,49.41
2016-02-05,47.79
2016-02-12,44.97
2016-02-19,46.97
2016-02-26,48.2501
2016-03-04,50.212
2016-03-11,50.42
2016-03-18,50.03
2016-03-25,49.406
2016-04-01,48.62
2016-04-08,49.3101
2016-04-15,51.32
2016-04-22,52.9999
2016-04-29,49.62
2016-05-06,50.35
2016-05-13,50.272
2016-05-20,50.64
2016-05-27,50.9201
2016-06-03,51.0499
2016-06-10,50.6
2016-06-17,50.0599
2016-06-24,49.45
2016-07-01,50.1549
2016-07-08,50.5
2016-07-15,51.28
2016-07-22,51.54
2016-07-29,52.44
2016-08-05,52.37
2016-08-12,53.686
2016-08-19,52.93
2016-08-26,53.18
2016-09-02,53.696
2016-09-09,53.31
2016-09-16,52.254
2016-09-23,54.78
2016-09-30,54.33
2016-10-07,53.94
2016-10-14,53.562
2016-10-21,54.508
2016-10-28,54.73
2016-11-04,53.83
2016-11-11,53.67
2016-11-18,53.52
2016-11-25,53.5626
2016-12-02,53.62
2016-12-09,55.23
2016-12-16,54.0125
2016-12-23,53.581
2016-12-30,53.02
2017-01-06,54.554
2017-01-13,54.99
2017-01-20,54.4926
2017-01-27,54.99
2017-02-03,55.26
2017-02-10,55.7
2017-02-17,55.6272
2017-02-24,55.99
2017-03-03,55.7516
2017-03-10,55.879
2017-03-17,56.36
2017-03-24,56.423
2017-03-31,55.84
2017-04-07,55.3
2017-04-14,55.07
2017-04-21,55.995
2017-04-28,56.38
2017-05-05,57.22
2017-05-12,56.926
2017-05-19,57.79
2017-05-26,57.71
2017-06-02,59.6299
2017-06-09,58.7
2017-06-16,58.78
2017-06-23,58.605
2017-06-30,58.3038
2017-07-07,57.5784
2017-07-14,58.35
2017-07-21,59.01
2017-07-28,59.26
2017-08-04,60.04
2017-08-11,59.0496
2017-08-18,59.25
2017-08-25,59.11
2017-09-01,59.34
2017-09-08,59.77
2017-09-15,59.8658
2017-09-22,60.03
2017-09-29,60.41
2017-10-06,60.595
2017-10-13,62.2
2017-10-20,62.2798
2017-10-27,63.332
2017-11-03,64.06
2017-11-10,64.17
2017-11-17,63.8
2017-11-24,65.09
2017-12-01,64.715
2017-12-08,64.75
2017-12-15,65.1621
2017-12-22,64.95
2017-12-29,64.94
2018-01-05,67.19
2018-01-12,68.4699
2018-01-19,69.04
2018-01-26,70.06
2018-02-02,67.63
2018-02-09,64.23
2018-02-16,66.5701
2018-02-23,66.9199
2018-03-02,64.89
2018-03-09,65.761
2018-03-16,65.8249
2018-03-23,63.27
2018-03-30,65.872
2018-04-06,64.59
2018-04-13,65.25
2018-04-20,65.6501
2018-04-27,65.84
2018-05-04,65.8122
2018-05-11,66.2443
2018-05-18,66.05
2018-05-25,65.08
2018-06-01,65.2
2018-06-08,65.86
2018-06-15,65.35
2018-06-22,63.96
2018-06-29,62.8794
2018-07-06,61.92
2018-07-13,62.1
2018-07-20,62.7887
2018-07-27,64.31
2018-08-03,63.12
2018-08-10,61.87
2018-08-17,61.7897
2018-08-24,62.12
2018-08-31,62.5038
2018-09-07,61.0788
2018-09-14,62.73
2018-09-21,64.8493
2018-09-28,65.0
2018-10-05,63.73
2018-10-12,61.07
2018-10-19,61.2457
2018-10-26,58.13
2018-11-02,58.84
2018-11-09,59.1501
2018-11-16,58.8208
2018-11-23,58.3736
2018-11-30,59.62
2018-12-07,57.78
2018-12-14,56.9165
2018-12-21,53.19
2018-12-28,54.72
2019-01-04,56.45
2019-01-11,56.5463
2019-01-18,58.16
2019-01-25,57.84
2019-02-01,58.0506
2019-02-08,56.5983
2019-02-15,58.59
2019-02-22,58.79
2019-03-01,58.7059
2019-03-08,57.3789
2019-03-15,58.4036
2019-03-22,58.4055
2019-03-29,59.0059
2019-04-05,59.49
2019-04-12,59.0497
2019-04-19,59.2884
2019-04-26,59.37
2019-05-03,59.9924
2019-05-10,57.93
2019-05-17,57.6646
2019-05-24,57.746
2019-05-31,56.51
2019-06-07,58.2705
2019-06-14,57.9348
2019-06-21,58.4216
2019-06-28,58.52
2019-07-05,59.42
2019-07-12,59.13
2019-07-19,58.5974
2019-07-26,58.6279
2019-08-02,57.8465
2019-08-09,57.4698
2019-08-16,57.2637
2019-08-23,56.45
2019-08-30,57.6
2019-09-06,58.8242
2019-09-13,61.0016
2019-09-20,61.17
2019-09-27,60.7093
2019-10-04,60.92
2019-10-11,61.46
2019-10-18,61.6635
2019-10-25,62.4842
2019-11-01,63.79
2019-11-08,64.3642
2019-11-15,64.1477
2019-11-22,64.1069
2019-11-29,63.95
2019-12-06,65.3177
2019-12-13,65.4262
2019-12-20,64.3706
2019-12-27,64.1569
2020-01-03,63.8159
