date,value
2015-01-02,38.0399
2015-01-09,36.03
2015-01-16,34.58
2015-01-23,35.24
2015-01-30,34.27
2015-02-06,36.66
2015-02-13,37.31
2015-02-20,37.2557
2015-02-27,37.2
2015-03-06,37.58
2015-03-13,37.8
2015-03-20,37.99
2015-03-27,36.68
2015-04-03,37.29
2015-04-10,37.42
2015-04-17,37.36
2015-04-24,37.41
2015-05-01,38.04
2015-05-08,38.65
2015-05-15,38.69
2015-05-22,39.22
2015-05-29,38.9337
2015-06-05,40.02
2015-06-12,40.68
2015-06-19,40.2402
2015-06-26,40.56
2015-07-03,39.84
2015-07-10,39.54
2015-07-17,40.83
2015-07-24,40.39
2015-07-31,40.34
2015-08-07,40.34
2015-08-14,40.36
2015-08-21,37.69
2015-08-28,37.54
2015-09-04,36.145
2015-09-11,36.89
2015-09-18,35.72
2015-09-25,36.27
2015-10-02,35.75
2015-10-09,36.51
2015-10-16,36.66
2015-10-23,37.77
2015-10-30,37.45
2015-11-06,39.54
2015-11-13,38.07
2015-11-20,39.2
2015-11-27,39.24
2015-12-04,39.68
2015-12-11,37.25
2015-12-18,36.95
2015-12-25,38.09
2016-01-01,37.59
2016-01-08,34.11
2016-01-15,32.7
2016-01-22,32.01
2016-01-29,32.81
2016-02-05,31.6
2016-02-12,30.7
2016-02-19,31.34
2016-02-26,31.82
2016-03-04,33.8
2016-03-11,33.73
2016-03-18,33.9
2016-03-25,33.34
2016-04-01,33.3099
2016-04-08,32.1
2016-04-15,34.39
2016-04-22,36.16
2016-04-29,35.6
2016-05-06,34.5
2016-05-13,34.08
2016-05-20,35.52
2016-05-27,36.7
2016-06-03,36.05
2016-06-10,35.23
2016-06-17,33.93
2016-06-24,32.67
2016-07-01,33.08
2016-07-08,33.17
2016-07-15,34.61
2016-07-22,34.75
2016-07-29,35.06
2016-08-05,36.1
2016-08-12,35.63
2016-08-19,36.24
2016-08-26,36.64
2016-09-02,37.49
2016-09-09,36.95
2016-09-16,36.18
2016-09-23,36.65
2016-09-30,36.48
2016-10-07,37.55
2016-10-14,36.7
2016-10-21,37.98
2016-10-28,38.43
2016-11-04,37.87
2016-11-11,42.65
2016-11-18,44.28
2016-11-25,44.87
2016-12-02,45.58
2016-12-09,48.42
2016-12-16,47.1463
2016-12-23,47.9
2016-12-30,47.27
2017-01-06,47.72
2017-01-13,47.9
2017-01-20,46.54
2017-01-27,47.8
2017-02-03,47.97
2017-02-10,48.0
2017-02-17,49.6
2017-02-24,49.37
2017-03-03,50.38
2017-03-10,49.91
2017-03-17,49.12
2017-03-24,46.79
2017-03-31,47.51
2017-04-07,46.92
2017-04-14,45.42
2017-04-21,46.24
2017-04-28,47.08
2017-05-05,47.85
2017-05-12,47.25
2017-05-19,46.53
2017-05-26,46.92
2017-06-02,46.1615
2017-06-09,48.51
2017-06-16,48.32
2017-06-23,47.18
2017-06-30,49.34
2017-07-07,50.17
2017-07-14,49.7
2017-07-21,48.89
2017-07-28,49.14
2017-08-04,50.25
2017-08-11,48.46
2017-08-18,48.19
2017-08-25,48.72
2017-09-01,48.48
2017-09-08,46.67
2017-09-15,48.54
2017-09-22,49.95
2017-09-29,51.2
2017-10-06,51.97
2017-10-13,51.02
2017-10-20,52.18
2017-10-27,52.72
2017-11-03,52.75
2017-11-10,50.46
2017-11-17,51.26
2017-11-24,51.13
2017-12-01,54.16
2017-12-08,55.18
2017-12-15,55.0
2017-12-22,55.6
2017-12-29,55.02
2018-01-05,56.12
2018-01-12,58.26
2018-01-19,58.86
2018-01-26,59.99
2018-02-02,59.0
2018-02-09,55.86
2018-02-16,58.71
2018-02-23,58.96
2018-03-02,57.83
2018-03-09,59.99
2018-03-16,58.37
2018-03-23,53.55
2018-03-30,54.98
2018-04-06,54.21
2018-04-13,54.87
2018-04-20,55.42
2018-04-27,55.89
2018-05-04,54.99
2018-05-11,57.26
2018-05-18,56.57
2018-05-25,56.31
2018-06-01,55.59
2018-06-08,56.88
2018-06-15,55.71
2018-06-22,55.0
2018-06-29,53.61
2018-07-06,53.85
2018-07-13,53.9
2018-07-20,55.16
2018-07-27,56.55
2018-08-03,56.95
2018-08-10,56.42
2018-08-17,56.9
2018-08-24,57.0
2018-08-31,57.02
2018-09-07,56.87
2018-09-14,55.7
2018-09-21,56.94
2018-09-28,54.06
2018-10-05,54.96
2018-10-12,51.79
2018-10-19,51.45
2018-10-26,48.92
2018-11-02,51.31
2018-11-09,52.36
2018-11-16,51.92
2018-11-23,50.75
2018-11-30,52.57
2018-12-07,48.32
2018-12-14,45.65
2018-12-21,42.8
2018-12-28,43.74
2019-01-04,45.86
2019-01-11,46.58
2019-01-18,50.19
2019-01-25,50.5
2019-02-01,49.85
2019-02-08,49.74
2019-02-15,51.28
2019-02-22,51.55
2019-03-01,51.91
2019-03-08,50.35
2019-03-15,51.68
2019-03-22,47.17
2019-03-29,48.2
2019-04-05,50.32
2019-04-12,51.25
2019-04-19,51.33
2019-04-26,52.18
2019-05-03,52.93
2019-05-10,51.42
2019-05-17,49.7
2019-05-24,49.5
2019-05-31,47.44
2019-06-07,49.23
2019-06-14,49.81
2019-06-21,49.65
2019-06-28,50.46
2019-07-05,51.31
2019-07-12,51.24
2019-07-19,51.12
2019-07-26,53.16
2019-08-02,50.52
2019-08-09,48.81
2019-08-16,47.33
2019-08-23,46.29
2019-08-30,48.15
2019-09-06,48.98
2019-09-13,52.78
2019-09-20,51.98
2019-09-27,51.58
2019-10-04,50.1
2019-10-11,50.76
2019-10-18,52.02
2019-10-25,53.97
2019-11-01,54.58
2019-11-08,56.66
2019-11-15,56.0
2019-11-22,56.4497
2019-11-29,56.75
2019-12-06,57.35
2019-12-13,58.31
2019-12-20,58.52
2019-12-27,58.27
2020-01-03,57.89
