date,value
2015-01-02,41.92
2015-01-09,42.32
2015-01-16,41.962
2015-01-23,42.58
2015-01-30,41.789
2015-02-06,43.29
2015-02-13,43.4
2015-02-20,42.9
2015-02-27,43.12
2015-03-06,42.85
2015-03-13,43.2699
2015-03-20,44.1164
2015-03-27,43.2501
2015-04-03,43.66
2015-04-10,43.9488
2015-04-17,43.86
2015-04-24,43.7732
2015-05-01,43.38
2015-05-08,43.5552
2015-05-15,43.4513
2015-05-22,43.6332
2015-05-29,43.344
2015-06-05,43.16
2015-06-12,44.473
2015-06-19,44.83
2015-06-26,44.59
2015-07-03,45.75
2015-07-10,46.4499
2015-07-17,47.1
2015-07-24,47.14
2015-07-31,47.4599
2015-08-07,47.05
2015-08-14,47.86
2015-08-21,46.24
2015-08-28,45.23
2015-09-04,44.48
2015-09-11,45.37
2015-09-18,45.1565
2015-09-25,45.8299
2015-10-02,45.4075
2015-10-09,46.8699
2015-10-16,47.498
2015-10-23,48.5753
2015-10-30,48.222
2015-11-06,48.66
2015-11-13,47.32
2015-11-20,48.7
2015-11-27,48.52
2015-12-04,49.1
2015-12-11,47.38
2015-12-18,46.89
2015-12-25,48.17
2016-01-01,48.06
2016-01-08,45.3956
2016-01-15,44.7
2016-01-22,44.84
2016-01-29,46.05
2016-02-05,45.2665
2016-02-12,45.737
2016-02-19,46.35
2016-02-26,46.59
2016-03-04,47.558
2016-03-11,48.1
2016-03-18,48.79
2016-03-25,48.29
2016-04-01,49.7
2016-04-08,48.19
2016-04-15,48.67
2016-04-22,48.036
2016-04-29,47.6
2016-05-06,48.13
2016-05-13,48.9
2016-05-20,48.92
2016-05-27,49.38
2016-06-03,49.34
2016-06-10,49.205
2016-06-17,47.85
2016-06-24,47.5389
2016-07-01,49.92
2016-07-08,49.825
2016-07-15,49.8728
2016-07-22,50.072
2016-07-29,49.928
2016-08-05,50.5982
2016-08-12,50.33
2016-08-19,50.3172
2016-08-26,50.39
2016-09-02,51.19
2016-09-09,50.1925
2016-09-16,49.52
2016-09-23,50.32
2016-09-30,50.42
2016-10-07,51.27
2016-10-14,52.03
2016-10-21,50.13
2016-10-28,49.87
2016-11-04,49.75
2016-11-11,52.33
2016-11-18,53.03
2016-11-25,53.69
2016-12-02,53.5128
2016-12-09,55.24
2016-12-16,54.77
2016-12-23,55.92
2016-12-30,55.6223
2017-01-06,55.66
2017-01-13,55.09
2017-01-20,55.15
2017-01-27,55.88
2017-02-03,56.41
2017-02-10,56.71
2017-02-17,57.7
2017-02-24,58.14
2017-03-03,58.13
2017-03-10,57.91
2017-03-17,57.86
2017-03-24,56.59
2017-03-31,57.0
2017-04-07,56.23
2017-04-14,55.56
2017-04-21,56.0536
2017-04-28,57.11
2017-05-05,57.118
2017-05-12,55.75
2017-05-19,55.71
2017-05-26,57.11
2017-06-02,57.946
2017-06-09,57.94
2017-06-16,58.83
2017-06-23,57.64
2017-06-30,58.12
2017-07-07,58.82
2017-07-14,58.8
2017-07-21,59.41
2017-07-28,59.5
2017-08-04,60.82
2017-08-11,59.7011
2017-08-18,59.4
2017-08-25,59.07
2017-09-01,57.31
2017-09-08,55.34
2017-09-15,57.06
2017-09-22,57.38
2017-09-29,58.0
2017-10-06,58.63
2017-10-13,59.1789
2017-10-20,60.22
2017-10-27,59.6
2017-11-03,59.655
2017-11-10,60.12
2017-11-17,59.27
2017-11-24,58.95
2017-12-01,60.28
2017-12-08,59.46
2017-12-15,59.74
2017-12-22,59.13
2017-12-29,59.4
2018-01-05,58.38
2018-01-12,59.06
2018-01-19,59.64
2018-01-26,61.52
2018-02-02,60.911
2018-02-09,58.24
2018-02-16,60.73
2018-02-23,59.78
2018-03-02,58.9301
2018-03-09,62.63
2018-03-16,62.59
2018-03-23,60.7
2018-03-30,62.022
2018-04-06,61.091
2018-04-13,61.22
2018-04-20,62.0775
2018-04-27,62.0
2018-05-04,60.35
2018-05-11,61.22
2018-05-18,61.07
2018-05-25,61.56
2018-06-01,61.1699
2018-06-08,62.5
2018-06-15,61.1358
2018-06-22,60.302
2018-06-29,59.5
2018-07-06,59.86
2018-07-13,60.44
2018-07-20,61.1548
2018-07-27,62.2841
2018-08-03,62.75
2018-08-10,62.3056
2018-08-17,63.2751
2018-08-24,63.551
2018-08-31,63.7667
2018-09-07,63.751
2018-09-14,64.19
2018-09-21,64.8
2018-09-28,63.76
2018-10-05,64.0824
2018-10-12,59.8
2018-10-19,60.8214
2018-10-26,58.58
2018-11-02,59.72
2018-11-09,61.84
2018-11-16,60.277
2018-11-23,59.62
2018-11-30,61.0707
2018-12-07,58.72
2018-12-14,56.8888
2018-12-21,55.4158
2018-12-28,56.0
2019-01-04,56.68
2019-01-11,57.4601
2019-01-18,59.5013
2019-01-25,59.541
2019-02-01,60.23
2019-02-08,61.01
2019-02-15,62.31
2019-02-22,63.13
2019-03-01,63.4254
2019-03-08,61.6449
2019-03-15,62.95
2019-03-22,61.5003
2019-03-29,61.8777
2019-04-05,63.23
2019-04-12,63.5835
2019-04-19,64.1301
2019-04-26,65.09
2019-05-03,66.46
2019-05-10,67.1
2019-05-17,67.63
2019-05-24,68.6799
2019-05-31,67.6605
2019-06-07,70.0696
2019-06-14,70.7299
2019-06-21,70.82
2019-06-28,69.8159
2019-07-05,71.8284
2019-07-12,72.1222
2019-07-19,71.0
2019-07-26,72.15
2019-08-02,71.11
2019-08-09,72.5632
2019-08-16,71.79
2019-08-23,69.91
2019-08-30,70.643
2019-09-06,73.25
2019-09-13,72.4
2019-09-20,73.31
2019-09-27,73.61
2019-10-04,73.09
2019-10-11,71.98
2019-10-18,71.67
2019-10-25,69.72
2019-11-01,69.68
2019-11-08,70.85
2019-11-15,70.72
2019-11-22,70.3038
2019-11-29,71.14
2019-12-06,70.9871
2019-12-13,71.0553
2019-12-20,71.8618
2019-12-27,70.8813
2020-01-03,71.569
