date,value
2016-12-09,6.0
2016-12-16,5.0
2016-12-23,4.92
2016-12-30,5.27
2017-01-06,5.69
2017-01-13,6.14
2017-01-20,6.48
2017-01-27,6.84
2017-02-03,7.73
2017-02-10,8.2
2017-02-17,7.8
2017-02-24,7.9
2017-03-03,6.83
2017-03-10,6.53
2017-03-17,6.97
2017-03-24,6.98
2017-03-31,7.36
2017-04-07,7.38
2017-04-14,7.78
2017-04-21,7.4
2017-04-28,6.96
2017-05-05,6.62
2017-05-12,6.99
2017-05-19,7.47
2017-05-26,7.74
2017-06-02,7.62
2017-06-09,7.85
2017-06-16,7.92
2017-06-23,8.66
2017-06-30,9.46
2017-07-07,8.82
2017-07-14,9.25
2017-07-21,9.6
2017-07-28,10.6
2017-08-04,10.08
2017-08-11,10.45
2017-08-18,11.7
2017-08-25,12.2
2017-09-01,13.29
2017-09-08,12.89
2017-09-15,13.15
2017-09-22,13.16
2017-09-29,12.92
2017-10-06,13.94
2017-10-13,13.19
2017-10-20,13.0
2017-10-27,11.91
2017-11-03,13.16
2017-11-10,14.4
2017-11-17,14.12
2017-11-24,13.96
2017-12-01,14.44
2017-12-08,13.92
2017-12-15,13.27
2017-12-22,14.73
2017-12-29,15.36
2018-01-05,16.52
2018-01-12,16.12
2018-01-19,15.93
2018-01-26,15.73
2018-02-02,14.24
2018-02-09,13.29
2018-02-16,14.86
2018-02-23,15.6
2018-03-02,15.8
2018-03-09,15.57
2018-03-16,14.68
2018-03-23,15.76
2018-03-30,15.46
2018-04-06,15.59
2018-04-13,17.04
2018-04-20,16.72
2018-04-27,17.23
2018-05-04,18.69
2018-05-11,19.45
2018-05-18,19.54
2018-05-25,18.54
2018-06-01,18.8
2018-06-08,18.95
2018-06-15,20.11
2018-06-22,20.29
2018-06-29,21.12
2018-07-06,22.44
2018-07-13,22.5
2018-07-20,21.98
2018-07-27,21.73
2018-08-03,23.28
2018-08-10,21.98
2018-08-17,19.74
2018-08-24,19.53
2018-08-31,18.66
2018-09-07,18.41
2018-09-14,18.44
2018-09-21,18.58
2018-09-28,18.99
2018-10-05,19.28
2018-10-12,21.14
2018-10-19,21.64
2018-10-26,20.14
2018-11-02,20.24
2018-11-09,18.94
2018-11-16,18.97
2018-11-23,19.55
2018-11-30,20.78
2018-12-07,23.37
2018-12-14,23.73
2018-12-21,24.81
2018-12-28,25.25
2019-01-04,25.95
2019-01-11,26.51
2019-01-18,26.34
2019-01-25,29.23
2019-02-01,32.31
2019-02-08,33.38
2019-02-15,33.59
2019-02-22,34.9
2019-03-01,35.27
2019-03-08,34.94
2019-03-15,33.47
2019-03-22,33.87
2019-03-29,30.41
2019-04-05,32.27
2019-04-12,31.62
2019-04-19,31.32
2019-04-26,32.3
2019-05-03,31.01
2019-05-10,33.05
2019-05-17,33.88
2019-05-24,33.25
2019-05-31,34.51
2019-06-07,37.33
2019-06-14,38.15
2019-06-21,41.48
2019-06-28,42.92
2019-07-05,42.07
2019-07-12,42.92
2019-07-19,46.48
2019-07-26,44.53
2019-08-02,44.07
2019-08-09,46.03
2019-08-16,44.14
2019-08-23,47.32
2019-08-30,48.76
2019-09-06,47.34
2019-09-13,42.38
2019-09-20,47.22
2019-09-27,45.43
2019-10-04,46.64
2019-10-11,44.73
2019-10-18,44.76
2019-10-25,45.72
2019-11-01,45.99
2019-11-08,45.21
2019-11-15,46.92
2019-11-22,47.62
2019-11-29,41.91
2019-12-06,40.44
2019-12-13,42.85
2019-12-20,40.71
2019-12-27,43.35
2020-01-03,43.99
