date,value
2015-01-02,70.29
2015-01-09,69.17
2015-01-16,67.835
2015-01-23,65.24
2015-01-30,61.47
2015-02-06,62.61
2015-02-13,63.64
2015-02-20,64.97
2015-02-27,64.955
2015-03-06,61.06
2015-03-13,60.71
2015-03-20,63.54
2015-03-27,59.0
2015-04-03,58.09
2015-04-10,59.12
2015-04-17,57.995
2015-04-24,58.89
2015-05-01,60.085
2015-05-08,59.8
2015-05-15,59.91
2015-05-22,59.115
2015-05-29,59.66
2015-06-05,56.97
2015-06-12,55.89
2015-06-19,57.99
2015-06-26,57.145
2015-07-03,57.26
2015-07-10,55.11
2015-07-17,51.93
2015-07-24,51.25
2015-07-31,53.05
2015-08-07,52.35
2015-08-14,51.2
2015-08-21,47.7
2015-08-28,49.89
2015-09-04,47.54
2015-09-11,51.21
2015-09-18,50.42
2015-09-25,48.61
2015-10-02,50.43
2015-10-09,53.19
2015-10-16,52.97
2015-10-23,65.35
2015-10-30,67.12
2015-11-06,66.85
2015-11-13,65.68
2015-11-20,67.02
2015-11-27,66.54
2015-12-04,67.57
2015-12-11,67.87
2015-12-18,66.86
2015-12-25,69.51
2016-01-01,69.35
2016-01-08,65.24
2016-01-15,64.55
2016-01-22,65.09
2016-01-29,66.99
2016-02-05,65.51
2016-02-12,63.79
2016-02-19,65.69
2016-02-26,67.97
2016-03-04,68.31
2016-03-11,69.22
2016-03-18,71.18
2016-03-25,70.8
2016-04-01,73.05
2016-04-08,72.07
2016-04-15,72.53
2016-04-22,71.9
2016-04-29,69.94
2016-05-06,69.36
2016-05-13,68.6
2016-05-20,69.59
2016-05-27,72.99
2016-06-03,73.1
2016-06-10,72.67
2016-06-17,73.03
2016-06-24,72.55
2016-07-01,72.5
2016-07-08,73.75
2016-07-15,75.13
2016-07-22,76.06
2016-07-29,75.71
2016-08-05,77.63
2016-08-12,68.28
2016-08-19,70.95
2016-08-26,67.52
2016-09-02,70.2
2016-09-09,69.43
2016-09-16,70.23
2016-09-23,69.32
2016-09-30,69.71
2016-10-07,72.67
2016-10-14,71.97
2016-10-21,73.64
