date,value
2015-01-02,42.14
2015-01-09,43.03
2015-01-16,42.53
2015-01-23,43.31
2015-01-30,41.17
2015-02-06,41.45
2015-02-13,41.99
2015-02-20,41.97
2015-02-27,43.3
2015-03-06,41.52
2015-03-13,39.91
2015-03-20,40.65
2015-03-27,40.08
2015-04-03,40.68
2015-04-10,40.88
2015-04-17,40.3
2015-04-24,40.89
2015-05-01,40.91
2015-05-08,40.98
2015-05-15,41.52
2015-05-22,41.21
2015-05-29,40.96
2015-06-05,40.1
2015-06-12,39.96
2015-06-19,40.4
2015-06-26,40.0
2015-07-03,39.49
2015-07-10,40.39
2015-07-17,41.25
2015-07-24,40.44
2015-07-31,41.08
2015-08-07,41.77
2015-08-14,41.25
2015-08-21,39.53
2015-08-28,39.45
2015-09-04,38.52
2015-09-11,38.13
2015-09-18,38.98
2015-09-25,39.62
2015-10-02,40.39
2015-10-09,42.02
2015-10-16,42.02
2015-10-23,42.79
2015-10-30,42.35
2015-11-06,41.96
2015-11-13,41.38
2015-11-20,42.43
2015-11-27,43.15
2015-12-04,43.29
2015-12-11,42.27
2015-12-18,42.5
2015-12-25,43.54
2016-01-01,42.96
2016-01-08,41.51
2016-01-15,41.5
2016-01-22,42.06
2016-01-29,42.92
2016-02-05,42.44
2016-02-12,43.11
2016-02-19,43.77
2016-02-26,43.14
2016-03-04,44.11
2016-03-11,45.2
2016-03-18,45.6
2016-03-25,45.58
2016-04-01,46.83
2016-04-08,46.87
2016-04-15,46.1
2016-04-22,44.54
2016-04-29,44.8
2016-05-06,45.32
2016-05-13,45.35
2016-05-20,43.95
2016-05-27,44.78
2016-06-03,45.04
2016-06-10,46.0
2016-06-17,44.79
2016-06-24,43.93
2016-07-01,45.12
2016-07-08,45.38
2016-07-15,45.63
2016-07-22,45.83
2016-07-29,43.63
2016-08-05,43.48
2016-08-12,44.03
2016-08-19,43.92
2016-08-26,43.32
2016-09-02,43.66
2016-09-09,42.27
2016-09-16,42.14
2016-09-23,42.74
2016-09-30,42.32
2016-10-07,41.73
2016-10-14,41.67
2016-10-21,42.13
2016-10-28,42.23
2016-11-04,41.69
2016-11-11,41.03
2016-11-18,40.91
2016-11-25,41.53
2016-12-02,40.36
2016-12-09,42.0
2016-12-16,41.74
2016-12-23,41.6
2016-12-30,41.46
2017-01-06,41.74
2017-01-13,40.88
2017-01-20,41.32
2017-01-27,41.45
2017-02-03,41.54
2017-02-10,40.58
2017-02-17,41.23
2017-02-24,41.78
2017-03-03,42.48
2017-03-10,42.29
2017-03-17,42.03
2017-03-24,42.12
2017-03-31,42.44
2017-04-07,42.61
2017-04-14,42.79
2017-04-21,43.07
2017-04-28,43.15
2017-05-05,43.69
2017-05-12,43.59
2017-05-19,43.9
2017-05-26,45.39
2017-06-02,45.89
2017-06-09,45.32
2017-06-16,45.31
2017-06-23,45.25
2017-06-30,44.85
2017-07-07,44.39
2017-07-14,44.68
2017-07-21,45.03
2017-07-28,46.01
2017-08-04,45.5
2017-08-11,45.59
2017-08-18,45.67
2017-08-25,45.57
2017-09-01,45.78
2017-09-08,46.3
2017-09-15,46.18
2017-09-22,45.49
2017-09-29,45.01
2017-10-06,45.49
2017-10-13,46.18
2017-10-20,46.38
2017-10-27,46.07
2017-11-03,45.97
2017-11-10,46.54
2017-11-17,45.71
2017-11-24,45.88
2017-12-01,45.97
2017-12-08,45.31
2017-12-15,46.19
2017-12-22,45.59
2017-12-29,45.88
2018-01-05,46.07
2018-01-12,46.15
2018-01-19,47.16
2018-01-26,48.53
2018-02-02,46.73
2018-02-09,43.13
2018-02-16,44.98
2018-02-23,44.04
2018-03-02,43.72
2018-03-09,44.82
2018-03-16,43.46
2018-03-23,42.33
2018-03-30,43.43
2018-04-06,43.92
2018-04-13,44.51
2018-04-20,43.74
2018-04-27,43.31
2018-05-04,42.36
2018-05-11,42.14
2018-05-18,42.18
2018-05-25,42.4
2018-06-01,43.12
2018-06-08,43.95
2018-06-15,44.12
2018-06-22,43.25
2018-06-29,43.86
2018-07-06,44.64
2018-07-13,44.74
2018-07-20,45.28
2018-07-27,46.21
2018-08-03,46.62
2018-08-10,46.08
2018-08-17,46.6
2018-08-24,45.63
2018-08-31,44.57
2018-09-07,45.72
2018-09-14,45.99
2018-09-21,46.58
2018-09-28,46.19
2018-10-05,45.88
2018-10-12,44.68
2018-10-19,46.33
2018-10-26,45.92
2018-11-02,48.0
2018-11-09,49.68
2018-11-16,50.17
2018-11-23,49.02
2018-11-30,50.4
2018-12-07,49.09
2018-12-14,49.34
2018-12-21,47.57
2018-12-28,47.2
2019-01-04,47.57
2019-01-11,47.34
2019-01-18,47.61
2019-01-25,47.37
2019-02-01,48.7
2019-02-08,49.5
2019-02-15,45.24
2019-02-22,45.28
2019-03-01,45.38
2019-03-08,44.84
2019-03-15,45.3
2019-03-22,45.93
2019-03-29,46.86
2019-04-05,46.47
2019-04-12,46.74
2019-04-19,47.48
2019-04-26,48.26
2019-05-03,48.72
2019-05-10,48.19
2019-05-17,49.2
2019-05-24,49.61
2019-05-31,49.13
2019-06-07,51.49
2019-06-14,51.31
2019-06-21,51.55
2019-06-28,50.92
2019-07-05,52.11
2019-07-12,52.12
2019-07-19,51.39
2019-07-26,54.17
2019-08-02,52.33
2019-08-09,53.42
2019-08-16,54.41
2019-08-23,53.74
2019-08-30,55.04
2019-09-06,55.23
2019-09-13,54.26
2019-09-20,53.91
2019-09-27,54.31
2019-10-04,54.54
2019-10-11,53.3
2019-10-18,54.78
2019-10-25,53.75
2019-11-01,53.9
2019-11-08,52.21
2019-11-15,52.67
