date,value
2015-01-02,63.53
2015-01-09,65.84
2015-01-16,66.74
2015-01-23,67.96
2015-01-30,69.05
2015-02-06,71.71
2015-02-13,72.86
2015-02-20,72.79
2015-02-27,71.15
2015-03-06,74.35
2015-03-13,76.35
2015-03-20,76.83
2015-03-27,76.33
2015-04-03,77.13
2015-04-10,77.07
2015-04-17,71.84
2015-04-24,71.7
2015-05-01,70.13
2015-05-08,71.79
2015-05-15,73.1
2015-05-22,74.42
2015-05-29,72.8
2015-06-05,71.01
2015-06-12,71.65
2015-06-19,73.95
2015-06-26,73.11
2015-07-03,73.11
2015-07-10,76.34
2015-07-17,38.72
2015-07-24,38.36
2015-07-31,39.24
2015-08-07,37.82
2015-08-14,38.35
2015-08-21,34.93
2015-08-28,34.94
2015-09-04,34.07
2015-09-11,37.29
2015-09-18,36.73
2015-09-25,36.11
2015-10-02,37.14
2015-10-09,38.03
2015-10-16,37.51
2015-10-23,37.82
2015-10-30,37.8
2015-11-06,37.57
2015-11-13,36.05
2015-11-20,37.31
2015-11-27,38.01
2015-12-04,40.55
2015-12-11,41.08
2015-12-18,40.64
2015-12-25,42.46
2016-01-01,41.83
2016-01-08,40.8
2016-01-15,38.49
2016-01-22,37.12
2016-01-29,38.81
2016-02-05,37.63
2016-02-12,38.33
2016-02-19,37.82
2016-02-26,39.45
2016-03-04,36.84
2016-03-11,38.64
2016-03-18,38.56
2016-03-25,37.65
2016-04-01,38.32
2016-04-08,37.99
2016-04-15,36.91
2016-04-22,35.58
2016-04-29,35.39
2016-05-06,34.55
2016-05-13,34.86
2016-05-20,34.62
2016-05-27,35.71
2016-06-03,36.25
2016-06-10,36.81
2016-06-17,35.18
2016-06-24,35.14
2016-07-01,36.55
2016-07-08,37.86
2016-07-15,36.71
2016-07-22,35.98
2016-07-29,34.19
2016-08-05,32.62
2016-08-12,32.58
2016-08-19,32.61
2016-08-26,32.68
2016-09-02,32.5
2016-09-09,31.51
2016-09-16,31.08
2016-09-23,30.45
2016-09-30,29.68
2016-10-07,29.0
2016-10-14,31.27
2016-10-21,30.76
2016-10-28,31.26
2016-11-04,30.92
2016-11-11,33.52
2016-11-18,33.45
2016-11-25,33.88
2016-12-02,33.3
2016-12-09,34.78
2016-12-16,35.94
2016-12-23,35.08
2016-12-30,34.51
2017-01-06,33.11
2017-01-13,34.1
2017-01-20,34.09
2017-01-27,33.36
2017-02-03,34.02
2017-02-10,33.48
2017-02-17,34.01
2017-02-24,33.29
2017-03-03,29.63
2017-03-10,28.82
2017-03-17,29.55
2017-03-24,29.1
2017-03-31,29.49
2017-04-07,29.86
2017-04-14,29.97
2017-04-21,29.95
2017-04-28,29.65
2017-05-05,29.35
2017-05-12,29.52
2017-05-19,29.23
2017-05-26,29.45
2017-06-02,30.13
2017-06-09,30.78
2017-06-16,22.29
2017-06-23,22.6
2017-06-30,23.32
2017-07-07,23.16
2017-07-14,23.01
2017-07-21,23.26
2017-07-28,24.28
2017-08-04,24.13
2017-08-11,23.49
2017-08-18,22.86
2017-08-25,21.74
2017-09-01,22.42
2017-09-08,21.06
2017-09-15,21.57
2017-09-22,20.15
2017-09-29,20.06
2017-10-06,20.63
2017-10-13,21.3
2017-10-20,21.02
2017-10-27,20.57
2017-11-03,21.5
2017-11-10,22.08
2017-11-17,23.41
2017-11-24,22.98
2017-12-01,25.67
2017-12-08,26.68
2017-12-15,26.45
2017-12-22,28.25
2017-12-29,27.45
2018-01-05,27.32
2018-01-12,28.14
2018-01-19,29.72
2018-01-26,30.88
2018-02-02,29.34
2018-02-09,27.66
2018-02-16,28.69
2018-02-23,27.42
2018-03-02,27.35
2018-03-09,24.08
2018-03-16,23.69
2018-03-23,23.28
2018-03-30,23.94
2018-04-06,23.77
2018-04-13,23.73
2018-04-20,24.12
2018-04-27,25.52
2018-05-04,24.14
2018-05-11,24.57
2018-05-18,24.89
2018-05-25,24.61
2018-06-01,24.42
2018-06-08,25.36
2018-06-15,25.88
2018-06-22,29.69
2018-06-29,28.45
2018-07-06,29.12
2018-07-13,28.05
2018-07-20,28.14
2018-07-27,28.7
2018-08-03,29.93
2018-08-10,30.14
2018-08-17,31.35
2018-08-24,31.2
2018-08-31,31.5
2018-09-07,32.37
2018-09-14,27.8
2018-09-21,29.95
2018-09-28,29.11
2018-10-05,29.07
2018-10-12,26.92
2018-10-19,27.56
2018-10-26,27.58
2018-11-02,30.17
2018-11-09,31.39
2018-11-16,30.24
2018-11-23,29.69
2018-11-30,29.66
2018-12-07,29.17
2018-12-14,29.55
2018-12-21,27.4
2018-12-28,27.58
2019-01-04,27.66
2019-01-11,28.43
2019-01-18,29.43
2019-01-25,28.12
2019-02-01,28.07
2019-02-08,27.83
2019-02-15,29.5
2019-02-22,28.52
2019-03-01,28.02
2019-03-08,24.47
2019-03-15,24.36
2019-03-22,24.34
2019-03-29,24.6
2019-04-05,23.9
2019-04-12,25.67
2019-04-19,25.78
2019-04-26,25.0
2019-05-03,25.74
2019-05-10,25.83
2019-05-17,24.22
2019-05-24,23.72
2019-05-31,22.81
2019-06-07,23.93
2019-06-14,24.26
2019-06-21,22.24
2019-06-28,21.71
2019-07-05,21.75
2019-07-12,21.89
2019-07-19,21.69
2019-07-26,21.48
2019-08-02,22.24
2019-08-09,23.32
2019-08-16,22.66
2019-08-23,23.29
2019-08-30,23.68
2019-09-06,24.7
2019-09-13,26.23
2019-09-20,25.68
2019-09-27,25.74
2019-10-04,24.79
2019-10-11,24.25
2019-10-18,23.94
2019-10-25,25.28
2019-11-01,24.99
2019-11-08,27.02
2019-11-15,26.75
2019-11-22,27.05
2019-11-29,27.34
2019-12-06,27.49
2019-12-13,28.09
2019-12-20,29.0
2019-12-27,28.76
2020-01-03,28.7
