date,value
2015-01-02,49.39
2015-01-09,48.75
2015-01-16,48.99
2015-01-23,47.14
2015-01-30,44.4
2015-02-06,49.99
2015-02-13,49.82
2015-02-20,50.28
2015-02-27,52.06
2015-03-06,52.19
2015-03-13,55.09
2015-03-20,53.9
2015-03-27,53.96
2015-04-03,55.63
2015-04-10,56.05
2015-04-17,54.5
2015-04-24,53.34
2015-05-01,54.11
2015-05-08,52.46
2015-05-15,51.76
2015-05-22,52.13
2015-05-29,53.48
2015-06-05,52.74
2015-06-12,52.53
2015-06-19,52.04
2015-06-26,52.03
2015-07-03,51.83
2015-07-10,52.09
2015-07-17,54.4
2015-07-24,53.22
2015-07-31,53.53
2015-08-07,53.01
2015-08-14,53.78
2015-08-21,52.72
2015-08-28,53.6
2015-09-04,53.64
2015-09-11,53.61
2015-09-18,54.44
2015-09-25,53.17
2015-10-02,53.9
2015-10-09,55.19
2015-10-16,55.6
2015-10-23,53.16
2015-10-30,53.77
2015-11-06,54.01
2015-11-13,52.59
2015-11-20,53.3
2015-11-27,52.75
2015-12-04,52.27
2015-12-11,50.3
2015-12-18,50.54
2015-12-25,50.88
2016-01-01,51.86
2016-01-08,49.57
2016-01-15,48.02
2016-01-22,48.29
2016-01-29,47.0
2016-02-05,45.72
2016-02-12,44.65
2016-02-19,47.36
2016-02-26,50.18
2016-03-04,52.55
2016-03-11,53.46
2016-03-18,57.02
2016-03-25,56.59
2016-04-01,58.5
2016-04-08,57.56
2016-04-15,57.33
2016-04-22,55.32
2016-04-29,57.25
2016-05-06,58.47
2016-05-13,59.12
2016-05-20,59.4
2016-05-27,57.52
2016-06-03,59.9
2016-06-10,60.28
2016-06-17,59.38
2016-06-24,57.29
2016-07-01,60.57
2016-07-08,61.47
2016-07-15,61.91
2016-07-22,63.45
2016-07-29,63.31
2016-08-05,62.57
2016-08-12,68.12
2016-08-19,67.77
2016-08-26,68.28
2016-09-02,71.54
2016-09-09,69.53
2016-09-16,70.23
2016-09-23,72.29
2016-09-30,71.48
2016-10-07,70.29
2016-10-14,68.04
2016-10-21,67.51
2016-10-28,65.64
2016-11-04,65.27
2016-11-11,69.81
2016-11-18,68.72
2016-11-25,71.33
2016-12-02,69.36
2016-12-09,72.42
2016-12-16,74.22
2016-12-23,74.72
2016-12-30,74.07
2017-01-06,75.43
2017-01-13,76.41
2017-01-20,79.23
2017-01-27,85.35
2017-02-03,86.08
2017-02-10,86.09
2017-02-17,86.44
2017-02-24,86.38
2017-03-03,84.93
2017-03-10,85.53
2017-03-17,85.73
2017-03-24,85.6
2017-03-31,86.4
2017-04-07,87.93
2017-04-14,86.55
2017-04-21,89.05
2017-04-28,91.16
2017-05-05,87.75
2017-05-12,84.88
2017-05-19,83.69
2017-05-26,87.65
2017-06-02,91.82
2017-06-09,86.82
2017-06-16,88.02
2017-06-23,85.72
2017-06-30,86.75
2017-07-07,85.92
2017-07-14,88.57
2017-07-21,90.42
2017-07-28,94.49
2017-08-04,99.24
2017-08-11,101.64
2017-08-18,100.14
2017-08-25,99.26
2017-09-01,100.49
2017-09-08,101.71
2017-09-15,98.27
2017-09-22,95.62
2017-09-29,95.3
2017-10-06,97.0
2017-10-13,94.5
2017-10-20,93.5
2017-10-27,83.48
2017-11-03,87.35
2017-11-10,88.49
2017-11-17,91.09
2017-11-24,87.92
2017-12-01,88.83
2017-12-08,84.67
2017-12-15,83.73
2017-12-22,85.19
2017-12-29,85.16
2018-01-05,88.93
2018-01-12,90.7
2018-01-19,93.29
2018-01-26,95.85
2018-02-02,96.9
2018-02-09,86.66
2018-02-16,92.18
2018-02-23,91.75
2018-03-02,86.17
2018-03-09,89.54
2018-03-16,89.03
2018-03-23,83.62
2018-03-30,85.69
2018-04-06,82.42
2018-04-13,81.5
2018-04-20,82.87
2018-04-27,69.82
2018-05-04,73.14
2018-05-11,71.63
2018-05-18,70.95
2018-05-25,71.29
2018-06-01,68.7
2018-06-08,72.9
2018-06-15,76.8
2018-06-22,77.09
2018-06-29,75.72
2018-07-06,78.67
2018-07-13,79.08
2018-07-20,77.36
2018-07-27,75.67
2018-08-03,79.43
2018-08-10,79.21
2018-08-17,78.98
2018-08-24,78.7
2018-08-31,81.09
2018-09-07,79.67
2018-09-14,82.47
2018-09-21,85.01
2018-09-28,84.3
2018-10-05,80.9
2018-10-12,79.88
2018-10-19,83.26
2018-10-26,76.65
2018-11-02,82.03
2018-11-09,82.17
2018-11-16,83.79
2018-11-23,78.4
2018-11-30,84.85
2018-12-07,80.43
2018-12-14,78.48
2018-12-21,71.05
2018-12-28,71.88
