date,value
2015-01-02,97.9
2015-01-09,95.74
2015-01-16,95.09
2015-01-23,99.22
2015-01-30,100.35
2015-02-06,108.5
2015-02-13,108.7
2015-02-20,109.0
2015-02-27,108.92
2015-03-06,107.89
2015-03-13,106.43
2015-03-20,111.97
2015-03-27,109.65
2015-04-03,113.22
2015-04-10,114.83
2015-04-17,113.7
2015-04-24,115.08
2015-05-01,111.73
2015-05-08,112.5
2015-05-15,114.47
2015-05-22,117.21
2015-05-29,116.02
2015-06-05,114.36
2015-06-12,115.97
2015-06-19,116.32
2015-06-26,116.4
2015-07-03,113.35
2015-07-10,104.21
2015-07-17,99.65
2015-07-24,99.59
2015-07-31,104.07
2015-08-07,105.57
2015-08-14,104.7
2015-08-21,98.97
2015-08-28,103.51
2015-09-04,101.09
2015-09-11,105.94
2015-09-18,106.84
2015-09-25,106.55
2015-10-02,109.43
2015-10-09,116.04
2015-10-16,116.79
2015-10-23,120.94
2015-10-30,125.06
2015-11-06,123.46
2015-11-13,121.25
2015-11-20,125.68
2015-11-27,125.82
2015-12-04,126.0
2015-12-11,121.35
2015-12-18,122.59
2015-12-25,124.78
2016-01-01,122.83
2016-01-08,107.14
2016-01-15,103.48
2016-01-22,101.45
2016-01-29,103.83
2016-02-05,98.59
2016-02-12,100.71
2016-02-19,103.32
2016-02-26,101.78
2016-03-04,109.0
2016-03-11,109.46
2016-03-18,111.91
2016-03-25,110.49
2016-04-01,106.08
2016-04-08,104.66
2016-04-15,108.65
2016-04-22,112.77
2016-04-29,115.13
2016-05-06,115.02
2016-05-13,114.04
2016-05-20,114.23
2016-05-27,118.18
2016-06-03,115.95
2016-06-10,115.2
2016-06-17,114.32
2016-06-24,104.78
2016-07-01,102.81
2016-07-08,106.41
2016-07-15,111.84
2016-07-22,113.5
2016-07-29,113.45
2016-08-05,113.76
2016-08-12,114.25
2016-08-19,114.75
2016-08-26,115.47
2016-09-02,117.05
2016-09-09,113.05
2016-09-16,117.3
2016-09-23,119.98
2016-09-30,121.22
2016-10-07,121.01
2016-10-14,116.06
2016-10-21,115.39
2016-10-28,121.3
2016-11-04,120.43
2016-11-11,119.05
2016-11-18,126.87
2016-11-25,129.62
2016-12-02,130.75
2016-12-09,138.8
2016-12-16,134.75
2016-12-23,133.55
2016-12-30,132.37
2017-01-06,136.9
2017-01-13,143.33
2017-01-20,142.0
2017-01-27,141.26
2017-02-03,140.75
2017-02-10,141.35
2017-02-17,142.37
2017-02-24,141.36
2017-03-03,144.5
2017-03-10,144.48
2017-03-17,145.01
2017-03-24,137.9
2017-03-31,141.58
2017-04-07,134.36
2017-04-14,132.08
2017-04-21,139.05
2017-04-28,142.66
2017-05-05,140.84
2017-05-12,144.28
2017-05-19,143.47
2017-05-26,147.58
2017-06-02,152.64
2017-06-09,145.63
2017-06-16,138.45
2017-06-23,138.02
2017-06-30,142.08
2017-07-07,144.97
2017-07-14,147.4
2017-07-21,144.51
2017-07-28,149.17
2017-08-04,145.99
2017-08-11,142.74
2017-08-18,142.06
2017-08-25,144.54
2017-09-01,151.61
2017-09-08,151.0
2017-09-15,167.17
2017-09-22,170.34
2017-09-29,173.08
2017-10-06,173.75
2017-10-13,173.37
2017-10-20,173.74
2017-10-27,174.94
2017-11-03,175.79
2017-11-10,175.43
2017-11-17,174.88
2017-11-24,177.15
2017-12-01,178.34
2017-12-08,177.07
2017-12-15,172.4
2017-12-22,177.69
2017-12-29,176.66
2018-01-05,191.39
2018-01-12,189.14
2018-01-19,191.18
2018-01-26,197.99
2018-02-02,186.11
2018-02-09,186.63
2018-02-16,189.57
2018-02-23,189.13
2018-03-02,182.3
2018-03-09,190.32
2018-03-16,190.73
2018-03-23,182.86
2018-03-30,186.09
2018-04-06,189.21
2018-04-13,193.7
2018-04-20,191.4
2018-04-27,188.21
2018-05-04,190.68
2018-05-11,194.98
2018-05-18,201.76
2018-05-25,198.63
2018-06-01,199.35
2018-06-08,205.34
2018-06-15,202.52
2018-06-22,195.7
2018-06-29,185.81
2018-07-06,187.39
2018-07-13,187.94
2018-07-20,181.21
2018-07-27,175.87
2018-08-03,178.74
2018-08-10,172.61
2018-08-17,173.31
2018-08-24,164.22
2018-08-31,162.2
