date,value
2015-01-02,69.0
2015-01-09,66.29
2015-01-16,65.04
2015-01-23,66.89
2015-01-30,67.91
2015-02-06,70.45
2015-02-13,72.23
2015-02-20,70.18
2015-02-27,69.04
2015-03-06,67.78
2015-03-13,65.5
2015-03-20,65.06
2015-03-27,64.42
2015-04-03,64.98
2015-04-10,64.36
2015-04-17,64.51
2015-04-24,67.03
2015-05-01,66.71
2015-05-08,66.6
2015-05-15,69.28
2015-05-22,69.33
2015-05-29,67.21
2015-06-05,67.42
2015-06-12,66.08
2015-06-19,63.28
2015-06-26,62.47
2015-07-03,60.68
2015-07-10,60.17
2015-07-17,59.03
2015-07-24,57.72
2015-07-31,60.55
2015-08-07,61.59
2015-08-14,62.05
2015-08-21,56.59
2015-08-28,58.43
2015-09-04,57.13
2015-09-11,58.38
2015-09-18,56.12
2015-09-25,53.4
2015-10-02,53.91
2015-10-09,59.46
2015-10-16,54.41
2015-10-23,58.14
2015-10-30,59.81
2015-11-06,60.92
2015-11-13,54.51
2015-11-20,56.27
2015-11-27,56.41
2015-12-04,55.49
2015-12-11,53.52
2015-12-18,50.33
2015-12-25,52.75
2016-01-01,51.89
2016-01-08,49.38
2016-01-15,48.17
2016-01-22,46.97
2016-01-29,53.24
2016-02-05,54.06
2016-02-12,55.78
2016-02-19,58.28
2016-02-26,54.32
2016-03-04,56.97
2016-03-11,58.29
2016-03-18,59.63
2016-03-25,57.91
2016-04-01,58.61
2016-04-08,58.18
2016-04-15,59.96
2016-04-22,62.92
2016-04-29,62.67
2016-05-06,60.44
2016-05-13,60.21
2016-05-20,59.01
2016-05-27,60.22
2016-06-03,60.2
2016-06-10,60.43
2016-06-17,60.0
2016-06-24,57.76
2016-07-01,58.96
2016-07-08,59.56
2016-07-15,61.41
2016-07-22,61.55
2016-07-29,62.06
2016-08-05,62.78
2016-08-12,64.21
2016-08-19,64.93
2016-08-26,63.8
2016-09-02,64.22
2016-09-09,61.75
2016-09-16,60.74
2016-09-23,61.8
2016-09-30,62.62
2016-10-07,63.16
2016-10-14,61.82
2016-10-21,66.69
2016-10-28,65.5
2016-11-04,64.62
2016-11-11,74.76
2016-11-18,75.31
2016-11-25,77.18
2016-12-02,78.01
2016-12-09,79.83
2016-12-16,78.54
2016-12-23,78.17
2016-12-30,76.67
2017-01-06,78.29
2017-01-13,81.12
2017-01-20,80.65
2017-01-27,83.76
2017-02-03,83.15
2017-02-10,83.34
2017-02-17,85.43
2017-02-24,84.19
2017-03-03,87.16
2017-03-10,86.36
2017-03-17,88.47
2017-03-24,85.56
2017-03-31,86.86
2017-04-07,86.47
2017-04-14,81.9
2017-04-21,87.52
2017-04-28,89.03
2017-05-05,90.31
2017-05-12,88.93
2017-05-19,89.15
2017-05-26,88.44
2017-06-02,91.97
2017-06-09,95.39
2017-06-16,96.51
