date,value
2015-01-02,71.62
2015-01-09,69.94
2015-01-16,67.64
2015-01-23,69.7
2015-01-30,67.13
2015-02-06,76.18
2015-02-13,77.73
2015-02-20,78.34
2015-02-27,77.68
2015-03-06,75.2
2015-03-13,71.89
2015-03-20,72.75
2015-03-27,76.75
2015-04-03,78.7
2015-04-10,81.0
2015-04-17,78.55
2015-04-24,81.1
2015-05-01,80.45
2015-05-08,78.87
2015-05-15,78.67
2015-05-22,80.26
2015-05-29,79.22
2015-06-05,78.49
2015-06-12,78.25
2015-06-19,79.17
2015-06-26,78.27
2015-07-03,77.74
2015-07-10,79.35
2015-07-17,82.17
2015-07-24,81.04
2015-07-31,82.94
2015-08-07,81.57
2015-08-14,82.87
2015-08-21,78.42
2015-08-28,77.54
2015-09-04,73.96
2015-09-11,74.09
2015-09-18,73.17
2015-09-25,72.22
2015-10-02,73.96
2015-10-09,75.73
2015-10-16,76.58
2015-10-23,76.49
2015-10-30,79.13
2015-11-06,79.58
2015-11-13,78.23
2015-11-20,82.78
2015-11-27,83.1
2015-12-04,84.27
2015-12-11,82.39
2015-12-18,82.71
2015-12-25,89.48
2016-01-01,86.9
2016-01-08,85.84
2016-01-15,84.25
2016-01-22,84.06
2016-01-29,86.97
2016-02-05,75.68
2016-02-12,72.06
2016-02-19,75.18
2016-02-26,76.54
2016-03-04,81.15
2016-03-11,80.42
2016-03-18,78.9
2016-03-25,78.16
2016-04-01,77.8
2016-04-08,76.71
2016-04-15,77.39
2016-04-22,79.83
2016-04-29,80.01
2016-05-06,74.59
2016-05-13,75.92
2016-05-20,78.74
2016-05-27,79.43
2016-06-03,79.99
2016-06-10,81.0
2016-06-17,81.91
2016-06-24,80.98
2016-07-01,82.59
2016-07-08,84.2
2016-07-15,85.27
2016-07-22,86.56
2016-07-29,86.62
2016-08-05,88.74
2016-08-12,89.83
2016-08-19,90.94
2016-08-26,90.84
2016-09-02,93.69
2016-09-09,90.86
2016-09-16,89.36
2016-09-23,90.88
2016-09-30,91.61
2016-10-07,92.62
2016-10-14,89.67
2016-10-21,90.54
2016-10-28,89.39
2016-11-04,94.25
2016-11-11,103.42
2016-11-18,103.57
2016-11-25,104.79
2016-12-02,104.96
2016-12-09,105.51
2016-12-16,104.0
2016-12-23,103.72
2016-12-30,102.47
2017-01-06,104.55
2017-01-13,101.76
2017-01-20,100.19
2017-01-27,102.53
2017-02-03,104.3
2017-02-10,105.74
2017-02-17,109.46
2017-02-24,111.1
2017-03-03,110.46
2017-03-10,110.62
2017-03-17,112.31
2017-03-24,110.89
2017-03-31,111.27
2017-04-07,110.17
2017-04-14,110.02
2017-04-21,110.27
2017-04-28,111.89
2017-05-05,110.72
2017-05-12,107.76
2017-05-19,107.81
2017-05-26,110.56
2017-06-02,113.82
2017-06-09,109.06
2017-06-16,110.54
2017-06-23,111.39
2017-06-30,109.08
2017-07-07,112.81
2017-07-14,115.18
2017-07-21,113.94
2017-07-28,114.41
2017-08-04,116.69
2017-08-11,118.37
2017-08-18,118.71
2017-08-25,119.66
2017-09-01,123.15
2017-09-08,122.51
2017-09-15,126.87
2017-09-22,131.8
2017-09-29,131.68
2017-10-06,135.66
2017-10-13,136.56
2017-10-20,136.73
2017-10-27,136.53
2017-11-03,139.41
2017-11-10,138.76
2017-11-17,139.84
2017-11-24,143.94
2017-12-01,142.86
2017-12-08,143.25
2017-12-15,144.09
2017-12-22,142.78
2017-12-29,141.65
2018-01-05,143.74
2018-01-12,147.21
2018-01-19,145.89
2018-01-26,146.15
2018-02-02,155.9
2018-02-09,153.02
2018-02-16,156.66
2018-02-23,158.8
2018-03-02,153.86
2018-03-09,157.72
2018-03-16,156.51
2018-03-23,157.19
2018-03-30,161.28
2018-04-06,161.04
2018-04-13,161.69
2018-04-20,168.0
2018-04-27,158.15
2018-05-04,149.84
2018-05-11,156.65
2018-05-18,153.9
2018-05-25,152.9
2018-06-01,152.69
2018-06-08,154.65
2018-06-15,149.23
2018-06-22,143.7
2018-06-29,144.54
2018-07-06,144.3
2018-07-13,148.89
2018-07-20,150.9
2018-07-27,153.88
2018-08-03,162.38
2018-08-10,163.26
2018-08-17,164.66
2018-08-24,163.23
2018-08-31,162.51
2018-09-07,160.18
2018-09-14,164.72
2018-09-21,164.28
2018-09-28,169.21
2018-10-05,167.56
2018-10-12,154.87
2018-10-19,168.93
2018-10-26,160.84
2018-11-02,147.03
2018-11-09,153.14
2018-11-16,150.91
2018-11-23,145.17
2018-11-30,142.95
2018-12-07,139.4
2018-12-14,148.47
2018-12-21,128.61
2018-12-28,131.18
2019-01-04,132.92
2019-01-11,136.91
2019-01-18,142.78
2019-01-25,143.48
2019-02-01,153.77
2019-02-08,160.16
2019-02-15,164.8
2019-02-22,165.88
2019-03-01,164.79
2019-03-08,161.78
2019-03-15,160.68
2019-03-22,159.28
2019-03-29,159.71
2019-04-05,164.5
2019-04-12,167.84
2019-04-19,165.65
2019-04-26,166.45
2019-05-03,177.89
2019-05-10,181.7
2019-05-17,183.65
2019-05-24,187.08
2019-05-31,187.19
2019-06-07,198.21
2019-06-14,190.6
2019-06-21,197.22
2019-06-28,189.13
2019-07-05,184.96
2019-07-12,195.72
2019-07-19,193.48
2019-07-26,199.83
2019-08-02,204.42
2019-08-09,211.61
2019-08-16,210.87
2019-08-23,208.89
2019-08-30,211.41
2019-09-06,214.7
2019-09-13,207.45
2019-09-20,211.98
2019-09-27,208.92
2019-10-04,207.77
2019-10-11,208.94
2019-10-18,198.08
2019-10-25,200.96
2019-11-01,201.41
2019-11-08,196.02
2019-11-15,202.52
2019-11-22,198.64
2019-11-29,201.09
2019-12-06,192.49
2019-12-13,200.18
2019-12-20,199.99
2019-12-27,201.71
2020-01-03,210.47
