date,value
2015-01-02,70.06
2015-01-09,69.93
2015-01-16,70.68
2015-01-23,72.13
2015-01-30,72.0
2015-02-06,70.36
2015-02-13,70.56
2015-02-20,71.88
2015-02-27,70.17
2015-03-06,68.41
2015-03-13,69.89
2015-03-20,76.12
2015-03-27,73.58
2015-04-03,71.24
2015-04-10,73.92
2015-04-17,72.47
2015-04-24,71.58
2015-05-01,73.12
2015-05-08,73.26
2015-05-15,72.9
2015-05-22,74.3
2015-05-29,78.9
2015-06-05,78.12
2015-06-12,84.21
2015-06-19,82.63
2015-06-26,85.85
2015-07-03,86.14
2015-07-10,88.29
2015-07-17,87.37
2015-07-24,84.72
2015-07-31,84.51
2015-08-07,82.27
2015-08-14,83.91
2015-08-21,84.53
2015-08-28,83.19
2015-09-04,80.32
2015-09-11,81.8
2015-09-18,88.49
2015-09-25,84.06
2015-10-02,87.52
2015-10-09,86.14
2015-10-16,81.51
2015-10-23,78.31
2015-10-30,81.57
2015-11-06,80.46
2015-11-13,79.55
2015-11-20,84.47
2015-11-27,83.65
2015-12-04,86.62
2015-12-11,83.29
2015-12-18,84.77
2015-12-25,85.85
2016-01-01,84.26
2016-01-08,81.25
2016-01-15,81.24
2016-01-22,82.48
2016-01-29,79.1
2016-02-05,74.32
2016-02-12,71.27
2016-02-19,72.61
2016-02-26,73.6
2016-03-04,73.6
2016-03-11,74.65
2016-03-18,70.95
2016-03-25,71.12
2016-04-01,73.42
2016-04-08,74.39
2016-04-15,75.53
2016-04-22,77.83
2016-04-29,75.53
2016-05-06,74.6
2016-05-13,76.33
2016-05-20,74.81
2016-05-27,74.99
2016-06-03,75.12
2016-06-10,73.95
2016-06-17,73.86
2016-06-24,74.33
2016-07-01,78.95
2016-07-08,79.66
2016-07-15,80.22
2016-07-22,81.59
2016-07-29,82.89
2016-08-05,81.56
2016-08-12,80.22
2016-08-19,79.06
2016-08-26,78.24
2016-09-02,76.85
2016-09-09,78.24
2016-09-16,78.8
2016-09-23,81.16
2016-09-30,80.26
2016-10-07,82.09
2016-10-14,79.27
2016-10-21,78.25
2016-10-28,74.53
2016-11-04,72.49
2016-11-11,77.67
2016-11-18,76.67
2016-11-25,69.12
2016-12-02,67.71
2016-12-09,67.85
2016-12-16,73.31
2016-12-23,73.79
2016-12-30,73.55
2017-01-06,75.67
2017-01-13,77.4
2017-01-20,76.81
2017-01-27,75.38
2017-02-03,77.23
2017-02-10,77.79
2017-02-17,80.39
2017-02-24,82.87
2017-03-03,83.78
2017-03-10,84.36
2017-03-17,83.96
2017-03-24,84.18
2017-03-31,84.11
2017-04-07,85.32
2017-04-14,85.88
2017-04-21,81.89
2017-04-28,82.06
2017-05-05,82.51
2017-05-12,80.19
2017-05-19,77.8
2017-05-26,78.05
2017-06-02,80.13
2017-06-09,81.04
2017-06-16,81.88
2017-06-23,83.89
2017-06-30,82.3
2017-07-07,82.29
2017-07-14,84.35
2017-07-21,84.66
2017-07-28,83.1
2017-08-04,82.31
2017-08-11,81.15
2017-08-18,77.07
2017-08-25,78.79
2017-09-01,80.08
2017-09-08,82.92
2017-09-15,82.44
2017-09-22,83.91
2017-09-29,85.54
2017-10-06,87.08
2017-10-13,86.55
2017-10-20,87.23
2017-10-27,83.86
2017-11-03,83.51
2017-11-10,83.29
2017-11-17,82.89
2017-11-24,84.03
2017-12-01,85.32
2017-12-08,86.45
2017-12-15,86.54
2017-12-22,85.07
2017-12-29,84.46
2018-01-05,86.57
2018-01-12,86.98
2018-01-19,85.49
2018-01-26,87.08
2018-02-02,81.18
2018-02-09,76.23
2018-02-16,78.97
2018-02-23,78.75
2018-03-02,77.23
2018-03-09,79.61
2018-03-16,80.49
2018-03-23,74.76
2018-03-30,77.37
2018-04-06,76.85
2018-04-13,79.72
2018-04-20,79.06
2018-04-27,82.73
2018-05-04,78.4
2018-05-11,82.45
2018-05-18,82.07
2018-05-25,82.77
2018-06-01,84.85
2018-06-08,86.08
2018-06-15,86.88
2018-06-22,85.92
2018-06-29,85.33
2018-07-06,87.39
2018-07-13,89.71
2018-07-20,88.47
2018-07-27,96.6
2018-08-03,100.58
2018-08-10,102.25
2018-08-17,105.55
2018-08-24,105.77
2018-08-31,105.65
2018-09-07,107.03
2018-09-14,105.77
2018-09-21,106.33
2018-09-28,107.31
2018-10-05,115.02
2018-10-12,110.48
2018-10-19,111.92
2018-10-26,106.39
2018-11-02,106.75
2018-11-09,112.21
2018-11-16,113.83
2018-11-23,112.87
2018-11-30,118.64
2018-12-07,113.58
2018-12-14,111.93
2018-12-21,109.42
2018-12-28,114.2
2019-01-04,114.66
2019-01-11,116.18
2019-01-18,116.59
2019-01-25,114.97
2019-02-01,120.89
2019-02-08,119.6
2019-02-15,122.48
2019-02-22,124.0
2019-03-01,128.84
2019-03-08,126.7
2019-03-15,123.94
2019-03-22,128.3
2019-03-29,129.76
2019-04-05,126.99
2019-04-12,123.06
2019-04-19,115.2
2019-04-26,119.87
2019-05-03,116.91
2019-05-10,116.22
2019-05-17,116.01
2019-05-24,116.79
2019-05-31,115.94
2019-06-07,118.35
2019-06-14,111.74
2019-06-21,115.49
