date,value
2015-01-02,119.83
2015-01-09,120.9
2015-01-16,121.4
2015-01-23,122.28
2015-01-30,123.89
2015-02-06,121.17
2015-02-13,120.83
2015-02-20,120.86
2015-02-27,121.8
2015-03-06,119.15
2015-03-13,119.97
2015-03-20,121.49
2015-03-27,121.28
2015-04-03,121.53
2015-04-10,121.64
2015-04-17,122.22
2015-04-24,121.65
2015-05-01,118.95
2015-05-08,119.01
2015-05-15,118.75
2015-05-22,117.83
2015-05-29,118.27
2015-06-05,115.94
2015-06-12,115.85
2015-06-19,116.52
2015-06-26,114.94
2015-07-03,115.46
2015-07-10,115.05
2015-07-17,115.46
2015-07-24,115.87
2015-07-31,116.35
2015-08-07,115.87
2015-08-14,115.42
2015-08-21,116.01
2015-08-28,115.35
2015-09-04,116.06
2015-09-11,115.62
2015-09-18,116.25
2015-09-25,115.76
2015-10-02,116.24
2015-10-09,116.16
2015-10-16,116.99
2015-10-23,117.16
2015-10-30,116.42
2015-11-06,114.75
2015-11-13,115.14
2015-11-20,115.63
2015-11-27,115.86
2015-12-04,115.25
2015-12-11,115.2
2015-12-18,114.47
2015-12-25,114.55
2016-01-01,114.01
2016-01-08,114.64
2016-01-15,114.14
2016-01-22,113.54
2016-01-29,114.15
2016-02-05,113.41
2016-02-12,113.49
2016-02-19,113.76
2016-02-26,114.93
2016-03-04,114.8
2016-03-11,116.22
2016-03-18,117.71
2016-03-25,117.89
2016-04-01,118.87
2016-04-08,119.21
2016-04-15,119.56
2016-04-22,119.66
2016-04-29,120.33
2016-05-06,119.84
2016-05-13,120.02
2016-05-20,118.92
2016-05-27,119.18
2016-06-03,120.34
2016-06-10,120.94
2016-06-17,120.76
2016-06-24,121.17
2016-07-01,123.05
2016-07-08,124.4
2016-07-15,123.09
2016-07-22,123.34
2016-07-29,123.99
2016-08-05,122.46
2016-08-12,123.76
2016-08-19,123.43
2016-08-26,123.4
2016-09-02,123.35
2016-09-09,121.82
2016-09-16,121.73
2016-09-23,122.88
2016-09-30,123.18
2016-10-07,122.11
2016-10-14,121.62
2016-10-21,122.51
2016-10-28,120.87
2016-11-04,120.81
2016-11-11,118.08
2016-11-18,116.59
2016-11-25,116.59
2016-12-02,116.4
2016-12-09,116.2
2016-12-16,115.6
2016-12-23,116.33
2016-12-30,117.18
2017-01-06,117.69
2017-01-13,117.78
2017-01-20,117.32
2017-01-27,117.34
2017-02-03,117.05
2017-02-10,117.53
2017-02-17,117.74
2017-02-24,118.78
2017-03-03,117.5
2017-03-10,116.01
2017-03-17,116.82
2017-03-24,117.72
2017-03-31,117.91
2017-04-07,117.78
2017-04-14,119.14
2017-04-21,119.08
2017-04-28,118.99
2017-05-05,118.4
2017-05-12,119.03
2017-05-19,119.97
2017-05-26,119.83
2017-06-02,120.52
