date,value
2015-01-02,96.45
2015-01-09,95.74
2015-01-16,95.2
2015-01-23,95.51
2015-01-30,96.2
2015-02-06,95.97
2015-02-13,96.41
2015-02-20,97.06
2015-02-27,96.83
2015-03-06,96.9
2015-03-13,96.17
2015-03-20,96.38
2015-03-27,96.28
2015-04-03,95.99
2015-04-10,96.4
2015-04-17,96.2
2015-04-24,96.28
2015-05-01,95.88
2015-05-08,95.89
2015-05-15,95.57
2015-05-22,95.6
2015-05-29,95.5
2015-06-05,95.17
2015-06-12,95.16
2015-06-19,94.85
2015-06-26,94.71
2015-07-03,94.58
2015-07-10,94.19
2015-07-17,93.72
2015-07-24,93.56
2015-07-31,93.33
2015-08-07,92.48
2015-08-14,92.35
2015-08-21,92.29
2015-08-28,92.65
2015-09-04,93.06
2015-09-11,92.65
2015-09-18,92.86
2015-09-25,92.72
2015-10-02,91.61
2015-10-09,92.04
2015-10-16,92.4
2015-10-23,92.53
2015-10-30,92.36
2015-11-06,92.02
2015-11-13,91.93
2015-11-20,91.75
2015-11-27,91.91
2015-12-04,92.21
2015-12-11,91.93
2015-12-18,90.95
2015-12-25,91.57
2016-01-01,91.68
2016-01-08,90.7
2016-01-15,88.9
2016-01-22,88.73
2016-01-29,88.33
2016-02-05,87.96
2016-02-12,86.27
2016-02-19,86.96
2016-02-26,87.49
2016-03-04,88.41
2016-03-11,89.82
2016-03-18,90.68
2016-03-25,90.8
2016-04-01,90.86
2016-04-08,90.82
2016-04-15,90.96
2016-04-22,92.21
2016-04-29,92.26
2016-05-06,91.72
2016-05-13,91.56
2016-05-20,91.5
2016-05-27,91.77
2016-06-03,91.54
2016-06-10,91.5
2016-06-17,91.11
2016-06-24,91.42
2016-07-01,92.14
2016-07-08,92.16
2016-07-15,92.43
2016-07-22,93.04
2016-07-29,92.59
2016-08-05,92.12
2016-08-12,92.57
2016-08-19,92.63
2016-08-26,92.64
2016-09-02,92.46
2016-09-09,91.96
2016-09-16,92.05
2016-09-23,92.5
2016-09-30,92.24
2016-10-07,92.58
2016-10-14,92.3
2016-10-21,92.83
2016-10-28,92.6
2016-11-04,92.35
2016-11-11,92.65
2016-11-18,92.59
2016-11-25,92.8
2016-12-02,92.68
2016-12-09,93.11
2016-12-16,93.78
2016-12-23,94.3
2016-12-30,94.07
2017-01-06,93.84
2017-01-13,93.94
2017-01-20,94.15
2017-01-27,94.47
2017-02-03,94.08
2017-02-10,94.18
2017-02-17,94.41
2017-02-24,94.8
2017-03-03,94.82
2017-03-10,94.16
2017-03-17,94.47
2017-03-24,94.58
2017-03-31,94.74
2017-04-07,94.36
2017-04-14,94.33
2017-04-21,94.25
2017-04-28,94.47
2017-05-05,94.4
2017-05-12,94.58
2017-05-19,94.56
2017-05-26,94.65
2017-06-02,94.6
2017-06-09,94.71
2017-06-16,94.97
2017-06-23,94.86
2017-06-30,95.49
2017-07-07,95.62
2017-07-14,95.71
2017-07-21,96.04
2017-07-28,95.94
2017-08-04,95.57
2017-08-11,94.86
2017-08-18,94.94
2017-08-25,94.96
2017-09-01,94.91
2017-09-08,94.5
2017-09-15,95.32
2017-09-22,95.69
2017-09-29,96.16
2017-10-06,96.4
2017-10-13,96.33
2017-10-20,96.62
2017-10-27,96.88
2017-11-03,96.48
2017-11-10,96.0
2017-11-17,96.03
2017-11-24,96.68
2017-12-01,96.66
2017-12-08,96.85
2017-12-15,97.01
2017-12-22,97.18
2017-12-29,97.33
2018-01-05,97.26
2018-01-12,97.64
2018-01-19,97.69
2018-01-26,98.5
2018-02-02,98.16
2018-02-09,97.49
2018-02-16,97.75
2018-02-23,97.52
2018-03-02,96.5
2018-03-09,96.93
2018-03-16,97.04
2018-03-23,96.13
2018-03-30,96.71
2018-04-06,96.8
2018-04-13,97.18
2018-04-20,96.73
2018-04-27,96.85
2018-05-04,96.1
2018-05-11,96.86
2018-05-18,96.69
2018-05-25,96.55
2018-06-01,96.2
2018-06-08,96.02
2018-06-15,96.19
2018-06-22,95.45
2018-06-29,95.53
2018-07-06,95.86
2018-07-13,96.29
2018-07-20,96.3
2018-07-27,96.95
2018-08-03,97.02
2018-08-10,96.27
2018-08-17,96.7
2018-08-24,96.49
2018-08-31,96.23
2018-09-07,96.21
2018-09-14,96.75
2018-09-21,97.05
2018-09-28,97.16
2018-10-05,96.71
2018-10-12,96.59
2018-10-19,96.5
2018-10-26,95.8
2018-11-02,95.9
2018-11-09,95.99
2018-11-16,94.68
2018-11-23,94.39
2018-11-30,93.76
2018-12-07,91.79
2018-12-14,92.28
2018-12-21,91.33
2018-12-28,90.69
2019-01-04,90.68
2019-01-11,91.61
2019-01-18,92.56
2019-01-25,93.03
2019-02-01,93.67
2019-02-08,93.26
2019-02-15,93.37
2019-02-22,93.31
2019-03-01,93.62
2019-03-08,93.25
2019-03-15,93.32
2019-03-22,93.45
2019-03-29,93.45
2019-04-05,93.65
2019-04-12,94.4
2019-04-19,94.33
2019-04-26,94.62
2019-05-03,94.34
2019-05-10,93.56
2019-05-17,93.22
2019-05-24,92.9
2019-05-31,92.48
2019-06-07,92.78
2019-06-14,92.72
2019-06-21,93.87
2019-06-28,94.02
2019-07-05,93.96
2019-07-12,94.0
2019-07-19,93.78
2019-07-26,94.27
2019-08-02,93.23
2019-08-09,92.28
2019-08-16,92.18
2019-08-23,92.73
2019-08-30,92.55
2019-09-06,92.32
2019-09-13,92.67
2019-09-20,93.06
2019-09-27,92.66
2019-10-04,92.4
2019-10-11,93.02
2019-10-18,93.73
2019-10-25,94.15
2019-11-01,94.03
2019-11-08,94.21
2019-11-15,94.0
2019-11-22,93.91
2019-11-29,94.6
2019-12-06,94.85
2019-12-13,95.52
2019-12-20,95.92
2019-12-27,95.99
2020-01-03,95.65
