date,value
2018-05-11,25.0
2018-05-18,24.97
2018-05-25,24.97
2018-06-01,25.07
2018-06-08,25.02
2018-06-15,25.08
2018-06-22,24.86
2018-06-29,24.86
2018-07-06,25.16
2018-07-13,25.16
2018-07-20,25.16
2018-07-27,25.18
2018-08-03,25.21
2018-08-10,25.27
2018-08-17,25.18
2018-08-24,25.18
2018-08-31,25.18
2018-09-07,25.18
2018-09-14,25.14
2018-09-21,24.97
2018-09-28,25.05
2018-10-05,24.75
2018-10-12,24.7
2018-10-19,24.52
2018-10-26,24.52
2018-11-02,24.22
2018-11-09,24.24
2018-11-16,24.02
2018-11-23,23.96
2018-11-30,23.9
2018-12-07,24.12
2018-12-14,24.1
2018-12-21,23.86
2018-12-28,23.78
2019-01-04,23.88
2019-01-11,24.15
2019-01-18,24.22
2019-01-25,24.33
2019-02-01,24.72
2019-02-08,24.83
2019-02-15,24.65
2019-02-22,24.72
2019-03-01,24.72
2019-03-08,24.76
2019-03-15,24.9
2019-03-22,25.39
2019-03-29,25.08
2019-04-05,25.16
2019-04-12,25.27
2019-04-19,25.26
2019-04-26,25.54
2019-05-03,25.17
2019-05-10,25.27
2019-05-17,25.3
2019-05-24,25.13
2019-05-31,25.38
2019-06-07,25.48
2019-06-14,25.51
2019-06-21,26.06
2019-06-28,26.08
2019-07-05,25.79
2019-07-12,25.84
2019-07-19,26.02
2019-07-26,26.25
2019-08-02,26.24
2019-08-09,26.21
2019-08-16,26.36
2019-08-23,26.47
2019-08-30,26.84
2019-09-06,26.48
2019-09-13,25.87
2019-09-20,26.34
2019-09-27,26.4
2019-10-04,26.26
2019-10-11,25.99
2019-10-18,26.32
2019-10-25,26.36
2019-11-01,26.4
2019-11-08,26.26
2019-11-15,26.4
2019-11-22,26.51
2019-11-29,26.66
2019-12-06,26.51
2019-12-13,26.9
2019-12-20,26.91
2019-12-27,26.92
2020-01-03,27.08
