date,value
2015-01-02,79.45
2015-01-09,79.73
2015-01-16,77.58
2015-01-23,80.42
2015-01-30,76.44
2015-02-06,78.14
2015-02-13,82.21
2015-02-20,83.84
2015-02-27,82.46
2015-03-06,80.17
2015-03-13,78.71
2015-03-20,79.23
2015-03-27,72.04
2015-04-03,70.75
2015-04-10,73.1
2015-04-17,70.66
2015-04-24,76.7
2015-05-01,77.23
2015-05-08,77.02
2015-05-15,78.73
2015-05-22,81.08
2015-05-29,82.25
2015-06-05,83.44
2015-06-12,81.46
2015-06-19,83.23
2015-06-26,82.86
2015-07-03,83.23
2015-07-10,78.53
2015-07-17,77.26
2015-07-24,75.45
2015-07-31,76.87
2015-08-07,72.42
2015-08-14,72.71
2015-08-21,69.75
2015-08-28,72.92
2015-09-04,69.75
2015-09-11,71.83
2015-09-18,71.22
2015-09-25,63.08
2015-10-02,65.68
2015-10-09,66.47
2015-10-16,68.28
2015-10-23,74.57
2015-10-30,76.59
2015-11-06,76.9
2015-11-13,75.57
2015-11-20,78.38
2015-11-27,77.63
2015-12-04,77.68
2015-12-11,78.89
2015-12-18,77.04
2015-12-25,80.39
2016-01-01,79.42
2016-01-08,70.48
2016-01-15,67.96
2016-01-22,68.72
2016-01-29,71.79
2016-02-05,68.97
2016-02-12,66.05
2016-02-19,69.77
2016-02-26,73.81
2016-03-04,74.33
2016-03-11,76.17
2016-03-18,79.42
2016-03-25,78.88
2016-04-01,82.93
2016-04-08,81.12
2016-04-15,81.64
2016-04-22,80.65
2016-04-29,76.4
2016-05-06,74.94
2016-05-13,74.34
2016-05-20,76.68
2016-05-27,82.97
2016-06-03,83.1
2016-06-10,82.37
2016-06-17,82.89
2016-06-24,82.28
2016-07-01,82.98
2016-07-08,84.88
2016-07-15,88.55
2016-07-22,90.05
2016-07-29,89.77
2016-08-05,93.25
2016-08-12,89.18
2016-08-19,93.19
2016-08-26,93.81
2016-09-02,94.36
2016-09-09,91.18
2016-09-16,92.96
2016-09-23,91.78
2016-09-30,94.71
2016-10-07,100.35
2016-10-14,98.22
2016-10-21,97.61
2016-10-28,96.21
2016-11-04,95.0
2016-11-11,97.49
2016-11-18,104.71
2016-11-25,107.54
2016-12-02,100.49
2016-12-09,104.09
2016-12-16,104.45
2016-12-23,108.06
2016-12-30,105.73
2017-01-06,107.6
2017-01-13,110.54
2017-01-20,112.35
2017-01-27,118.24
2017-02-03,117.65
2017-02-10,115.99
2017-02-17,114.9
2017-02-24,118.79
2017-03-03,118.62
2017-03-10,120.6
2017-03-17,126.48
2017-03-24,127.47
2017-03-31,128.36
2017-04-07,129.3
2017-04-14,125.17
2017-04-21,139.98
2017-04-28,144.85
2017-05-05,150.31
2017-05-12,149.58
2017-05-19,152.4
2017-05-26,155.12
2017-06-02,158.74
2017-06-09,157.78
2017-06-16,148.21
2017-06-23,151.78
2017-06-30,141.43
2017-07-07,148.13
2017-07-14,157.3
2017-07-21,163.53
2017-07-28,161.6
2017-08-04,150.05
2017-08-11,154.26
2017-08-18,160.49
2017-08-25,157.86
2017-09-01,166.86
2017-09-08,165.75
2017-09-15,172.99
2017-09-22,176.73
2017-09-29,185.04
2017-10-06,184.83
2017-10-13,189.9
2017-10-20,205.34
2017-10-27,208.0
2017-11-03,207.07
2017-11-10,207.39
2017-11-17,210.47
2017-11-24,216.83
2017-12-01,187.81
2017-12-08,186.46
2017-12-15,186.32
2017-12-22,186.69
2017-12-29,184.07
2018-01-05,196.4
2018-01-12,188.51
2018-01-19,207.53
2018-01-26,202.57
2018-02-02,179.06
2018-02-09,165.87
2018-02-16,187.91
2018-02-23,193.1
2018-03-02,194.53
2018-03-09,224.95
2018-03-16,221.92
2018-03-23,202.63
2018-03-30,203.16
2018-04-06,190.65
2018-04-13,203.74
2018-04-20,191.91
2018-04-27,187.26
2018-05-04,195.47
2018-05-11,201.55
2018-05-18,195.49
2018-05-25,202.03
2018-06-01,202.68
2018-06-08,188.03
2018-06-15,178.41
2018-06-22,174.7
2018-06-29,172.85
2018-07-06,173.86
2018-07-13,171.79
2018-07-20,177.81
2018-07-27,190.02
2018-08-03,187.29
2018-08-10,178.1
2018-08-17,169.91
2018-08-24,172.46
2018-08-31,173.09
2018-09-07,159.58
2018-09-14,153.46
2018-09-21,155.68
2018-09-28,151.7
2018-10-05,147.9
2018-10-12,143.61
2018-10-19,145.2
2018-10-26,139.1
2018-11-02,151.51
2018-11-09,147.85
2018-11-16,148.0
2018-11-23,143.94
2018-11-30,156.96
2018-12-07,138.03
2018-12-14,135.37
2018-12-21,127.16
2018-12-28,135.42
2019-01-04,138.06
2019-01-11,144.11
2019-01-18,147.55
