date,value
2015-01-02,85.68
2015-01-09,84.44
2015-01-16,83.8
2015-01-23,84.39
2015-01-30,82.03
2015-02-06,84.16
2015-02-13,87.14
2015-02-20,90.79
2015-02-27,90.13
2015-03-06,90.79
2015-03-13,87.75
2015-03-20,89.82
2015-03-27,87.25
2015-04-03,87.03
2015-04-10,88.57
2015-04-17,86.93
2015-04-24,90.72
2015-05-01,91.25
2015-05-08,93.51
2015-05-15,93.22
2015-05-22,92.69
2015-05-29,92.26
2015-06-05,92.62
2015-06-12,93.77
2015-06-19,94.81
2015-06-26,94.51
2015-07-03,94.24
2015-07-10,94.62
2015-07-17,96.08
2015-07-24,95.83
2015-07-31,97.4
2015-08-07,97.77
2015-08-14,97.89
2015-08-21,90.68
2015-08-28,94.08
2015-09-04,90.53
2015-09-11,91.35
2015-09-18,92.15
2015-09-25,91.3
2015-10-02,92.07
2015-10-09,95.82
2015-10-16,97.64
2015-10-23,99.79
2015-10-30,98.99
2015-11-06,101.5
2015-11-13,96.86
2015-11-20,99.5
2015-11-27,98.67
2015-12-04,98.7
2015-12-11,94.83
2015-12-18,96.29
2015-12-25,98.59
2016-01-01,97.36
2016-01-08,89.89
2016-01-15,88.71
2016-01-22,88.0
2016-01-29,89.03
2016-02-05,82.76
2016-02-12,84.89
2016-02-19,86.79
2016-02-26,87.57
2016-03-04,90.05
2016-03-11,88.58
2016-03-18,92.31
2016-03-25,91.91
2016-04-01,95.87
2016-04-08,93.79
2016-04-15,96.68
2016-04-22,97.45
2016-04-29,96.99
2016-05-06,96.68
2016-05-13,95.36
2016-05-20,95.47
2016-05-27,97.18
2016-06-03,96.03
2016-06-10,95.21
2016-06-17,93.29
2016-06-24,91.47
2016-07-01,88.85
2016-07-08,88.56
2016-07-15,90.93
2016-07-22,93.66
2016-07-29,95.24
2016-08-05,96.88
2016-08-12,96.12
2016-08-19,95.22
2016-08-26,96.47
2016-09-02,97.89
2016-09-09,98.15
2016-09-16,99.36
2016-09-23,101.66
2016-09-30,101.77
2016-10-07,102.25
2016-10-14,100.88
2016-10-21,102.85
2016-10-28,106.9
2016-11-04,103.03
2016-11-11,104.62
2016-11-18,104.78
2016-11-25,105.73
2016-12-02,101.1
2016-12-09,104.41
2016-12-16,103.43
2016-12-23,104.71
2016-12-30,103.25
2017-01-06,107.76
2017-01-13,108.7
2017-01-20,109.96
2017-01-27,109.84
2017-02-03,106.58
2017-02-10,107.27
2017-02-17,109.42
2017-02-24,111.0
2017-03-03,111.74
2017-03-10,111.21
2017-03-17,112.83
2017-03-24,111.98
2017-03-31,112.47
2017-04-07,112.24
2017-04-14,111.22
2017-04-21,114.27
2017-04-28,116.32
2017-05-05,117.5
2017-05-12,117.13
2017-05-19,117.58
2017-05-26,121.63
2017-06-02,125.2
2017-06-09,123.04
2017-06-16,121.96
2017-06-23,124.01
2017-06-30,121.45
2017-07-07,122.2
2017-07-14,127.01
2017-07-21,129.27
2017-07-28,127.91
2017-08-04,129.82
2017-08-11,128.55
2017-08-18,131.14
2017-08-25,132.75
2017-09-01,133.24
2017-09-08,137.22
2017-09-15,141.58
2017-09-22,141.89
2017-09-29,141.2
2017-10-06,143.52
2017-10-13,147.34
2017-10-20,145.38
2017-10-27,148.52
2017-11-03,149.29
2017-11-10,149.54
2017-11-17,149.02
2017-11-24,152.74
2017-12-01,149.69
2017-12-08,149.89
2017-12-15,153.4
2017-12-22,150.85
2017-12-29,151.36
2018-01-05,159.04
2018-01-12,162.33
2018-01-19,166.83
2018-01-26,170.34
2018-02-02,170.55
2018-02-09,165.2
2018-02-16,175.65
2018-02-23,175.76
2018-03-02,175.02
2018-03-09,183.24
2018-03-16,182.55
2018-03-23,171.83
2018-03-30,175.16
2018-04-06,169.7
2018-04-13,174.27
2018-04-20,177.08
2018-04-27,175.94
2018-05-04,188.17
2018-05-11,193.35
2018-05-18,190.4
2018-05-25,191.17
2018-06-01,195.37
2018-06-08,200.04
2018-06-15,199.53
2018-06-22,201.48
2018-06-29,196.52
2018-07-06,199.52
2018-07-13,205.91
2018-07-20,206.71
2018-07-27,202.94
2018-08-03,201.2
2018-08-10,202.65
2018-08-17,203.21
2018-08-24,209.4
2018-08-31,215.56
2018-09-07,211.09
2018-09-14,217.96
2018-09-21,221.9
2018-09-28,222.61
2018-10-05,213.26
2018-10-12,204.22
2018-10-19,203.06
2018-10-26,197.49
2018-11-02,197.72
2018-11-09,205.62
2018-11-16,199.04
2018-11-23,182.6
2018-11-30,201.07
2018-12-07,196.5
2018-12-14,195.33
2018-12-21,175.19
2018-12-28,186.16
2019-01-04,189.76
2019-01-11,195.9
2019-01-18,202.0
2019-01-25,202.94
2019-02-01,213.77
2019-02-08,216.58
2019-02-15,222.11
2019-02-22,223.32
2019-03-01,227.25
2019-03-08,221.87
2019-03-15,231.17
2019-03-22,230.76
2019-03-29,235.45
2019-04-05,236.63
2019-04-12,238.83
2019-04-19,240.89
2019-04-26,246.68
2019-05-03,247.95
2019-05-10,247.43
2019-05-17,252.55
2019-05-24,251.48
2019-05-31,251.49
2019-06-07,265.8
2019-06-14,260.1
2019-06-21,264.47
2019-06-28,264.53
2019-07-05,272.14
2019-07-12,279.54
2019-07-19,275.6
2019-07-26,282.07
2019-08-02,269.45
2019-08-09,274.95
2019-08-16,274.36
2019-08-23,271.89
2019-08-30,281.37
2019-09-06,291.38
2019-09-13,276.32
2019-09-20,271.17
2019-09-27,269.13
2019-10-04,274.06
2019-10-11,275.91
2019-10-18,270.63
2019-10-25,270.19
2019-11-01,279.05
2019-11-08,274.89
2019-11-15,280.78
2019-11-22,282.57
2019-11-29,292.23
2019-12-06,290.4
2019-12-13,296.09
2019-12-20,298.57
2019-12-27,300.74
2020-01-03,300.43
