date,value
2015-01-02,25.88
2015-01-09,27.52
2015-01-16,26.72
2015-01-23,26.42
2015-01-30,25.52
2015-02-06,27.03
2015-02-13,27.38
2015-02-20,29.9
2015-02-27,29.47
2015-03-06,30.22
2015-03-13,30.87
2015-03-20,31.01
2015-03-27,31.84
2015-04-03,33.45
2015-04-10,34.97
2015-04-17,34.14
2015-04-24,34.83
2015-05-01,34.17
2015-05-08,34.71
2015-05-15,34.63
2015-05-22,35.59
2015-05-29,35.1
2015-06-05,36.34
2015-06-12,38.84
2015-06-19,38.89
2015-06-26,39.46
2015-07-03,38.61
2015-07-10,38.5
2015-07-17,39.23
2015-07-24,41.98
2015-07-31,41.68
2015-08-07,41.44
2015-08-14,42.7
2015-08-21,41.53
2015-08-28,41.51
2015-09-04,39.67
2015-09-11,41.64
2015-09-18,42.45
2015-09-25,40.18
2015-10-02,39.26
2015-10-09,39.58
2015-10-16,41.0
2015-10-23,38.45
2015-10-30,39.68
2015-11-06,43.12
2015-11-13,41.14
2015-11-20,41.72
2015-11-27,42.48
2015-12-04,41.07
2015-12-11,40.44
2015-12-18,41.43
2015-12-25,41.78
2016-01-01,41.51
2016-01-08,36.15
2016-01-15,36.67
2016-01-22,37.19
2016-01-29,36.75
2016-02-05,35.19
2016-02-12,35.41
2016-02-19,36.66
2016-02-26,38.75
2016-03-04,38.38
2016-03-11,38.73
2016-03-18,39.84
2016-03-25,39.58
2016-04-01,42.47
2016-04-08,41.81
2016-04-15,42.92
2016-04-22,43.33
2016-04-29,43.35
2016-05-06,46.09
2016-05-13,46.87
2016-05-20,48.63
2016-05-27,49.66
2016-06-03,49.94
2016-06-10,52.1
2016-06-17,50.5
2016-06-24,50.96
2016-07-01,52.47
2016-07-08,52.33
2016-07-15,52.47
2016-07-22,51.8
2016-07-29,52.97
2016-08-05,55.98
2016-08-12,58.24
2016-08-19,58.01
2016-08-26,58.97
2016-09-02,59.9
2016-09-09,57.54
2016-09-16,59.34
2016-09-23,59.77
2016-09-30,59.49
2016-10-07,59.97
2016-10-14,58.44
2016-10-21,58.96
2016-10-28,56.3
2016-11-04,57.18
2016-11-11,61.17
2016-11-18,61.91
2016-11-25,62.6
2016-12-02,61.31
2016-12-09,64.69
2016-12-16,66.55
2016-12-23,67.5
2016-12-30,67.4
2017-01-06,67.83
2017-01-13,71.52
2017-01-20,71.53
2017-01-27,72.58
2017-02-03,75.08
2017-02-10,76.64
2017-02-17,84.11
2017-02-24,88.53
2017-03-03,93.28
2017-03-10,95.37
2017-03-17,93.22
2017-03-24,93.22
2017-03-31,93.26
2017-04-07,92.99
2017-04-14,92.56
2017-04-21,97.53
2017-04-28,102.74
2017-05-05,88.41
2017-05-12,84.83
2017-05-19,85.67
2017-05-26,87.44
2017-06-02,90.5
2017-06-09,88.91
2017-06-16,91.11
2017-06-23,93.94
2017-06-30,91.18
2017-07-07,91.04
2017-07-14,94.32
2017-07-21,96.19
2017-07-28,96.36
2017-08-04,85.29
2017-08-11,83.58
2017-08-18,85.78
2017-08-25,81.97
2017-09-01,85.55
2017-09-08,86.14
