date,value
2015-01-02,7.17
2015-01-09,8.11
2015-01-16,8.39
2015-01-23,8.62
2015-01-30,7.86
2015-02-06,9.39
2015-02-13,10.36
2015-02-20,9.96
2015-02-27,9.9
2015-03-06,9.3
2015-03-13,9.38
2015-03-20,9.95
2015-03-27,9.85
2015-04-03,10.2
2015-04-10,11.07
2015-04-17,11.63
2015-04-24,11.97
2015-05-01,11.97
2015-05-08,12.35
2015-05-15,12.77
2015-05-22,11.23
2015-05-29,10.46
2015-06-05,9.33
2015-06-12,9.37
2015-06-19,10.09
2015-06-26,9.73
2015-07-03,9.17
2015-07-10,8.73
2015-07-17,8.31
2015-07-24,7.72
2015-07-31,8.2
2015-08-07,8.2
2015-08-14,8.05
2015-08-21,7.05
2015-08-28,7.38
2015-09-04,7.18
2015-09-11,7.3
2015-09-18,7.35
2015-09-25,7.04
2015-10-02,7.12
2015-10-09,7.63
2015-10-16,7.75
2015-10-23,7.55
2015-10-30,7.03
2015-11-06,6.89
2015-11-13,6.16
2015-11-20,7.8
2015-11-27,7.29
2015-12-04,7.04
2015-12-11,6.37
2015-12-18,6.31
2015-12-25,6.41
2016-01-01,6.18
2016-01-08,5.22
2016-01-15,5.72
2016-01-22,6.17
2016-01-29,7.0
2016-02-05,6.96
2016-02-12,7.01
2016-02-19,7.29
2016-02-26,6.97
2016-03-04,7.73
2016-03-11,7.4
2016-03-18,7.46
2016-03-25,8.02
2016-04-01,8.19
2016-04-08,8.56
2016-04-15,8.93
2016-04-22,9.04
2016-04-29,9.26
2016-05-06,9.36
2016-05-13,9.07
2016-05-20,8.85
2016-05-27,8.86
2016-06-03,9.0
2016-06-10,8.7
2016-06-17,8.36
2016-06-24,7.94
2016-07-01,8.38
2016-07-08,8.5
2016-07-15,8.84
2016-07-22,9.01
2016-07-29,8.89
2016-08-05,8.86
2016-08-12,9.15
2016-08-19,8.58
2016-08-26,8.19
2016-09-02,8.14
2016-09-09,8.17
2016-09-16,7.67
2016-09-23,7.75
2016-09-30,7.63
2016-10-07,7.95
2016-10-14,7.55
2016-10-21,7.55
2016-10-28,7.17
2016-11-04,7.42
2016-11-11,7.32
2016-11-18,7.22
2016-11-25,7.66
2016-12-02,8.55
2016-12-09,9.02
2016-12-16,9.18
2016-12-23,9.04
2016-12-30,9.11
2017-01-06,9.28
2017-01-13,10.13
2017-01-20,10.55
2017-01-27,10.78
2017-02-03,10.5
2017-02-10,10.45
2017-02-17,10.33
2017-02-24,10.57
2017-03-03,10.3
2017-03-10,9.81
2017-03-17,10.65
2017-03-24,11.49
2017-03-31,11.03
2017-04-07,10.84
2017-04-14,10.47
2017-04-21,10.38
2017-04-28,10.32
2017-05-05,9.72
2017-05-12,9.44
2017-05-19,9.27
2017-05-26,9.14
2017-06-02,9.34
2017-06-09,9.45
2017-06-16,8.83
2017-06-23,8.8
2017-06-30,8.38
2017-07-07,7.78
2017-07-14,8.48
2017-07-21,8.4
2017-07-28,8.66
2017-08-04,8.7
2017-08-11,8.53
2017-08-18,8.86
2017-08-25,9.28
2017-09-01,9.99
2017-09-08,10.64
