date,value
2015-01-02,93.26
2015-01-09,93.21
2015-01-16,91.49
2015-01-23,89.56
2015-01-30,92.44
2015-02-06,93.99
2015-02-13,95.65
2015-02-20,94.19
2015-02-27,98.9
2015-03-06,97.13
2015-03-13,96.35
2015-03-20,97.05
2015-03-27,96.96
2015-04-03,95.83
2015-04-10,97.8
2015-04-17,94.88
2015-04-24,98.74
2015-05-01,97.8
2015-05-08,98.23
2015-05-15,98.04
2015-05-22,98.99
2015-05-29,95.93
2015-06-05,95.54
2015-06-12,95.06
2015-06-19,96.08
2015-06-26,97.29
2015-07-03,96.17
2015-07-10,97.65
2015-07-17,97.5
2015-07-24,96.1
2015-07-31,99.86
2015-08-07,98.92
2015-08-14,99.27
2015-08-21,97.13
2015-08-28,96.25
2015-09-04,94.85
2015-09-11,97.41
2015-09-18,97.05
2015-09-25,97.59
2015-10-02,99.79
2015-10-09,102.76
2015-10-16,104.82
2015-10-23,112.59
2015-10-30,112.25
2015-11-06,113.31
2015-11-13,109.97
2015-11-20,113.91
2015-11-27,114.23
2015-12-04,116.2
2015-12-11,116.08
2015-12-18,116.66
2015-12-25,118.57
2016-01-01,118.14
2016-01-08,115.48
2016-01-15,115.18
2016-01-22,118.4
2016-01-29,123.78
2016-02-05,115.4
2016-02-12,117.93
2016-02-19,116.53
2016-02-26,117.06
2016-03-04,117.18
2016-03-11,121.55
2016-03-18,124.08
2016-03-25,123.29
2016-04-01,127.02
2016-04-08,127.96
2016-04-15,127.78
2016-04-22,125.5
2016-04-29,126.49
2016-05-06,130.58
2016-05-13,128.83
2016-05-20,122.56
2016-05-27,123.25
2016-06-03,121.35
2016-06-10,122.36
2016-06-17,122.27
2016-06-24,119.44
2016-07-01,120.4
2016-07-08,121.31
2016-07-15,123.61
2016-07-22,128.26
2016-07-29,117.65
2016-08-05,119.21
2016-08-12,119.52
2016-08-19,115.01
2016-08-26,114.44
2016-09-02,115.83
2016-09-09,114.58
2016-09-16,115.28
2016-09-23,117.17
2016-09-30,115.36
2016-10-07,113.45
2016-10-14,114.09
2016-10-21,113.93
2016-10-28,112.1
2016-11-04,111.04
2016-11-11,114.22
2016-11-18,120.0
2016-11-25,120.66
2016-12-02,118.24
2016-12-09,121.26
2016-12-16,123.24
2016-12-23,123.14
2016-12-30,121.72
2017-01-06,120.76
2017-01-13,121.5
2017-01-20,122.26
2017-01-27,122.86
2017-02-03,124.24
2017-02-10,125.82
2017-02-17,127.8
2017-02-24,128.65
2017-03-03,127.9
2017-03-10,127.98
2017-03-17,128.64
2017-03-24,129.34
2017-03-31,129.61
2017-04-07,129.96
2017-04-14,130.76
2017-04-21,133.41
2017-04-28,139.93
2017-05-05,143.96
2017-05-12,145.36
2017-05-19,148.15
2017-05-26,149.86
2017-06-02,153.74
2017-06-09,151.48
2017-06-16,151.99
2017-06-23,154.64
2017-06-30,153.16
2017-07-07,156.27
2017-07-14,155.28
2017-07-21,153.92
2017-07-28,155.85
2017-08-04,153.82
2017-08-11,157.3
2017-08-18,157.76
2017-08-25,158.82
2017-09-01,159.81
2017-09-08,159.71
2017-09-15,156.92
2017-09-22,158.91
2017-09-29,156.68
2017-10-06,159.6
2017-10-13,165.37
2017-10-20,166.3
2017-10-27,165.39
2017-11-03,168.65
2017-11-10,165.59
2017-11-17,166.72
2017-11-24,169.11
2017-12-01,172.87
2017-12-08,173.15
2017-12-15,174.06
2017-12-22,171.42
2017-12-29,172.12
2018-01-05,174.05
2018-01-12,173.57
2018-01-19,176.12
2018-01-26,178.36
2018-02-02,169.38
2018-02-09,160.8
2018-02-16,157.79
2018-02-23,163.06
2018-03-02,148.27
2018-03-09,157.24
2018-03-16,162.36
2018-03-23,154.98
2018-03-30,156.38
2018-04-06,161.25
2018-04-13,161.73
2018-04-20,158.77
2018-04-27,158.3
2018-05-04,165.03
2018-05-11,165.39
2018-05-18,160.98
2018-05-25,163.21
2018-06-01,159.16
2018-06-08,168.91
2018-06-15,166.46
2018-06-22,164.55
2018-06-29,156.69
2018-07-06,159.42
2018-07-13,158.51
2018-07-20,157.97
2018-07-27,157.48
2018-08-03,156.21
2018-08-10,158.68
2018-08-17,161.15
2018-08-24,159.38
2018-08-31,162.23
2018-09-07,163.9
2018-09-14,160.84
2018-09-21,165.3
2018-09-28,167.29
2018-10-05,166.57
2018-10-12,163.82
2018-10-19,167.49
2018-10-26,173.34
2018-11-02,176.75
2018-11-09,185.94
2018-11-16,187.59
2018-11-23,181.93
2018-11-30,188.51
2018-12-07,182.96
2018-12-14,183.29
2018-12-21,174.15
2018-12-28,175.56
2019-01-04,178.28
2019-01-11,182.37
2019-01-18,182.57
2019-01-25,184.0
2019-02-01,176.72
2019-02-08,174.75
2019-02-15,179.97
2019-02-22,183.17
2019-03-01,185.05
2019-03-08,179.5
2019-03-15,185.33
2019-03-22,186.81
2019-03-29,189.9
2019-04-05,190.71
2019-04-12,191.6
2019-04-19,194.91
2019-04-26,197.42
2019-05-03,197.52
2019-05-10,199.99
2019-05-17,199.22
2019-05-24,197.77
2019-05-31,198.27
2019-06-07,205.48
2019-06-14,205.29
2019-06-21,204.26
2019-06-28,207.66
2019-07-05,211.24
2019-07-12,212.99
2019-07-19,213.87
2019-07-26,215.58
2019-08-02,214.48
2019-08-09,221.15
2019-08-16,218.47
2019-08-23,214.66
2019-08-30,217.97
2019-09-06,220.03
2019-09-13,209.81
2019-09-20,209.39
2019-09-27,213.16
2019-10-04,211.69
2019-10-11,209.02
2019-10-18,208.5
2019-10-25,194.61
2019-11-01,193.94
2019-11-08,193.61
2019-11-15,193.97
2019-11-22,193.14
2019-11-29,194.48
2019-12-06,195.35
2019-12-13,197.12
2019-12-20,197.14
2019-12-27,198.17
2020-01-03,200.08
