date,value
2015-01-02,50.26
2015-01-09,51.32
2015-01-16,50.95
2015-01-23,52.85
2015-01-30,50.4
2015-02-06,51.03
2015-02-13,52.12
2015-02-20,52.49
2015-02-27,53.06
2015-03-06,50.65
2015-03-13,50.94
2015-03-20,52.97
2015-03-27,52.84
2015-04-03,56.07
2015-04-10,62.25
2015-04-17,61.22
2015-04-24,63.54
2015-05-01,63.26
2015-05-08,61.58
2015-05-15,61.79
2015-05-22,62.8
2015-05-29,59.85
2015-06-05,59.94
2015-06-12,59.63
2015-06-19,57.26
2015-06-26,56.42
2015-07-03,55.67
2015-07-10,52.28
2015-07-17,52.76
2015-07-24,51.56
2015-07-31,50.04
2015-08-07,49.81
2015-08-14,49.73
2015-08-21,44.57
2015-08-28,44.67
2015-09-04,41.67
2015-09-11,44.9
2015-09-18,44.75
2015-09-25,43.66
2015-10-02,45.84
2015-10-09,47.54
2015-10-16,48.92
2015-10-23,49.89
2015-10-30,47.3
2015-11-06,48.27
2015-11-13,46.2
2015-11-20,48.02
2015-11-27,46.26
2015-12-04,46.75
2015-12-11,43.66
2015-12-18,45.35
2015-12-25,45.81
2016-01-01,44.62
2016-01-08,39.98
2016-01-15,37.8
2016-01-22,38.95
2016-01-29,39.28
2016-02-05,37.37
2016-02-12,36.56
2016-02-19,38.54
2016-02-26,38.43
2016-03-04,41.41
2016-03-11,41.31
2016-03-18,42.15
2016-03-25,41.24
2016-04-01,42.36
2016-04-08,41.57
2016-04-15,43.47
2016-04-22,43.28
2016-04-29,42.27
2016-05-06,40.64
2016-05-13,39.39
2016-05-20,40.0
2016-05-27,41.51
2016-06-03,42.12
2016-06-10,41.57
2016-06-17,40.78
2016-06-24,40.38
2016-07-01,42.7
2016-07-08,42.34
2016-07-15,43.83
2016-07-22,44.29
2016-07-29,44.02
2016-08-05,44.75
2016-08-12,46.56
2016-08-19,47.37
2016-08-26,46.58
2016-09-02,47.92
2016-09-09,48.03
2016-09-16,48.21
2016-09-23,49.08
2016-09-30,48.5
2016-10-07,48.98
2016-10-14,47.84
2016-10-21,48.37
2016-10-28,47.1
2016-11-04,45.85
2016-11-11,45.28
2016-11-18,45.33
2016-11-25,46.23
2016-12-02,45.89
2016-12-09,46.21
2016-12-16,44.01
2016-12-23,42.8
2016-12-30,43.73
2017-01-06,45.34
2017-01-13,46.31
2017-01-20,46.13
2017-01-27,47.14
2017-02-03,47.11
2017-02-10,48.53
2017-02-17,49.01
2017-02-24,49.08
2017-03-03,48.65
2017-03-10,48.6
2017-03-17,50.3
2017-03-24,50.58
2017-03-31,49.93
2017-04-07,50.39
2017-04-14,49.97
2017-04-21,50.34
2017-04-28,51.16
2017-05-05,50.62
2017-05-12,52.41
2017-05-19,53.24
2017-05-26,54.19
2017-06-02,54.47
2017-06-09,55.05
2017-06-16,53.9
2017-06-23,55.03
2017-06-30,54.69
2017-07-07,54.31
2017-07-14,57.74
2017-07-21,58.14
2017-07-28,59.26
2017-08-04,59.6
2017-08-11,58.6
2017-08-18,59.67
2017-08-25,61.76
2017-09-01,62.12
2017-09-08,61.54
2017-09-15,63.65
2017-09-22,63.83
2017-09-29,63.09
2017-10-06,65.31
2017-10-13,65.84
2017-10-20,65.52
2017-10-27,65.17
2017-11-03,65.83
2017-11-10,67.39
2017-11-17,67.57
2017-11-24,69.45
2017-12-01,65.31
2017-12-08,65.505
2017-12-15,65.61
2017-12-22,66.78
2017-12-29,66.54
2018-01-05,70.61
2018-01-12,71.99
2018-01-19,73.4
2018-01-26,76.72
2018-02-02,71.71
2018-02-09,65.83
2018-02-16,71.24
2018-02-23,72.34
2018-03-02,68.98
2018-03-09,72.1
2018-03-16,72.64
2018-03-23,67.09
2018-03-30,68.57
2018-04-06,66.2
2018-04-13,67.83
2018-04-20,66.85
2018-04-27,66.96
2018-05-04,67.2
2018-05-11,69.74
2018-05-18,69.16
2018-05-25,69.18
2018-06-01,69.87
2018-06-08,71.09
2018-06-15,70.16
2018-06-22,67.07
2018-06-29,64.6
2018-07-06,64.04
2018-07-13,64.6
2018-07-20,63.66
2018-07-27,64.27
2018-08-03,61.73
2018-08-10,62.16
2018-08-17,59.59
2018-08-24,61.21
2018-08-31,60.74
2018-09-07,57.87
2018-09-14,58.17
2018-09-21,60.61
2018-09-28,59.89
2018-10-05,56.63
2018-10-12,55.07
2018-10-19,53.55
2018-10-26,52.51
2018-11-02,56.09
2018-11-09,53.94
2018-11-16,56.45
2018-11-23,54.77
2018-11-30,57.48
2018-12-07,55.36
2018-12-14,55.57
2018-12-21,52.06
2018-12-28,52.78
2019-01-04,53.07
2019-01-11,55.28
2019-01-18,57.15
2019-01-25,57.84
2019-02-01,58.95
2019-02-08,58.77
2019-02-15,58.8
2019-02-22,60.93
2019-03-01,61.21
2019-03-08,59.61
2019-03-15,61.83
2019-03-22,60.85
2019-03-29,62.43
2019-04-05,64.92
2019-04-12,65.03
2019-04-19,64.89
2019-04-26,63.56
2019-05-03,64.58
2019-05-10,60.13
2019-05-17,57.68
2019-05-24,54.88
2019-05-31,55.33
2019-06-07,55.82
2019-06-14,55.99
2019-06-21,59.0
2019-06-28,59.45
2019-07-05,59.65
2019-07-12,58.91
2019-07-19,59.33
2019-07-26,59.92
2019-08-02,56.0
2019-08-09,54.61
2019-08-16,55.37
2019-08-23,54.76
2019-08-30,56.42
2019-09-06,58.28
2019-09-13,59.82
2019-09-20,58.2
2019-09-27,55.54
2019-10-04,56.69
2019-10-11,58.01
2019-10-18,57.73
2019-10-25,58.59
2019-11-01,59.37
2019-11-08,61.13
2019-11-15,59.17
2019-11-22,59.43
2019-11-29,59.66
2019-12-06,60.5
2019-12-13,62.11
2019-12-20,63.535
2019-12-27,64.27
2020-01-03,64.99
