date,value
2015-01-02,44.87
2015-01-09,44.52
2015-01-16,44.84
2015-01-23,46.52
2015-01-30,45.1
2015-02-06,48.64
2015-02-13,50.71
2015-02-20,50.925
2015-02-27,51.27
2015-03-06,50.75
2015-03-13,49.52
2015-03-20,50.87
2015-03-27,49.205
2015-04-03,48.18
2015-04-10,50.0
2015-04-17,49.2
2015-04-24,47.33
2015-05-01,48.59
2015-05-08,48.97
2015-05-15,49.255
2015-05-22,48.4
2015-05-29,49.13
2015-06-05,47.46
2015-06-12,47.36
2015-06-19,49.665
2015-06-26,48.42
2015-07-03,46.525
2015-07-10,44.85
2015-07-17,44.34
2015-07-24,41.87
2015-07-31,42.84
2015-08-07,43.56
2015-08-14,43.29
2015-08-21,40.84
2015-08-28,43.24
2015-09-04,41.0
2015-09-11,43.89
2015-09-18,42.8
2015-09-25,41.38
2015-10-02,43.38
2015-10-09,46.27
2015-10-16,46.94
2015-10-23,49.11
2015-10-30,48.29
2015-11-06,47.85
2015-11-13,45.64
2015-11-20,47.38
2015-11-27,47.69
2015-12-04,47.37
2015-12-11,44.64
2015-12-18,46.09
2015-12-25,47.26
2016-01-01,46.54
2016-01-08,41.53
2016-01-15,40.52
2016-01-22,43.14
2016-01-29,44.81
2016-02-05,42.22
2016-02-12,40.41
2016-02-19,42.37
2016-02-26,44.88
2016-03-04,46.83
2016-03-11,48.61
2016-03-18,49.11
2016-03-25,48.12
2016-04-01,48.28
2016-04-08,48.45
2016-04-15,48.76
2016-04-22,49.71
2016-04-29,48.59
2016-05-06,47.95
2016-05-13,47.16
2016-05-20,48.82
2016-05-27,50.99
2016-06-03,51.81
2016-06-10,52.25
2016-06-17,51.21
2016-06-24,50.47
2016-07-01,50.42
2016-07-08,51.87
2016-07-15,53.77
2016-07-22,54.17
2016-07-29,55.64
2016-08-05,56.56
2016-08-12,60.51
2016-08-19,61.3
2016-08-26,61.58
2016-09-02,62.69
2016-09-09,58.52
2016-09-16,60.31
2016-09-23,60.64
2016-09-30,62.14
2016-10-07,62.06
2016-10-14,59.0
2016-10-21,59.5
2016-10-28,60.3
2016-11-04,60.22
2016-11-11,63.15
2016-11-18,64.57
2016-11-25,66.08
2016-12-02,62.05
2016-12-09,64.53
2016-12-16,64.53
2016-12-23,65.4
2016-12-30,64.15
2017-01-06,63.68
2017-01-13,66.34
2017-01-20,66.93
2017-01-27,68.76
2017-02-03,69.43
2017-02-10,70.9
2017-02-17,71.68
2017-02-24,72.83
2017-03-03,73.3
2017-03-10,73.95
2017-03-17,74.28
2017-03-24,73.15
2017-03-31,73.78
2017-04-07,74.06
2017-04-14,72.24
2017-04-21,74.43
2017-04-28,75.58
2017-05-05,75.17
2017-05-12,79.0
2017-05-19,80.18
2017-05-26,81.7
2017-06-02,84.34
2017-06-09,83.48
2017-06-16,81.23
2017-06-23,81.59
2017-06-30,77.18
2017-07-07,78.36
2017-07-14,80.84
2017-07-21,80.88
2017-07-28,80.7
2017-08-04,83.49
2017-08-11,82.21
2017-08-18,81.58
2017-08-25,82.63
2017-09-01,87.85
2017-09-08,86.57
2017-09-15,89.62
2017-09-22,89.69
2017-09-29,89.78
2017-10-06,91.55
2017-10-13,91.76
2017-10-20,92.73
2017-10-27,94.72
2017-11-03,93.66
2017-11-10,91.56
