date,value
2015-01-02,36.79
2015-01-09,37.22
2015-01-16,36.94
2015-01-23,36.94
2015-01-30,35.24
2015-02-06,35.91
2015-02-13,36.78
2015-02-20,36.97
2015-02-27,36.94
2015-03-06,35.22
2015-03-13,34.51
2015-03-20,34.74
2015-03-27,35.55
2015-04-03,36.63
2015-04-10,37.4
2015-04-17,36.97
2015-04-24,36.82
2015-05-01,38.65
2015-05-08,39.44
2015-05-15,40.45
2015-05-22,40.17
2015-05-29,41.59
2015-06-05,40.02
2015-06-12,40.47
2015-06-19,41.04
2015-06-26,41.11
2015-07-03,41.55
2015-07-10,41.41
2015-07-17,41.89
2015-07-24,42.03
2015-07-31,45.13
2015-08-07,46.11
2015-08-14,46.48
2015-08-21,43.2
2015-08-28,42.8
2015-09-04,42.57
2015-09-11,42.68
2015-09-18,42.85
2015-09-25,42.8
2015-10-02,43.56
2015-10-09,45.0
2015-10-16,45.85
2015-10-23,46.53
2015-10-30,46.16
2015-11-06,44.88
2015-11-13,43.27
2015-11-20,43.95
2015-11-27,44.42
2015-12-04,44.5
2015-12-11,42.73
2015-12-18,43.3
2015-12-25,45.35
2016-01-01,44.84
2016-01-08,40.99
2016-01-15,40.31
2016-01-22,41.6
2016-01-29,43.1
2016-02-05,37.7
2016-02-12,38.1
2016-02-19,39.81
2016-02-26,40.69
2016-03-04,42.13
2016-03-11,42.36
2016-03-18,40.74
2016-03-25,39.51
2016-04-01,41.24
2016-04-08,42.32
2016-04-15,43.02
2016-04-22,42.19
2016-04-29,42.96
2016-05-06,43.93
2016-05-13,44.36
2016-05-20,43.36
2016-05-27,44.78
2016-06-03,45.24
2016-06-10,45.02
2016-06-17,44.04
2016-06-24,42.27
2016-07-01,45.11
2016-07-08,46.1
2016-07-15,45.39
2016-07-22,45.13
2016-07-29,43.98
2016-08-05,43.27
2016-08-12,43.17
2016-08-19,43.06
2016-08-26,43.06
2016-09-02,44.19
2016-09-09,42.09
2016-09-16,42.91
2016-09-23,43.16
2016-09-30,43.9
2016-10-07,42.69
2016-10-14,42.05
2016-10-21,42.21
2016-10-28,45.2
2016-11-04,42.61
2016-11-11,41.19
2016-11-18,42.92
2016-11-25,43.28
2016-12-02,41.17
2016-12-09,41.95
2016-12-16,44.37
2016-12-23,45.01
2016-12-30,44.33
2017-01-06,45.06
2017-01-13,44.6
2017-01-20,45.2
2017-01-27,44.2
2017-02-03,44.36
2017-02-10,44.99
2017-02-17,42.5
2017-02-24,45.38
2017-03-03,43.73
2017-03-10,43.85
2017-03-17,44.75
2017-03-24,43.8
2017-03-31,43.08
2017-04-07,44.18
2017-04-14,44.04
2017-04-21,44.94
2017-04-28,45.03
2017-05-05,44.83
2017-05-12,44.87
2017-05-19,45.73
2017-05-26,46.44
2017-06-02,47.19
2017-06-09,45.62
2017-06-16,45.19
2017-06-23,44.9
2017-06-30,43.19
2017-07-07,43.22
2017-07-14,43.62
2017-07-21,44.03
2017-07-28,43.93
2017-08-04,43.48
2017-08-11,43.59
2017-08-18,42.94
2017-08-25,41.48
2017-09-01,40.88
2017-09-08,40.63
2017-09-15,40.86
2017-09-22,40.05
2017-09-29,40.66
2017-10-06,41.13
2017-10-13,41.68
2017-10-20,41.02
2017-10-27,40.68
2017-11-03,40.97
2017-11-10,41.95
2017-11-17,42.3
2017-11-24,42.15
2017-12-01,42.92
2017-12-08,42.65
2017-12-15,43.38
2017-12-22,43.36
2017-12-29,42.8
2018-01-05,43.23
2018-01-12,42.47
2018-01-19,44.14
2018-01-26,44.42
2018-02-02,45.5
2018-02-09,42.14
2018-02-16,44.14
2018-02-23,43.75
2018-03-02,44.42
2018-03-09,44.27
2018-03-16,43.19
2018-03-23,40.51
2018-03-30,41.73
2018-04-06,41.48
2018-04-13,42.09
2018-04-20,40.11
2018-04-27,39.93
2018-05-04,38.9
2018-05-11,39.23
2018-05-18,39.65
2018-05-25,39.58
2018-06-01,39.56
2018-06-08,39.78
2018-06-15,40.82
2018-06-22,41.3
2018-06-29,41.0
2018-07-06,42.35
2018-07-13,42.83
2018-07-20,42.45
2018-07-27,42.9
2018-08-03,43.76
2018-08-10,41.94
2018-08-17,42.71
2018-08-24,42.39
2018-08-31,42.72
2018-09-07,42.52
2018-09-14,43.8
2018-09-21,43.94
2018-09-28,42.96
2018-10-05,42.42
2018-10-12,41.12
2018-10-19,41.8
2018-10-26,40.11
2018-11-02,41.98
2018-11-09,44.3
2018-11-16,44.27
2018-11-23,43.79
2018-11-30,44.98
2018-12-07,43.8
2018-12-14,43.55
2018-12-21,40.68
2018-12-28,39.89
2019-01-04,40.84
2019-01-11,42.23
2019-01-18,43.36
2019-01-25,42.72
2019-02-01,45.57
2019-02-08,46.9
2019-02-15,48.16
2019-02-22,47.72
2019-03-01,47.23
2019-03-08,46.58
2019-03-15,47.8
2019-03-22,49.13
2019-03-29,49.92
2019-04-05,49.68
2019-04-12,49.79
2019-04-19,50.09
2019-04-26,50.29
2019-05-03,51.76
2019-05-10,51.87
2019-05-17,52.23
2019-05-24,52.13
2019-05-31,50.85
2019-06-07,54.02
2019-06-14,55.05
2019-06-21,55.25
2019-06-28,53.9
2019-07-05,55.5
2019-07-12,54.54
2019-07-19,54.89
2019-07-26,54.81
2019-08-02,53.76
2019-08-09,54.69
2019-08-16,54.54
2019-08-23,53.63
2019-08-30,55.22
2019-09-06,56.63
2019-09-13,54.08
2019-09-20,54.65
2019-09-27,55.39
2019-10-04,55.98
2019-10-11,54.82
2019-10-18,54.48
2019-10-25,52.77
2019-11-01,52.03
2019-11-08,51.73
2019-11-15,52.82
2019-11-22,51.8
2019-11-29,52.54
2019-12-06,53.84
2019-12-13,53.24
2019-12-20,55.4
2019-12-27,55.28
2020-01-03,54.24
