date,value
2015-01-02,71.88
2015-01-09,74.4
2015-01-16,72.76
2015-01-23,76.95
2015-01-30,71.4
2015-02-06,74.47
2015-02-13,75.26
2015-02-20,78.79
2015-02-27,77.59
2015-03-06,76.48
2015-03-13,76.47
2015-03-20,78.02
2015-03-27,77.38
2015-04-03,76.87
2015-04-10,77.93
2015-04-17,76.49
2015-04-24,77.61
2015-05-01,75.6
2015-05-08,76.21
2015-05-15,76.42
2015-05-22,77.82
2015-05-29,76.32
2015-06-05,75.46
2015-06-12,75.52
2015-06-19,76.71
2015-06-26,75.16
2015-07-03,73.81
2015-07-10,74.37
2015-07-17,76.91
2015-07-24,76.01
2015-07-31,78.39
2015-08-07,77.48
2015-08-14,77.58
2015-08-21,74.27
2015-08-28,73.56
2015-09-04,68.98
2015-09-11,69.9
2015-09-18,70.33
2015-09-25,66.53
2015-10-02,71.13
2015-10-09,72.6
2015-10-16,74.11
2015-10-23,73.69
2015-10-30,73.92
2015-11-06,76.06
2015-11-13,74.46
2015-11-20,76.09
2015-11-27,76.46
2015-12-04,78.14
2015-12-11,76.65
2015-12-18,76.31
2015-12-25,77.63
2016-01-01,76.92
2016-01-08,73.78
2016-01-15,73.92
2016-01-22,75.92
2016-01-29,75.92
2016-02-05,74.46
2016-02-12,73.4
2016-02-19,75.38
2016-02-26,77.29
2016-03-04,75.61
2016-03-11,77.35
2016-03-18,76.26
2016-03-25,73.97
2016-04-01,75.37
2016-04-08,76.37
2016-04-15,77.1
2016-04-22,78.99
2016-04-29,79.15
2016-05-06,79.74
2016-05-13,80.71
2016-05-20,80.52
2016-05-27,81.69
2016-06-03,82.94
2016-06-10,85.7
2016-06-17,84.14
2016-06-24,83.26
2016-07-01,87.03
2016-07-08,88.36
2016-07-15,88.36
2016-07-22,87.1
2016-07-29,87.63
2016-08-05,87.09
2016-08-12,87.54
2016-08-19,87.04
2016-08-26,86.6
2016-09-02,87.32
2016-09-09,84.87
2016-09-16,86.01
2016-09-23,87.71
2016-09-30,86.4
2016-10-07,85.96
2016-10-14,82.71
2016-10-21,83.91
2016-10-28,81.93
2016-11-04,82.14
2016-11-11,82.07
2016-11-18,80.93
2016-11-25,75.52
2016-12-02,72.01
2016-12-09,73.35
2016-12-16,73.46
2016-12-23,71.95
2016-12-30,71.23
2017-01-06,72.87
2017-01-13,75.09
2017-01-20,74.99
2017-01-27,74.95
2017-02-03,76.34
2017-02-10,76.15
2017-02-17,78.88
2017-02-24,81.03
2017-03-03,81.86
2017-03-10,83.04
2017-03-17,82.23
2017-03-24,81.0
2017-03-31,80.56
2017-04-07,80.37
2017-04-14,80.01
2017-04-21,80.48
2017-04-28,83.09
2017-05-05,84.0
2017-05-12,83.42
2017-05-19,83.23
2017-05-26,85.09
2017-06-02,85.82
2017-06-09,86.51
2017-06-16,88.08
2017-06-23,89.2
2017-06-30,88.75
2017-07-07,87.96
2017-07-14,88.57
2017-07-21,85.17
2017-07-28,84.29
2017-08-04,83.68
2017-08-11,83.71
2017-08-18,83.41
2017-08-25,79.06
2017-09-01,80.05
2017-09-08,82.03
2017-09-15,82.12
2017-09-22,79.7
2017-09-29,77.77
2017-10-06,79.81
2017-10-13,78.07
2017-10-20,78.34
2017-10-27,81.3
2017-11-03,78.43
2017-11-10,79.33
2017-11-17,79.49
2017-11-24,83.25
2017-12-01,81.27
2017-12-08,81.07
2017-12-15,83.5
2017-12-22,81.54
2017-12-29,80.75
2018-01-05,85.54
2018-01-12,85.45
2018-01-19,86.68
2018-01-26,87.12
2018-02-02,84.45
2018-02-09,79.48
2018-02-16,83.31
2018-02-23,80.39
2018-03-02,78.33
2018-03-09,83.15
2018-03-16,81.29
2018-03-23,76.55
2018-03-30,80.22
2018-04-06,77.64
2018-04-13,79.57
2018-04-20,79.9
2018-04-27,81.29
2018-05-04,81.08
2018-05-11,85.56
2018-05-18,84.64
2018-05-25,86.3
2018-06-01,87.83
2018-06-08,87.18
2018-06-15,86.78
2018-06-22,86.81
2018-06-29,85.61
2018-07-06,86.63
2018-07-13,88.36
2018-07-20,88.02
2018-07-27,88.66
2018-08-03,90.48
2018-08-10,90.6
2018-08-17,90.6
2018-08-24,95.55
2018-08-31,96.41
2018-09-07,96.32
2018-09-14,97.01
2018-09-21,97.85
2018-09-28,98.37
2018-10-05,97.17
2018-10-12,94.69
2018-10-19,93.94
2018-10-26,89.75
2018-11-02,91.42
2018-11-09,94.36
2018-11-16,93.7
2018-11-23,92.01
2018-11-30,97.53
2018-12-07,94.24
2018-12-14,93.72
2018-12-21,88.6
2018-12-28,89.26
2019-01-04,88.13
2019-01-11,84.84
2019-01-18,87.3
2019-01-25,87.02
2019-02-01,88.31
2019-02-08,89.01
2019-02-15,92.27
2019-02-22,93.77
2019-03-01,92.09
2019-03-08,90.52
2019-03-15,93.79
2019-03-22,90.39
2019-03-29,91.08
2019-04-05,88.93
2019-04-12,86.75
2019-04-19,84.22
2019-04-26,87.35
2019-05-03,89.58
2019-05-10,88.33
2019-05-17,87.73
2019-05-24,93.03
2019-05-31,92.58
2019-06-07,97.11
2019-06-14,97.5
2019-06-21,99.38
2019-06-28,97.39
2019-07-05,98.11
2019-07-12,99.25
2019-07-19,100.8
2019-07-26,102.55
2019-08-02,102.33
2019-08-09,101.67
2019-08-16,102.76
2019-08-23,106.05
2019-08-30,107.89
2019-09-06,108.69
2019-09-13,109.67
2019-09-20,111.18
2019-09-27,107.32
2019-10-04,108.56
2019-10-11,107.58
2019-10-18,108.12
2019-10-25,105.44
2019-11-01,108.57
2019-11-08,107.03
2019-11-15,112.06
2019-11-22,110.82
2019-11-29,111.39
2019-12-06,113.09
2019-12-13,113.52
2019-12-20,113.74
2019-12-27,113.35
2020-01-03,113.88
