date,value
2015-01-02,3.37
2015-01-09,3.31
2015-01-16,3.35
2015-01-23,3.32
2015-01-30,3.22
2015-02-06,3.34
2015-02-13,3.48
2015-02-20,3.68
2015-02-27,3.68
2015-03-06,3.66
2015-03-13,3.68
2015-03-20,3.77
2015-03-27,3.69
2015-04-03,3.62
2015-04-10,3.57
2015-04-17,3.72
2015-04-24,3.89
2015-05-01,3.81
2015-05-08,3.93
2015-05-15,4.03
2015-05-22,4.12
2015-05-29,4.39
2015-06-05,4.26
2015-06-12,4.26
2015-06-19,4.14
2015-06-26,4.45
2015-07-03,4.3
2015-07-10,4.27
2015-07-17,4.32
2015-07-24,4.22
2015-07-31,4.47
2015-08-07,4.26
2015-08-14,4.12
2015-08-21,3.9
2015-08-28,4.1
2015-09-04,3.84
2015-09-11,3.95
2015-09-18,3.83
2015-09-25,3.88
2015-10-02,3.83
2015-10-09,3.93
2015-10-16,3.97
2015-10-23,4.12
2015-10-30,4.09
2015-11-06,4.08
2015-11-13,4.19
2015-11-20,4.25
2015-11-27,4.08
2015-12-04,4.06
2015-12-11,3.94
2015-12-18,4.01
2015-12-25,4.08
2016-01-01,4.04
2016-01-08,3.85
2016-01-15,3.71
2016-01-22,3.58
2016-01-29,3.29
2016-02-05,3.03
2016-02-12,2.82
2016-02-19,2.94
2016-02-26,2.96
2016-03-04,3.22
2016-03-11,3.21
2016-03-18,3.18
2016-03-25,2.98
2016-04-01,2.88
2016-04-08,2.84
2016-04-15,2.97
2016-04-22,3.28
2016-04-29,2.96
2016-05-06,2.95
2016-05-13,2.98
2016-05-20,3.06
2016-05-27,3.11
2016-06-03,3.08
2016-06-10,2.97
2016-06-17,2.98
2016-06-24,3.02
2016-07-01,2.84
2016-07-08,2.83
2016-07-15,3.11
2016-07-22,3.09
2016-07-29,3.19
2016-08-05,3.23
2016-08-12,3.25
2016-08-19,3.32
2016-08-26,3.32
2016-09-02,3.52
2016-09-09,3.49
2016-09-16,3.34
2016-09-23,3.58
2016-09-30,3.36
2016-10-07,3.33
2016-10-14,3.2
2016-10-21,3.26
2016-10-28,3.28
2016-11-04,3.28
2016-11-11,3.44
2016-11-18,3.54
2016-11-25,3.48
2016-12-02,3.7
2016-12-09,3.86
2016-12-16,3.77
2016-12-23,3.68
2016-12-30,3.59
2017-01-06,3.69
2017-01-13,3.71
2017-01-20,3.69
2017-01-27,3.72
2017-02-03,3.73
2017-02-10,3.73
2017-02-17,3.72
2017-02-24,3.74
2017-03-03,3.73
2017-03-10,3.74
2017-03-17,3.78
2017-03-24,3.75
2017-03-31,3.69
2017-04-07,3.51
2017-04-14,3.49
