date,value
2015-01-02,18.26
2015-01-09,20.47
2015-01-16,20.29
2015-01-23,21.0
2015-01-30,20.1
2015-02-06,21.25
2015-02-13,19.95
2015-02-20,19.49
2015-02-27,18.85
2015-03-06,17.8
2015-03-13,18.11
2015-03-20,17.94
2015-03-27,18.66
2015-04-03,19.01
2015-04-10,18.13
2015-04-17,18.26
2015-04-24,18.39
2015-05-01,18.12
2015-05-08,18.03
2015-05-15,18.25
2015-05-22,17.99
2015-05-29,18.51
2015-06-05,19.54
2015-06-12,19.16
2015-06-19,19.81
2015-06-26,19.58
2015-07-03,19.21
2015-07-10,18.97
2015-07-17,19.26
2015-07-24,17.8
2015-07-31,17.99
2015-08-07,15.07
2015-08-14,15.45
2015-08-21,14.87
2015-08-28,14.6
2015-09-04,13.82
2015-09-11,14.19
2015-09-18,14.02
2015-09-25,13.4
2015-10-02,13.02
2015-10-09,18.56
2015-10-16,18.42
2015-10-23,19.03
2015-10-30,18.92
2015-11-06,20.09
2015-11-13,18.98
2015-11-20,20.7
2015-11-27,21.06
2015-12-04,22.13
2015-12-11,21.9
2015-12-18,18.75
2015-12-25,19.63
2016-01-01,19.09
2016-01-08,21.78
2016-01-15,19.61
2016-01-22,20.98
2016-01-29,22.59
2016-02-05,20.97
2016-02-12,21.65
2016-02-19,22.31
2016-02-26,21.74
2016-03-04,22.89
2016-03-11,23.23
2016-03-18,24.96
2016-03-25,25.64
2016-04-01,26.0
2016-04-08,24.33
2016-04-15,24.49
2016-04-22,25.03
2016-04-29,24.37
2016-05-06,23.41
2016-05-13,23.74
2016-05-20,24.55
2016-05-27,25.15
2016-06-03,24.99
2016-06-10,24.16
2016-06-17,24.67
2016-06-24,24.0
2016-07-01,24.09
2016-07-08,25.13
2016-07-15,25.34
2016-07-22,25.61
2016-07-29,25.06
2016-08-05,25.22
2016-08-12,24.94
2016-08-19,23.63
2016-08-26,23.73
2016-09-02,24.26
2016-09-09,24.01
2016-09-16,23.86
2016-09-23,24.57
2016-09-30,23.47
2016-10-07,20.3
2016-10-14,20.6
2016-10-21,21.0
2016-10-28,21.05
2016-11-04,20.65
2016-11-11,21.59
2016-11-18,22.49
2016-11-25,23.13
2016-12-02,23.48
2016-12-09,25.22
2016-12-16,25.81
2016-12-23,25.74
2016-12-30,25.68
2017-01-06,24.1
2017-01-13,23.64
2017-01-20,23.25
2017-01-27,23.28
2017-02-03,23.01
2017-02-10,23.3
2017-02-17,22.95
2017-02-24,23.02
2017-03-03,22.8
2017-03-10,22.23
2017-03-17,20.39
2017-03-24,20.17
2017-03-31,21.38
2017-04-07,21.04
2017-04-14,20.54
2017-04-21,21.37
2017-04-28,22.5
2017-05-05,22.15
2017-05-12,21.51
2017-05-19,21.38
2017-05-26,20.81
2017-06-02,21.87
2017-06-09,21.68
2017-06-16,21.66
2017-06-23,21.18
2017-06-30,21.97
2017-07-07,21.97
2017-07-14,22.04
2017-07-21,22.25
2017-07-28,20.18
2017-08-04,20.57
2017-08-11,18.01
2017-08-18,17.35
2017-08-25,17.96
2017-09-01,19.31
2017-09-08,20.19
2017-09-15,21.0
2017-09-22,20.9
2017-09-29,20.5
2017-10-06,20.62
2017-10-13,20.6
2017-10-20,20.7
2017-10-27,21.08
2017-11-03,21.14
2017-11-10,22.37
2017-11-17,21.33
2017-11-24,22.8
2017-12-01,22.82
2017-12-08,22.47
2017-12-15,22.66
2017-12-22,22.21
2017-12-29,23.47
2018-01-05,22.96
