date,value
2019-06-07,25.9968
2019-06-14,26.1903
2019-06-21,26.6718
2019-06-28,26.806
2019-07-05,27.1886
2019-07-12,27.2794
2019-07-19,27.0217
2019-07-26,27.452
2019-08-02,26.4525
2019-08-09,26.2802
2019-08-16,25.7172
2019-08-23,25.2974
2019-08-30,25.8621
2019-09-06,26.3724
2019-09-13,26.8609
2019-09-20,26.5848
2019-09-27,26.389
2019-10-04,26.1579
2019-10-11,26.3254
2019-10-18,26.4867
2019-10-25,26.9085
2019-11-01,27.2062
2019-11-08,27.5697
2019-11-15,27.8865
2019-11-22,27.7207
2019-11-29,28.0213
2019-12-06,27.9726
2019-12-13,28.1167
2019-12-20,28.4246
2019-12-27,28.4065
2020-01-03,28.2626
