date,value
2015-01-02,24.16
2015-01-09,24.42
2015-01-16,22.505
2015-01-23,22.96
2015-01-30,24.0
2015-02-06,25.11
2015-02-13,27.54
2015-02-20,27.46
2015-02-27,24.02
2015-03-06,23.07
2015-03-13,21.395
2015-03-20,23.0
2015-03-27,21.7
2015-04-03,23.1
2015-04-10,24.65
2015-04-17,22.03
2015-04-24,21.99
2015-05-01,20.755
2015-05-08,20.57
2015-05-15,19.04
2015-05-22,19.21
2015-05-29,19.34
2015-06-05,20.945
2015-06-12,19.69
2015-06-19,19.475
2015-06-26,18.6
2015-07-03,20.63
2015-07-10,20.97
2015-07-17,20.77
2015-07-24,20.47
2015-07-31,20.63
2015-08-07,23.35
2015-08-14,21.94
2015-08-21,18.97
2015-08-28,18.22
2015-09-04,16.91
2015-09-11,16.88
2015-09-18,17.75
2015-09-25,15.12
2015-10-02,15.51
2015-10-09,17.46
2015-10-16,18.4
2015-10-23,18.39
2015-10-30,18.73
2015-11-06,18.95
2015-11-13,17.15
2015-11-20,16.1
2015-11-27,15.75
2015-12-04,15.72
2015-12-11,15.14
2015-12-18,16.32
2015-12-25,17.45
2016-01-01,16.8
2016-01-08,14.15
2016-01-15,14.23
2016-01-22,13.92
2016-01-29,15.24
2016-02-05,13.46
2016-02-12,14.18
2016-02-19,15.6
2016-02-26,15.94
2016-03-04,16.1
2016-03-11,15.56
2016-03-18,17.27
2016-03-25,16.59
2016-04-01,16.33
2016-04-08,15.68
2016-04-15,16.6
2016-04-22,15.48
2016-04-29,14.8
2016-05-06,14.89
2016-05-13,14.62
2016-05-20,14.3
2016-05-27,14.73
2016-06-03,14.06
2016-06-10,13.73
2016-06-17,14.13
2016-06-24,12.73
2016-07-01,12.9
2016-07-08,11.95
2016-07-15,12.41
2016-07-22,12.74
2016-07-29,13.96
2016-08-05,13.89
2016-08-12,14.75
2016-08-19,13.4
2016-08-26,13.05
2016-09-02,14.11
2016-09-09,15.41
2016-09-16,15.79
2016-09-23,15.86
2016-09-30,16.11
2016-10-07,16.65
2016-10-14,15.52
2016-10-21,16.37
2016-10-28,16.9
2016-11-04,17.6
2016-11-11,17.02
2016-11-18,18.78
2016-11-25,19.3
2016-12-02,18.78
2016-12-09,17.03
2016-12-16,16.11
2016-12-23,15.68
2016-12-30,15.9
2017-01-06,15.85
2017-01-13,17.28
2017-01-20,16.55
2017-01-27,17.26
2017-02-03,16.42
2017-02-10,16.88
2017-02-17,16.99
2017-02-24,16.06
2017-03-03,16.95
2017-03-10,16.5
2017-03-17,18.55
2017-03-24,18.72
2017-03-31,18.54
2017-04-07,19.43
2017-04-14,19.79
2017-04-21,20.55
2017-04-28,21.95
2017-05-05,22.34
2017-05-12,22.08
2017-05-19,21.1
2017-05-26,21.95
2017-06-02,22.45
2017-06-09,22.53
2017-06-16,22.7
2017-06-23,23.53
2017-06-30,22.45
2017-07-07,21.68
2017-07-14,21.2
2017-07-21,21.76
2017-07-28,20.32
2017-08-04,20.24
2017-08-11,20.1
2017-08-18,20.64
2017-08-25,20.85
2017-09-01,22.2
2017-09-08,22.84
2017-09-15,22.6
2017-09-22,23.53
2017-09-29,24.12
2017-10-06,23.57
2017-10-13,23.7
2017-10-20,23.91
2017-10-27,23.28
2017-11-03,25.91
2017-11-10,25.2
2017-11-17,25.45
2017-11-24,26.5
2017-12-01,26.56
2017-12-08,25.85
2017-12-15,27.05
2017-12-22,28.46
2017-12-29,29.04
2018-01-05,27.75
2018-01-12,27.01
2018-01-19,29.17
2018-01-26,28.47
2018-02-02,28.83
2018-02-09,26.35
2018-02-16,28.14
2018-02-23,28.27
2018-03-02,26.5
2018-03-09,28.48
2018-03-16,27.45
2018-03-23,27.13
2018-03-30,28.98
2018-04-06,28.37
2018-04-13,30.89
2018-04-20,31.41
2018-04-27,30.51
2018-05-04,32.62
2018-05-11,31.42
2018-05-18,30.71
2018-05-25,32.46
2018-06-01,32.31
2018-06-08,29.65
2018-06-15,29.7
2018-06-22,29.91
2018-06-29,28.0
2018-07-06,24.84
2018-07-13,24.91
2018-07-20,24.35
2018-07-27,24.26
2018-08-03,23.65
2018-08-10,22.58
2018-08-17,22.1
2018-08-24,23.51
2018-08-31,23.88
2018-09-07,21.14
2018-09-14,20.84
2018-09-21,22.07
2018-09-28,21.15
2018-10-05,19.82
2018-10-12,18.84
2018-10-19,17.78
2018-10-26,16.54
2018-11-02,18.72
2018-11-09,15.6
2018-11-16,16.92
2018-11-23,16.97
2018-11-30,18.07
2018-12-07,17.04
2018-12-14,17.58
2018-12-21,16.7
2018-12-28,17.52
2019-01-04,19.34
2019-01-11,19.75
2019-01-18,21.2
2019-01-25,21.64
2019-02-01,22.15
2019-02-08,21.94
2019-02-15,21.74
2019-02-22,23.72
2019-03-01,23.1
2019-03-08,22.41
2019-03-15,22.67
2019-03-22,21.62
2019-03-29,22.59
2019-04-05,25.1
2019-04-12,25.66
2019-04-19,25.79
2019-04-26,26.62
2019-05-03,25.33
2019-05-10,22.22
2019-05-17,20.49
2019-05-24,20.55
2019-05-31,19.3
2019-06-07,19.37
2019-06-14,20.04
2019-06-21,21.62
2019-06-28,21.72
2019-07-05,23.53
2019-07-12,23.75
2019-07-19,24.42
2019-07-26,23.96
2019-08-02,20.95
2019-08-09,20.15
2019-08-16,20.04
2019-08-23,19.67
2019-08-30,20.8
2019-09-06,20.95
2019-09-13,21.69
2019-09-20,20.8
2019-09-27,19.15
2019-10-04,19.43
2019-10-11,20.3
2019-10-18,20.29
2019-10-25,22.44
2019-11-01,22.18
2019-11-08,22.19
2019-11-15,21.86
2019-11-22,21.66
2019-11-29,21.28
2019-12-06,21.38
2019-12-13,23.58
2019-12-20,24.1
2019-12-27,24.37
2020-01-03,24.66
