date,value
2015-01-02,57.19
2015-01-09,62.56
2015-01-16,63.03
2015-01-23,62.49
2015-01-30,60.28
2015-02-06,58.79
2015-02-13,58.81
2015-02-20,58.35
2015-02-27,58.54
2015-03-06,56.84
2015-03-13,56.2
2015-03-20,58.58
2015-03-27,57.75
2015-04-03,57.1
2015-04-10,57.25
2015-04-17,56.88
2015-04-24,57.6
2015-05-01,59.86
2015-05-08,60.74
2015-05-15,60.23
2015-05-22,59.38
2015-05-29,60.89
2015-06-05,58.99
2015-06-12,57.87
2015-06-19,58.04
2015-06-26,58.49
2015-07-03,57.67
2015-07-10,57.95
2015-07-17,58.82
2015-07-24,57.41
2015-07-31,58.96
2015-08-07,57.97
2015-08-14,59.18
2015-08-21,55.77
2015-08-28,55.37
2015-09-04,51.59
2015-09-11,52.09
2015-09-18,52.13
2015-09-25,49.6
2015-10-02,50.14
2015-10-09,50.95
2015-10-16,51.48
2015-10-23,52.88
2015-10-30,54.66
2015-11-06,54.61
2015-11-13,53.03
2015-11-20,54.1
2015-11-27,53.96
2015-12-04,53.64
2015-12-11,52.15
2015-12-18,51.64
2015-12-25,52.85
2016-01-01,52.82
2016-01-08,51.08
2016-01-15,51.14
2016-01-22,51.35
2016-01-29,50.67
2016-02-05,49.38
2016-02-12,49.03
2016-02-19,50.12
2016-02-26,50.64
2016-03-04,52.08
2016-03-11,53.2
2016-03-18,52.25
2016-03-25,53.07
2016-04-01,53.7
2016-04-08,55.36
2016-04-15,56.14
2016-04-22,56.74
2016-04-29,54.84
2016-05-06,53.6
2016-05-13,53.88
2016-05-20,55.11
2016-05-27,56.48
2016-06-03,56.64
2016-06-10,56.82
2016-06-17,55.89
2016-06-24,55.88
2016-07-01,57.94
2016-07-08,59.35
2016-07-15,59.63
2016-07-22,58.82
2016-07-29,58.66
2016-08-05,63.86
2016-08-12,63.35
2016-08-19,63.36
2016-08-26,62.85
2016-09-02,62.98
2016-09-09,62.49
2016-09-16,62.28
2016-09-23,62.96
2016-09-30,62.41
2016-10-07,62.77
2016-10-14,62.14
2016-10-21,61.2
2016-10-28,58.84
2016-11-04,58.82
2016-11-11,63.95
2016-11-18,61.87
2016-11-25,62.21
2016-12-02,61.13
2016-12-09,61.23
2016-12-16,62.44
2016-12-23,59.56
2016-12-30,58.87
2017-01-06,60.27
2017-01-13,62.34
2017-01-20,62.53
2017-01-27,61.75
2017-02-03,64.29
2017-02-10,64.15
2017-02-17,65.39
2017-02-24,66.16
2017-03-03,66.58
2017-03-10,65.6
2017-03-17,63.9
2017-03-24,63.18
2017-03-31,63.54
2017-04-07,63.13
2017-04-14,62.61
2017-04-21,61.89
2017-04-28,62.33
2017-05-05,63.97
2017-05-12,63.57
2017-05-19,63.78
2017-05-26,64.92
2017-06-02,65.47
2017-06-09,64.39
2017-06-16,62.97
2017-06-23,66.16
2017-06-30,64.09
2017-07-07,63.16
2017-07-14,63.06
2017-07-21,62.63
2017-07-28,64.11
2017-08-04,63.1
2017-08-11,62.38
2017-08-18,61.49
2017-08-25,62.94
2017-09-01,63.83
2017-09-08,64.27
2017-09-15,66.16
2017-09-22,65.13
2017-09-29,64.03
2017-10-06,64.55
2017-10-13,63.39
2017-10-20,63.88
2017-10-27,58.24
2017-11-03,56.06
2017-11-10,55.48
2017-11-17,55.2
2017-11-24,54.35
2017-12-01,55.87
2017-12-08,55.57
2017-12-15,56.24
2017-12-22,56.36
2017-12-29,56.27
2018-01-05,56.99
2018-01-12,58.66
2018-01-19,61.28
2018-01-26,62.04
2018-02-02,58.56
2018-02-09,54.87
2018-02-16,56.29
2018-02-23,54.87
2018-03-02,54.36
2018-03-09,55.14
2018-03-16,55.67
2018-03-23,53.41
2018-03-30,54.47
2018-04-06,53.36
2018-04-13,57.17
2018-04-20,58.83
2018-04-27,59.47
2018-05-04,57.75
2018-05-11,59.69
2018-05-18,59.14
