date,value
2015-01-02,19.34
2015-01-09,20.72
2015-01-16,22.29
2015-01-23,24.15
2015-01-30,25.15
2015-02-06,24.05
2015-02-13,24.78
2015-02-20,25.58
2015-02-27,26.33
2015-03-06,23.3
2015-03-13,22.3
2015-03-20,22.95
2015-03-27,22.23
2015-04-03,22.34
2015-04-10,22.33
2015-04-17,23.57
2015-04-24,24.98
2015-05-01,26.49
2015-05-08,26.04
2015-05-15,27.69
2015-05-22,27.01
2015-05-29,27.24
2015-06-05,25.91
2015-06-12,23.55
2015-06-19,24.65
2015-06-26,23.83
2015-07-03,23.67
2015-07-10,22.52
2015-07-17,20.69
2015-07-24,17.8
2015-07-31,17.17
2015-08-07,16.14
2015-08-14,17.35
2015-08-21,18.14
2015-08-28,17.17
2015-09-04,15.7
2015-09-11,16.24
2015-09-18,16.98
2015-09-25,16.59
2015-10-02,17.07
2015-10-09,18.93
2015-10-16,18.99
2015-10-23,19.55
2015-10-30,19.46
2015-11-06,17.54
2015-11-13,17.5
2015-11-20,17.68
2015-11-27,17.39
2015-12-04,20.46
2015-12-11,19.13
2015-12-18,17.71
2015-12-25,18.54
2016-01-01,17.99
2016-01-08,18.01
2016-01-15,17.7
2016-01-22,16.68
2016-01-29,19.96
2016-02-05,24.41
2016-02-12,25.78
2016-02-19,24.84
2016-02-26,25.35
2016-03-04,26.11
2016-03-11,26.68
2016-03-18,27.79
2016-03-25,25.4
2016-04-01,26.62
2016-04-08,29.1
2016-04-15,29.37
2016-04-22,31.23
2016-04-29,34.97
2016-05-06,34.13
2016-05-13,34.07
2016-05-20,33.73
2016-05-27,31.96
2016-06-03,35.4
2016-06-10,35.79
2016-06-17,35.65
2016-06-24,37.19
2016-07-01,40.34
2016-07-08,41.14
2016-07-15,41.33
2016-07-22,41.27
2016-07-29,44.0
2016-08-05,44.43
2016-08-12,45.17
2016-08-19,44.17
2016-08-26,39.93
2016-09-02,40.52
2016-09-09,39.3
2016-09-16,38.26
2016-09-23,39.56
2016-09-30,39.29
2016-10-07,33.97
2016-10-14,34.23
2016-10-21,36.35
2016-10-28,35.38
2016-11-04,37.8
2016-11-11,31.59
2016-11-18,32.69
2016-11-25,31.92
2016-12-02,33.58
2016-12-09,32.79
2016-12-16,31.66
2016-12-23,32.46
2016-12-30,34.07
2017-01-06,35.42
2017-01-13,34.53
2017-01-20,35.04
2017-01-27,34.38
2017-02-03,36.76
2017-02-10,37.65
2017-02-17,37.01
2017-02-24,36.08
2017-03-03,34.07
2017-03-10,32.94
2017-03-17,32.84
2017-03-24,33.48
2017-03-31,32.96
2017-04-07,34.31
2017-04-14,34.5
2017-04-21,34.13
2017-04-28,33.81
2017-05-05,32.73
2017-05-12,33.75
2017-05-19,33.63
2017-05-26,34.11
2017-06-02,34.03
2017-06-09,34.3
2017-06-16,32.84
2017-06-23,33.81
2017-06-30,32.39
2017-07-07,32.03
2017-07-14,33.3
2017-07-21,34.39
2017-07-28,37.06
2017-08-04,36.15
2017-08-11,36.53
2017-08-18,35.83
2017-08-25,36.99
2017-09-01,38.66
2017-09-08,39.31
2017-09-15,37.85
2017-09-22,37.89
2017-09-29,37.51
2017-10-06,38.06
2017-10-13,38.59
2017-10-20,37.79
2017-10-27,35.8
2017-11-03,36.04
2017-11-10,35.52
2017-11-17,36.21
2017-11-24,36.68
2017-12-01,37.19
2017-12-08,35.4
2017-12-15,35.87
2017-12-22,36.92
2017-12-29,37.52
2018-01-05,38.4
2018-01-12,39.79
2018-01-19,39.47
2018-01-26,41.05
2018-02-02,38.97
2018-02-09,36.76
2018-02-16,39.11
2018-02-23,38.69
2018-03-02,37.93
2018-03-09,37.71
2018-03-16,37.39
2018-03-23,38.76
2018-03-30,39.07
2018-04-06,39.29
2018-04-13,41.6
2018-04-20,41.35
2018-04-27,40.66
2018-05-04,39.65
2018-05-11,40.39
2018-05-18,39.16
2018-05-25,39.44
2018-06-01,38.64
2018-06-08,38.38
2018-06-15,38.4
2018-06-22,37.46
2018-06-29,37.71
2018-07-06,37.83
2018-07-13,36.84
2018-07-20,37.02
2018-07-27,36.89
2018-08-03,36.46
2018-08-10,35.6
2018-08-17,32.06
2018-08-24,32.03
2018-08-31,31.03
2018-09-07,30.13
2018-09-14,30.38
2018-09-21,31.56
2018-09-28,30.2
2018-10-05,30.58
2018-10-12,32.04
2018-10-19,32.19
2018-10-26,30.0
2018-11-02,32.42
2018-11-09,32.02
2018-11-16,33.32
2018-11-23,32.46
2018-11-30,32.34
2018-12-07,33.39
2018-12-14,33.31
2018-12-21,33.53
2018-12-28,34.47
2019-01-04,34.38
2019-01-11,34.88
2019-01-18,31.77
2019-01-25,33.16
2019-02-01,33.84
2019-02-08,33.84
2019-02-15,33.24
2019-02-22,36.48
2019-03-01,33.82
2019-03-08,33.71
2019-03-15,33.14
2019-03-22,34.5
2019-03-29,35.77
2019-04-05,36.5
2019-04-12,36.25
2019-04-19,33.04
2019-04-26,31.46
2019-05-03,30.22
2019-05-10,30.15
2019-05-17,30.92
2019-05-24,31.92
2019-05-31,33.09
2019-06-07,35.67
2019-06-14,35.93
2019-06-21,37.49
2019-06-28,38.47
2019-07-05,38.42
2019-07-12,39.42
2019-07-19,39.29
2019-07-26,37.28
2019-08-02,36.91
2019-08-09,39.03
2019-08-16,38.58
2019-08-23,39.3
2019-08-30,39.89
2019-09-06,38.66
2019-09-13,38.62
2019-09-20,39.84
2019-09-27,38.4
2019-10-04,38.31
2019-10-11,37.62
2019-10-18,38.44
2019-10-25,39.18
2019-11-01,39.61
2019-11-08,36.61
2019-11-15,37.61
2019-11-22,38.09
2019-11-29,38.4
2019-12-06,39.8
2019-12-13,41.29
2019-12-20,40.93
2019-12-27,42.71
2020-01-03,42.83
