date,value
2018-09-14,9.9
2018-09-21,8.59
2018-09-28,6.98
2018-10-05,6.26
2018-10-12,7.46
2018-10-19,7.32
2018-10-26,6.35
2018-11-02,6.49
2018-11-09,6.77
2018-11-16,7.19
2018-11-23,7.46
2018-11-30,7.71
2018-12-07,6.99
2018-12-14,7.7
2018-12-21,6.07
2018-12-28,6.47
2019-01-04,6.36
2019-01-11,6.59
2019-01-18,6.71
2019-01-25,6.65
2019-02-01,7.9
2019-02-08,7.67
2019-02-15,7.41
2019-02-22,8.17
2019-03-01,10.06
2019-03-08,7.06
2019-03-15,5.71
2019-03-22,5.62
2019-03-29,5.1
2019-04-05,5.36
2019-04-12,4.99
2019-04-19,4.79
2019-04-26,4.92
2019-05-03,5.02
2019-05-10,4.56
2019-05-17,4.42
2019-05-24,3.86
2019-05-31,3.05
2019-06-07,2.76
2019-06-14,2.42
2019-06-21,2.64
2019-06-28,2.55
2019-07-05,3.26
2019-07-12,3.45
2019-07-19,3.37
2019-07-26,3.51
2019-08-02,3.27
2019-08-09,3.13
2019-08-16,2.95
2019-08-23,2.92
2019-08-30,2.86
2019-09-06,2.98
2019-09-13,3.21
2019-09-20,3.04
2019-09-27,1.75
2019-10-04,1.62
2019-10-11,1.56
2019-10-18,1.52
2019-10-25,1.51
2019-11-01,1.52
2019-11-08,1.98
2019-11-15,1.8
2019-11-22,1.94
2019-11-29,2.27
2019-12-06,2.26
2019-12-13,2.39
2019-12-20,2.69
2019-12-27,2.42
2020-01-03,3.83
