date,value
2015-01-02,25.59
2015-01-09,25.36
2015-01-16,25.63
2015-01-23,26.645
2015-01-30,24.77
2015-02-06,24.775
2015-02-13,26.33
2015-02-20,25.685
2015-02-27,25.16
2015-03-06,24.165
2015-03-13,23.36
2015-03-20,24.38
2015-03-27,23.355
2015-04-03,23.55
2015-04-10,25.58
2015-04-17,24.24
2015-04-24,24.67
2015-05-01,25.135
2015-05-08,25.53
2015-05-15,24.48
2015-05-22,24.865
2015-05-29,24.625
2015-06-05,24.0
2015-06-12,23.75
2015-06-19,24.07
2015-06-26,23.75
2015-07-03,23.03
2015-07-10,23.32
2015-07-17,23.47
2015-07-24,23.05
2015-07-31,22.74
2015-08-07,22.705
2015-08-14,21.6
2015-08-21,20.97
2015-08-28,20.84
2015-09-04,19.65
2015-09-11,19.99
2015-09-18,20.17
2015-09-25,19.94
2015-10-02,19.65
2015-10-09,21.0
2015-10-16,20.71
2015-10-23,20.64
2015-10-30,20.6
2015-11-06,20.57
2015-11-13,19.71
2015-11-20,19.94
2015-11-27,19.5
2015-12-04,20.04
2015-12-11,19.65
2015-12-18,20.21
2015-12-25,20.86
2016-01-01,21.0
2016-01-08,20.49
2016-01-15,19.73
2016-01-22,19.47
2016-01-29,19.84
2016-02-05,19.76
2016-02-12,19.15
2016-02-19,19.93
2016-02-26,19.44
2016-03-04,16.62
2016-03-11,18.39
2016-03-18,18.6
2016-03-25,18.71
2016-04-01,18.41
2016-04-08,18.15
2016-04-15,18.04
2016-04-22,18.01
2016-04-29,16.645
2016-05-06,16.61
2016-05-13,16.79
2016-05-20,16.92
2016-05-27,17.15
2016-06-03,17.26
2016-06-10,17.3
2016-06-17,19.97
2016-06-24,20.43
2016-07-01,20.46
2016-07-08,20.7
2016-07-15,20.94
2016-07-22,20.49
2016-07-29,20.43
2016-08-05,21.885
2016-08-12,22.54
2016-08-19,23.72
2016-08-26,23.72
2016-09-02,24.28
2016-09-09,24.49
2016-09-16,25.21
