date,value
2015-01-02,39.9
2015-01-09,42.09
2015-01-16,43.69
2015-01-23,43.79
2015-01-30,42.84
2015-02-06,40.87
2015-02-13,41.0
2015-02-20,41.04
2015-02-27,40.24
2015-03-06,38.77
2015-03-13,39.8
2015-03-20,42.29
2015-03-27,40.42
2015-04-03,41.6
2015-04-10,40.68
2015-04-17,40.81
2015-04-24,41.04
2015-05-01,38.59
2015-05-08,38.4
2015-05-15,38.88
2015-05-22,38.08
2015-05-29,37.51
2015-06-05,36.42
2015-06-12,36.39
2015-06-19,36.7
2015-06-26,35.74
2015-07-03,35.72
2015-07-10,36.67
2015-07-17,37.11
2015-07-24,37.26
2015-07-31,37.17
2015-08-07,36.92
2015-08-14,37.27
2015-08-21,36.76
2015-08-28,35.83
2015-09-04,33.99
2015-09-11,34.82
2015-09-18,36.52
2015-09-25,36.25
2015-10-02,36.27
2015-10-09,37.17
2015-10-16,37.69
2015-10-23,38.59
2015-10-30,38.0
2015-11-06,36.46
2015-11-13,36.47
2015-11-20,38.25
2015-11-27,38.61
2015-12-04,38.64
2015-12-11,37.63
2015-12-18,39.24
2015-12-25,39.53
2016-01-01,40.05
2016-01-08,39.0
2016-01-15,39.77
2016-01-22,41.62
2016-01-29,42.94
2016-02-05,43.76
2016-02-12,44.7
2016-02-19,45.15
2016-02-26,43.97
2016-03-04,43.57
2016-03-11,44.62
2016-03-18,45.65
2016-03-25,45.76
2016-04-01,46.25
2016-04-08,46.43
2016-04-15,46.04
2016-04-22,43.99
2016-04-29,43.76
2016-05-06,47.16
2016-05-13,46.78
2016-05-20,44.15
2016-05-27,44.79
2016-06-03,46.82
2016-06-10,47.89
2016-06-17,47.12
2016-06-24,48.58
2016-07-01,51.8
2016-07-08,51.78
2016-07-15,51.0
2016-07-22,52.15
2016-07-29,53.16
2016-08-05,51.26
2016-08-12,51.26
2016-08-19,50.51
2016-08-26,50.28
2016-09-02,50.82
2016-09-09,48.59
2016-09-16,48.63
2016-09-23,51.5
2016-09-30,50.85
2016-10-07,46.97
2016-10-14,47.12
2016-10-21,47.17
2016-10-28,44.93
2016-11-04,43.54
2016-11-11,41.03
2016-11-18,41.36
2016-11-25,42.45
2016-12-02,42.08
2016-12-09,43.32
2016-12-16,42.35
2016-12-23,42.94
2016-12-30,44.2
2017-01-06,45.8
2017-01-13,45.09
2017-01-20,44.88
2017-01-27,43.2
2017-02-03,43.0
2017-02-10,44.54
2017-02-17,44.72
2017-02-24,45.91
2017-03-03,44.39
2017-03-10,42.33
2017-03-17,44.36
2017-03-24,43.83
2017-03-31,43.62
2017-04-07,44.14
2017-04-14,44.76
2017-04-21,45.25
2017-04-28,42.22
2017-05-05,40.37
2017-05-12,37.76
2017-05-19,37.74
2017-05-26,38.45
2017-06-02,38.85
2017-06-09,37.82
2017-06-16,39.34
2017-06-23,38.13
2017-06-30,39.1
2017-07-07,38.42
2017-07-14,39.32
2017-07-21,39.99
2017-07-28,40.07
2017-08-04,40.5
2017-08-11,39.92
2017-08-18,40.73
2017-08-25,41.57
2017-09-01,41.78
2017-09-08,42.66
2017-09-15,43.17
2017-09-22,42.11
2017-09-29,41.66
2017-10-06,41.7
2017-10-13,42.6
2017-10-20,41.72
2017-10-27,40.45
2017-11-03,40.81
2017-11-10,42.17
2017-11-17,42.54
2017-11-24,42.68
2017-12-01,41.77
2017-12-08,42.08
2017-12-15,43.26
2017-12-22,42.34
2017-12-29,43.13
2018-01-05,41.39
2018-01-12,39.95
2018-01-19,40.33
2018-01-26,40.78
2018-02-02,38.55
2018-02-09,37.29
2018-02-16,38.33
2018-02-23,38.29
2018-03-02,37.7
2018-03-09,38.74
2018-03-16,38.79
2018-03-23,37.32
2018-03-30,39.26
2018-04-06,39.36
2018-04-13,38.18
2018-04-20,37.51
2018-04-27,38.43
2018-05-04,39.85
2018-05-11,40.33
2018-05-18,39.22
2018-05-25,40.72
2018-06-01,41.11
2018-06-08,41.96
2018-06-15,42.14
2018-06-22,43.73
2018-06-29,43.96
2018-07-06,44.94
2018-07-13,44.37
2018-07-20,44.52
2018-07-27,44.49
2018-08-03,45.76
2018-08-10,44.91
2018-08-17,45.93
2018-08-24,46.06
2018-08-31,46.09
2018-09-07,45.76
2018-09-14,45.44
2018-09-21,44.37
2018-09-28,44.82
2018-10-05,43.93
2018-10-12,43.26
2018-10-19,45.76
2018-10-26,46.83
2018-11-02,46.88
2018-11-09,49.15
2018-11-16,49.17
2018-11-23,49.13
2018-11-30,50.06
2018-12-07,50.82
2018-12-14,50.65
2018-12-21,48.41
2018-12-28,48.42
2019-01-04,47.81
2019-01-11,49.45
2019-01-18,49.98
2019-01-25,50.84
2019-02-01,52.29
2019-02-08,53.18
2019-02-15,52.57
