<<<<<<< HEAD
date,value
2015-01-02,21.91
2015-01-09,20.0
2015-01-16,18.03
2015-01-23,18.98
2015-01-30,18.67
2015-02-06,20.24
2015-02-13,21.59
2015-02-20,22.56
2015-02-27,23.06
2015-03-06,21.08
2015-03-13,20.79
2015-03-20,22.07
2015-03-27,23.16
2015-04-03,23.93
2015-04-10,29.5
2015-04-17,29.41
2015-04-24,33.79
2015-05-01,33.78
2015-05-08,34.3
2015-05-15,36.22
2015-05-22,33.7
2015-05-29,31.7
2015-06-05,34.94
2015-06-12,35.4
2015-06-19,32.77
2015-06-26,28.5
2015-07-03,27.8
2015-07-10,25.16
2015-07-17,25.56
2015-07-24,23.4
2015-07-31,22.85
2015-08-07,24.23
2015-08-14,24.83
2015-08-21,22.29
2015-08-28,21.35
2015-09-04,19.17
2015-09-11,20.74
2015-09-18,21.48
2015-09-25,21.7
2015-10-02,23.85
2015-10-09,27.66
2015-10-16,28.03
2015-10-23,27.74
2015-10-30,28.02
2015-11-06,32.11
2015-11-13,27.32
2015-11-20,32.79
2015-11-27,31.39
2015-12-04,31.21
2015-12-11,28.87
2015-12-18,29.56
2015-12-25,30.39
2016-01-01,27.93
2016-01-08,24.51
2016-01-15,23.93
2016-01-22,24.07
2016-01-29,25.61
2016-02-05,22.32
2016-02-12,21.58
2016-02-19,23.9
2016-02-26,24.15
2016-03-04,24.02
2016-03-11,28.43
2016-03-18,25.38
2016-03-25,25.18
2016-04-01,24.36
2016-04-08,24.82
2016-04-15,25.89
2016-04-22,24.96
2016-04-29,24.58
2016-05-06,26.08
2016-05-13,23.93
2016-05-20,22.7
2016-05-27,24.6
2016-06-03,25.55
2016-06-10,24.05
2016-06-17,23.11
2016-06-24,22.9
2016-07-01,23.98
2016-07-08,24.92
2016-07-15,25.16
2016-07-22,25.5
2016-07-29,25.65
2016-08-05,26.57
2016-08-12,27.71
2016-08-19,26.49
2016-08-26,26.39
2016-09-02,26.28
2016-09-09,26.34
2016-09-16,26.53
2016-09-23,27.15
2016-09-30,26.11
2016-10-07,26.69
2016-10-14,25.02
2016-10-21,24.82
2016-10-28,24.61
2016-11-04,22.24
2016-11-11,25.16
2016-11-18,24.53
2016-11-25,24.69
2016-12-02,23.89
2016-12-09,23.21
2016-12-16,21.74
