date,value
2015-01-02,146.46
2015-01-09,152.74
2015-01-16,153.33
2015-01-23,156.19
2015-01-30,156.95
2015-02-06,162.24
2015-02-13,167.14
2015-02-20,172.2
2015-02-27,165.71
2015-03-06,160.41
2015-03-13,157.56
2015-03-20,162.62
2015-03-27,160.48
2015-04-03,161.63
2015-04-10,165.35
2015-04-17,160.16
2015-04-24,161.78
2015-05-01,156.01
2015-05-08,156.31
2015-05-15,158.01
2015-05-22,160.0
2015-05-29,159.18
2015-06-05,157.29
2015-06-12,161.06
2015-06-19,165.05
2015-06-26,161.77
2015-07-03,159.5
2015-07-10,165.37
2015-07-17,168.99
2015-07-24,164.8
2015-07-31,173.01
2015-08-07,172.65
2015-08-14,174.18
2015-08-21,165.35
2015-08-28,165.54
2015-09-04,162.3
2015-09-11,168.52
2015-09-18,168.98
2015-09-25,165.57
2015-10-02,167.53
2015-10-09,175.75
2015-10-16,174.88
2015-10-23,179.83
2015-10-30,187.75
2015-11-06,184.01
2015-11-13,178.82
2015-11-20,189.48
2015-11-27,188.41
2015-12-04,187.95
2015-12-11,186.02
2015-12-18,184.86
2015-12-25,190.11
2016-01-01,188.81
2016-01-08,186.07
2016-01-15,184.21
2016-01-22,184.11
2016-01-29,185.06
2016-02-05,186.49
2016-02-12,181.25
2016-02-19,190.68
2016-02-26,192.22
2016-03-04,191.07
2016-03-11,189.89
2016-03-18,193.99
2016-03-25,194.2
2016-04-01,200.31
2016-04-08,200.57
2016-04-15,201.88
2016-04-22,200.75
2016-04-29,206.26
2016-05-06,214.1
2016-05-13,213.98
2016-05-20,212.72
2016-05-27,214.42
2016-06-03,215.18
2016-06-10,217.36
2016-06-17,214.32
2016-06-24,212.71
2016-07-01,221.8
2016-07-08,221.97
2016-07-15,221.46
2016-07-22,219.6
2016-07-29,216.63
2016-08-05,218.95
2016-08-12,218.21
2016-08-19,217.42
2016-08-26,211.93
2016-09-02,213.24
2016-09-09,209.24
2016-09-16,211.0
2016-09-23,217.05
2016-09-30,213.95
2016-10-07,215.43
2016-10-14,218.92
2016-10-21,215.86
2016-10-28,228.38
2016-11-04,225.23
2016-11-11,247.5
2016-11-18,245.46
2016-11-25,248.58
2016-12-02,250.87
2016-12-09,238.43
2016-12-16,231.7
2016-12-23,232.99
2016-12-30,232.58
2017-01-06,236.73
2017-01-13,230.17
2017-01-20,232.11
2017-01-27,229.83
2017-02-03,231.36
2017-02-10,236.25
2017-02-17,243.58
2017-02-24,245.05
2017-03-03,242.93
2017-03-10,243.59
2017-03-17,244.25
2017-03-24,236.88
2017-03-31,237.84
2017-04-07,238.81
2017-04-14,240.2
2017-04-21,246.33
2017-04-28,245.96
2017-05-05,248.91
2017-05-12,247.45
2017-05-19,249.88
2017-05-26,256.99
2017-06-02,258.52
2017-06-09,256.69
2017-06-16,258.59
2017-06-23,257.4
2017-06-30,256.71
2017-07-07,261.99
2017-07-14,264.83
2017-07-21,265.3
2017-07-28,264.1
2017-08-04,269.24
2017-08-11,269.28
2017-08-18,267.61
2017-08-25,269.33
2017-09-01,268.83
2017-09-08,267.45
2017-09-15,267.03
2017-09-22,281.55
2017-09-29,287.72
2017-10-06,293.33
2017-10-13,296.4
2017-10-20,294.6
2017-10-27,297.66
2017-11-03,301.66
2017-11-10,298.13
2017-11-17,296.85
2017-11-24,302.72
2017-12-01,299.63
2017-12-08,305.67
2017-12-15,310.47
2017-12-22,303.78
2017-12-29,306.91
2018-01-05,308.22
2018-01-12,315.15
2018-01-19,316.37
2018-01-26,335.56
2018-02-02,336.79
2018-02-09,332.69
2018-02-16,356.0
2018-02-23,351.51
2018-03-02,343.05
2018-03-09,349.64
2018-03-16,338.63
2018-03-23,345.77
2018-03-30,349.12
2018-04-06,351.72
2018-04-13,350.6
2018-04-20,355.92
2018-04-27,321.85
2018-05-04,313.85
2018-05-11,325.3
2018-05-18,329.02
2018-05-25,331.93
2018-06-01,329.99
2018-06-08,338.63
2018-06-15,321.52
2018-06-22,312.06
2018-06-29,307.7
2018-07-06,307.36
2018-07-13,321.73
2018-07-20,323.93
2018-07-27,301.65
2018-08-03,297.25
2018-08-10,291.32
2018-08-17,294.39
2018-08-24,298.04
2018-08-31,298.49
2018-09-07,300.52
2018-09-14,307.34
2018-09-21,306.69
2018-09-28,317.37
2018-10-05,320.34
2018-10-12,302.37
2018-10-19,307.67
2018-10-26,269.84
2018-11-02,273.8
2018-11-09,285.73
2018-11-16,272.64
2018-11-23,266.59
2018-11-30,259.88
2018-12-07,257.54
2018-12-14,262.71
2018-12-21,235.24
2018-12-28,242.25
2019-01-04,247.9
2019-01-11,256.05
2019-01-18,267.75
2019-01-25,272.84
