date,value
2015-01-02,8.01
2015-01-09,7.55
2015-01-16,7.56
2015-01-23,7.9
2015-01-30,7.6
2015-02-06,7.65
2015-02-13,8.02
2015-02-20,8.07
2015-02-27,8.01
2015-03-06,7.83
2015-03-13,7.7
2015-03-20,7.86
2015-03-27,7.7
2015-04-03,7.65
2015-04-10,8.06
2015-04-17,7.62
2015-04-24,7.76
2015-05-01,6.5
2015-05-08,6.93
2015-05-15,6.9
2015-05-22,7.22
2015-05-29,7.29
2015-06-05,7.12
2015-06-12,7.13
2015-06-19,7.19
2015-06-26,7.23
2015-07-03,6.73
2015-07-10,6.7
2015-07-17,6.79
2015-07-24,6.74
2015-07-31,7.05
2015-08-07,6.78
2015-08-14,6.61
2015-08-21,6.14
2015-08-28,6.32
2015-09-04,6.16
2015-09-11,6.51
2015-09-18,6.6
2015-09-25,6.57
2015-10-02,6.91
2015-10-09,6.98
2015-10-16,7.02
2015-10-23,6.81
2015-10-30,7.42
2015-11-06,7.51
2015-11-13,7.14
2015-11-20,7.39
2015-11-27,7.19
2015-12-04,7.41
2015-12-11,6.9
2015-12-18,6.84
2015-12-25,7.13
2016-01-01,7.02
2016-01-08,7.33
2016-01-15,7.16
2016-01-22,7.26
2016-01-29,7.2
2016-02-05,5.96
2016-02-12,5.86
2016-02-19,6.0
2016-02-26,6.09
2016-03-04,6.15
2016-03-11,6.01
2016-03-18,6.08
2016-03-25,5.78
2016-04-01,5.8
2016-04-08,6.01
2016-04-15,6.12
2016-04-22,6.08
2016-04-29,5.87
2016-05-06,5.67
2016-05-13,5.18
2016-05-20,5.21
2016-05-27,5.6
2016-06-03,5.69
2016-06-10,5.61
2016-06-17,5.52
2016-06-24,5.21
2016-07-01,5.66
2016-07-08,5.45
2016-07-15,5.92
2016-07-22,5.86
2016-07-29,5.77
2016-08-05,5.47
2016-08-12,5.74
2016-08-19,5.67
2016-08-26,5.69
2016-09-02,5.76
2016-09-09,5.7
2016-09-16,5.47
2016-09-23,5.66
2016-09-30,5.79
2016-10-07,5.49
2016-10-14,4.95
2016-10-21,4.92
2016-10-28,4.56
2016-11-04,4.31
2016-11-11,4.42
2016-11-18,4.16
2016-11-25,4.33
2016-12-02,4.23
2016-12-09,4.62
2016-12-16,4.88
2016-12-23,4.88
2016-12-30,4.81
2017-01-06,4.92
2017-01-13,4.75
2017-01-20,4.76
2017-01-27,4.64
2017-02-03,4.83
2017-02-10,4.88
2017-02-17,5.05
2017-02-24,5.14
2017-03-03,5.28
2017-03-10,5.37
2017-03-17,5.46
2017-03-24,5.37
2017-03-31,5.42
2017-04-07,5.28
2017-04-14,5.22
2017-04-21,5.22
2017-04-28,5.73
2017-05-05,6.18
2017-05-12,6.17
2017-05-19,6.18
2017-05-26,6.38
2017-06-02,6.55
2017-06-09,6.4
2017-06-16,6.4
2017-06-23,6.39
2017-06-30,6.16
2017-07-07,6.25
2017-07-14,6.33
2017-07-21,6.2
2017-07-28,6.4
2017-08-04,6.52
2017-08-11,6.26
2017-08-18,6.19
2017-08-25,6.21
2017-09-01,6.22
2017-09-08,5.99
2017-09-15,6.16
2017-09-22,6.0
2017-09-29,5.98
2017-10-06,5.91
2017-10-13,5.93
2017-10-20,6.08
2017-10-27,4.91
2017-11-03,4.97
2017-11-10,4.91
2017-11-17,4.94
2017-11-24,5.08
2017-12-01,4.95
2017-12-08,4.64
2017-12-15,4.61
2017-12-22,4.78
2017-12-29,4.66
2018-01-05,4.92
2018-01-12,4.87
2018-01-19,4.84
2018-01-26,4.81
2018-02-02,5.4
2018-02-09,5.4
2018-02-16,5.76
2018-02-23,5.8
2018-03-02,5.77
2018-03-09,5.89
2018-03-16,5.73
2018-03-23,5.46
2018-03-30,5.47
2018-04-06,5.39
2018-04-13,5.52
2018-04-20,5.96
2018-04-27,5.96
2018-05-04,6.1
2018-05-11,6.38
2018-05-18,6.2
2018-05-25,6.14
2018-06-01,5.85
2018-06-08,5.84
2018-06-15,6.12
2018-06-22,5.95
2018-06-29,5.75
2018-07-06,5.76
2018-07-13,5.81
2018-07-20,5.97
2018-07-27,5.4
2018-08-03,5.36
2018-08-10,5.22
2018-08-17,5.23
2018-08-24,5.58
2018-08-31,5.55
2018-09-07,5.32
2018-09-14,5.5
2018-09-21,5.59
2018-09-28,5.58
2018-10-05,5.38
2018-10-12,5.25
2018-10-19,5.62
2018-10-26,5.58
2018-11-02,5.8
2018-11-09,5.87
2018-11-16,5.81
2018-11-23,5.49
2018-11-30,5.47
2018-12-07,5.53
2018-12-14,5.94
2018-12-21,5.49
2018-12-28,5.81
2019-01-04,5.93
2019-01-11,6.08
2019-01-18,6.11
2019-01-25,6.6
2019-02-01,6.13
2019-02-08,6.16
2019-02-15,6.32
2019-02-22,6.24
2019-03-01,6.11
2019-03-08,6.07
2019-03-15,6.39
2019-03-22,5.88
2019-03-29,5.72
2019-04-05,5.92
2019-04-12,5.94
2019-04-19,5.81
2019-04-26,5.36
2019-05-03,5.18
2019-05-10,4.93
2019-05-17,4.94
2019-05-24,5.12
2019-05-31,5.05
2019-06-07,5.08
2019-06-14,4.95
2019-06-21,5.16
2019-06-28,5.01
2019-07-05,5.06
2019-07-12,5.1
2019-07-19,5.14
2019-07-26,5.72
2019-08-02,5.4
2019-08-09,5.41
2019-08-16,5.17
2019-08-23,5.01
2019-08-30,4.96
2019-09-06,5.01
2019-09-13,5.18
2019-09-20,5.29
2019-09-27,5.04
2019-10-04,4.89
2019-10-11,5.02
2019-10-18,5.2
2019-10-25,3.78
2019-11-01,3.66
2019-11-08,3.57
2019-11-15,3.45
2019-11-22,3.43
2019-11-29,3.5
2019-12-06,3.48
2019-12-13,3.52
2019-12-20,3.61
2019-12-27,3.63
2020-01-03,3.81
