date,value
2015-01-02,67.38
2015-01-09,67.11
2015-01-16,63.96
2015-01-23,68.74
2015-01-30,72.9
2015-02-06,74.94
2015-02-13,77.55
2015-02-20,79.06
2015-02-27,76.26
2015-03-06,74.06
2015-03-13,76.92
2015-03-20,79.38
2015-03-27,78.47
2015-04-03,76.12
2015-04-10,82.34
2015-04-17,73.29
2015-04-24,76.09
2015-05-01,73.75
2015-05-08,73.91
2015-05-15,75.71
2015-05-22,78.76
2015-05-29,76.61
2015-06-05,76.89
2015-06-12,77.94
2015-06-19,80.38
2015-06-26,77.02
2015-07-03,74.53
2015-07-10,76.74
2015-07-17,78.92
2015-07-24,79.64
2015-07-31,80.5
2015-08-07,76.95
2015-08-14,76.63
2015-08-21,69.91
2015-08-28,72.54
2015-09-04,69.79
2015-09-11,73.6
2015-09-18,74.36
2015-09-25,72.86
2015-10-02,72.23
2015-10-09,74.42
2015-10-16,76.46
2015-10-23,78.89
2015-10-30,81.65
2015-11-06,85.24
2015-11-13,82.88
2015-11-20,86.19
2015-11-27,87.29
2015-12-04,89.99
2015-12-11,83.49
2015-12-18,85.73
2015-12-25,86.96
2016-01-01,86.56
2016-01-08,78.12
2016-01-15,76.34
2016-01-22,76.67
2016-01-29,62.21
2016-02-05,52.31
2016-02-12,50.08
2016-02-19,54.74
2016-02-26,55.51
2016-03-04,58.5
2016-03-11,63.35
2016-03-18,60.15
2016-03-25,61.69
2016-04-01,62.03
2016-04-08,64.5
2016-04-15,63.28
2016-04-22,73.11
2016-04-29,71.48
2016-05-06,67.28
2016-05-13,67.44
2016-05-20,70.0
2016-05-27,70.73
2016-06-03,73.53
2016-06-10,74.03
2016-06-17,72.07
2016-06-24,70.33
2016-07-01,66.21
2016-07-08,69.12
2016-07-15,71.02
2016-07-22,72.67
2016-07-29,74.92
2016-08-05,75.83
2016-08-12,75.77
2016-08-19,73.69
2016-08-26,73.5
2016-09-02,76.24
2016-09-09,73.58
2016-09-16,77.29
2016-09-23,77.45
2016-09-30,79.15
2016-10-07,78.52
2016-10-14,75.62
2016-10-21,80.06
2016-10-28,86.12
2016-11-04,83.21
