date,value
2015-01-02,109.15
2015-01-09,103.17
2015-01-16,103.58
2015-01-23,104.78
2015-01-30,101.97
2015-02-06,107.79
2015-02-13,109.91
2015-02-20,111.73
2015-02-27,109.16
2015-03-06,108.21
2015-03-13,108.65
2015-03-20,110.43
2015-03-27,103.62
2015-04-03,104.15
2015-04-10,106.35
2015-04-17,100.65
2015-04-24,105.29
2015-05-01,103.21
2015-05-08,100.63
2015-05-15,97.56
2015-05-22,95.53
2015-05-29,92.0
2015-06-05,92.51
2015-06-12,91.7
2015-06-19,92.32
2015-06-26,88.87
2015-07-03,87.83
2015-07-10,86.35
2015-07-17,85.94
2015-07-24,82.96
2015-07-31,84.33
2015-08-07,81.11
2015-08-14,81.74
2015-08-21,77.98
2015-08-28,79.2
2015-09-04,76.53
2015-09-11,79.17
2015-09-18,78.95
2015-09-25,75.62
2015-10-02,79.01
2015-10-09,82.91
2015-10-16,78.36
2015-10-23,81.0
2015-10-30,80.03
2015-11-06,79.87
2015-11-13,88.96
2015-11-20,97.56
2015-11-27,95.38
2015-12-04,92.06
2015-12-11,89.44
2015-12-18,84.27
2015-12-25,86.78
2016-01-01,84.59
2016-01-08,77.79
2016-01-15,71.77
2016-01-22,68.59
2016-01-29,70.5
2016-02-05,70.14
2016-02-12,72.56
2016-02-19,75.0
2016-02-26,74.7
2016-03-04,77.4
2016-03-11,79.01
2016-03-18,84.02
2016-03-25,83.87
2016-04-01,82.97
2016-04-08,81.49
2016-04-15,81.63
2016-04-22,91.33
2016-04-29,90.11
2016-05-06,89.66
2016-05-13,85.97
2016-05-20,85.44
2016-05-27,84.0
2016-06-03,83.11
2016-06-10,84.09
2016-06-17,85.19
2016-06-24,82.64
2016-07-01,85.2
2016-07-08,86.42
2016-07-15,91.49
2016-07-22,92.01
2016-07-29,89.78
2016-08-05,88.88
2016-08-12,88.36
2016-08-19,91.58
2016-08-26,92.27
2016-09-02,94.16
2016-09-09,90.78
2016-09-16,91.35
2016-09-23,93.62
2016-09-30,97.06
2016-10-07,96.78
2016-10-14,94.94
2016-10-21,92.92
2016-10-28,92.27
2016-11-04,91.62
2016-11-11,100.91
2016-11-18,103.45
2016-11-25,104.34
2016-12-02,105.6
2016-12-09,110.6
2016-12-16,106.67
2016-12-23,109.28
2016-12-30,108.07
2017-01-06,111.66
2017-01-13,111.59
2017-01-20,113.59
2017-01-27,120.35
2017-02-03,120.46
2017-02-10,121.12
2017-02-17,122.78
2017-02-24,120.08
2017-03-03,122.4
2017-03-10,119.66
2017-03-17,114.71
2017-03-24,110.66
2017-03-31,111.97
2017-04-07,115.9
2017-04-14,111.58
2017-04-21,116.37
2017-04-28,117.49
2017-05-05,117.01
2017-05-12,116.96
2017-05-19,113.27
2017-05-26,122.33
2017-06-02,123.64
2017-06-09,118.92
2017-06-16,119.14
2017-06-23,119.29
2017-06-30,121.7
2017-07-07,122.34
2017-07-14,124.0
2017-07-21,117.85
2017-07-28,114.23
2017-08-04,114.61
2017-08-11,116.56
2017-08-18,118.63
2017-08-25,118.21
2017-09-01,121.16
2017-09-08,123.92
2017-09-15,128.04
2017-09-22,130.99
2017-09-29,132.24
2017-10-06,130.46
2017-10-13,131.65
2017-10-20,132.75
2017-10-27,133.65
2017-11-03,130.36
2017-11-10,127.15
2017-11-17,127.54
2017-11-24,130.01
2017-12-01,137.5
2017-12-08,140.82
2017-12-15,141.11
2017-12-22,144.52
2017-12-29,144.9
2018-01-05,150.27
2018-01-12,154.34
2018-01-19,151.4
2018-01-26,150.97
2018-02-02,145.03
2018-02-09,138.22
2018-02-16,142.64
2018-02-23,142.62
2018-03-02,138.66
2018-03-09,145.53
2018-03-16,138.59
2018-03-23,132.18
2018-03-30,135.78
2018-04-06,129.36
2018-04-13,133.51
2018-04-20,136.75
2018-04-27,146.62
2018-05-04,143.92
2018-05-11,152.4
2018-05-18,152.49
2018-05-25,153.02
2018-06-01,155.23
2018-06-08,154.23
2018-06-15,154.66
2018-06-22,151.82
2018-06-29,150.87
2018-07-06,154.52
2018-07-13,159.46
2018-07-20,161.85
2018-07-27,168.24
2018-08-03,171.62
2018-08-10,171.94
2018-08-17,174.07
2018-08-24,174.86
2018-08-31,173.84
2018-09-07,177.1
2018-09-14,179.4
2018-09-21,184.24
2018-09-28,180.5
2018-10-05,183.02
2018-10-12,170.19
2018-10-19,163.92
2018-10-26,161.94
2018-11-02,168.59
2018-11-09,170.32
2018-11-16,172.05
2018-11-23,163.9
2018-11-30,170.74
2018-12-07,156.99
2018-12-14,150.88
2018-12-21,144.38
2018-12-28,148.01
2019-01-04,150.53
2019-01-11,163.58
2019-01-18,169.05
2019-01-25,165.12
2019-02-01,169.53
2019-02-08,171.46
2019-02-15,182.87
2019-02-22,183.3
2019-03-01,178.87
2019-03-08,176.78
2019-03-15,179.52
2019-03-22,177.94
2019-03-29,186.89
2019-04-05,192.19
2019-04-12,196.15
2019-04-19,198.58
2019-04-26,204.14
2019-05-03,205.06
2019-05-10,202.59
2019-05-17,203.52
2019-05-24,199.27
2019-05-31,195.14
2019-06-07,203.04
2019-06-14,194.74
2019-06-21,197.19
2019-06-28,199.33
2019-07-05,200.94
2019-07-12,205.9
2019-07-19,195.19
2019-07-26,189.99
2019-08-02,182.02
2019-08-09,177.7
2019-08-16,173.0
2019-08-23,169.28
2019-08-30,174.05
2019-09-06,175.06
2019-09-13,182.19
2019-09-20,180.49
2019-09-27,180.87
2019-10-04,172.82
2019-10-11,178.5
2019-10-18,181.91
2019-10-25,188.25
2019-11-01,189.92
2019-11-08,195.44
2019-11-15,191.07
2019-11-22,193.18
2019-11-29,193.5
2019-12-06,190.93
2019-12-13,190.07
2019-12-20,194.59
2019-12-27,195.2
2020-01-03,196.44
