date,value
2015-01-02,98.81
2015-01-09,103.58
2015-01-16,108.7
2015-01-23,112.9
2015-01-30,109.25
2015-02-06,111.64
2015-02-13,112.99
2015-02-20,110.08
2015-02-27,100.04
2015-03-06,100.76
2015-03-13,95.725
2015-03-20,100.67
2015-03-27,103.83
2015-04-03,111.51
2015-04-10,118.8
2015-04-17,112.68
2015-04-24,122.19
2015-05-01,126.39
2015-05-08,129.23
2015-05-15,141.12
2015-05-22,146.2
2015-05-29,141.41
2015-06-05,145.59
2015-06-12,150.01
2015-06-19,149.38
2015-06-26,144.48
2015-07-03,144.93
2015-07-10,139.95
2015-07-17,150.94
2015-07-24,148.65
2015-07-31,138.63
2015-08-07,147.79
2015-08-14,126.04
2015-08-21,114.19
2015-08-28,117.91
2015-09-04,107.67
2015-09-11,117.45
2015-09-18,115.02
2015-09-25,113.12
2015-10-02,122.7
2015-10-09,129.16
2015-10-16,139.77
2015-10-23,141.6
2015-10-30,144.53
2015-11-06,146.82
2015-11-13,148.11
2015-11-20,163.68
2015-11-27,164.01
2015-12-04,179.14
2015-12-11,172.53
2015-12-18,181.81
2015-12-25,183.85
2016-01-01,181.24
2016-01-08,163.46
2016-01-15,154.99
2016-01-22,153.5
2016-01-29,156.14
2016-02-05,139.47
2016-02-12,138.43
2016-02-19,153.94
2016-02-26,135.38
2016-03-04,141.73
2016-03-11,144.12
2016-03-18,147.84
2016-03-25,144.48
2016-04-01,143.02
2016-04-08,143.25
2016-04-15,138.28
2016-04-22,133.07
2016-04-29,140.7
2016-05-06,140.31
2016-05-13,153.4
2016-05-20,166.81
2016-05-27,175.79
2016-06-03,175.56
2016-06-10,161.98
2016-06-17,163.11
2016-06-24,172.09
2016-07-01,184.57
2016-07-08,185.13
2016-07-15,195.21
2016-07-22,196.02
2016-07-29,204.27
2016-08-05,201.59
2016-08-12,205.87
2016-08-19,209.74
2016-08-26,217.71
2016-09-02,214.91
2016-09-09,213.17
2016-09-16,238.03
2016-09-23,247.42
2016-09-30,240.78
2016-10-07,252.95
2016-10-14,261.37
2016-10-21,263.53
2016-10-28,264.97
2016-11-04,243.43
2016-11-11,234.57
2016-11-18,230.81
2016-11-25,227.09
2016-12-02,220.59
2016-12-09,223.55
2016-12-16,213.05
2016-12-23,223.67
2016-12-30,215.34
2017-01-06,226.96
2017-01-13,237.68
2017-01-20,242.34
2017-01-27,252.89
2017-02-03,255.0
2017-02-10,257.42
2017-02-17,297.25
2017-02-24,299.93
2017-03-03,293.47
2017-03-10,289.4
2017-03-17,291.5
2017-03-24,288.98
2017-03-31,284.0
2017-04-07,277.22
2017-04-14,265.68
2017-04-21,268.97
2017-04-28,265.39
2017-05-05,264.5
2017-05-12,271.29
2017-05-19,286.75
2017-05-26,292.35
2017-06-02,291.67
2017-06-09,303.62
2017-06-16,296.97
2017-06-23,333.56
2017-06-30,300.63
2017-07-07,295.79
2017-07-14,310.35
2017-07-21,307.2
2017-07-28,313.79
2017-08-04,304.47
2017-08-11,280.96
2017-08-18,270.34
2017-08-25,267.35
2017-09-01,269.89
2017-09-08,273.04
2017-09-15,271.07
2017-09-22,271.61
2017-09-29,263.81
2017-10-06,276.69
2017-10-13,279.65
2017-10-20,276.63
2017-10-27,283.53
2017-11-03,280.52
2017-11-10,302.87
2017-11-17,367.5
2017-11-24,344.21
2017-12-01,323.9
2017-12-08,321.51
2017-12-15,355.79
2017-12-22,365.63
2017-12-29,345.07
2018-01-05,344.27
2018-01-12,328.83
2018-01-19,325.55
2018-01-26,335.91
2018-02-02,317.4
2018-02-09,291.63
2018-02-16,307.44
2018-02-23,311.64
2018-03-02,288.71
2018-03-09,312.53
2018-03-16,326.94
2018-03-23,295.66
2018-03-30,280.39
2018-04-06,272.74
2018-04-13,272.99
2018-04-20,266.3
2018-04-27,253.93
2018-05-04,251.57
2018-05-11,267.7
2018-05-18,246.33
2018-05-25,228.56
2018-06-01,232.48
2018-06-08,243.58
2018-06-15,254.88
2018-06-22,259.4
2018-06-29,252.67
2018-07-06,261.19
2018-07-13,266.11
2018-07-20,264.25
2018-07-27,264.91
2018-08-03,258.13
2018-08-10,224.67
2018-08-17,206.63
2018-08-24,207.49
2018-08-31,197.71
2018-09-07,193.35
2018-09-14,201.93
2018-09-21,214.75
2018-09-28,228.25
2018-10-05,215.51
2018-10-12,220.88
2018-10-19,210.17
2018-10-26,201.18
2018-11-02,222.66
2018-11-09,221.91
2018-11-16,233.41
2018-11-23,225.75
2018-11-30,227.07
2018-12-07,236.61
2018-12-14,248.0
2018-12-21,244.43
2018-12-28,236.91
2019-01-04,229.75
2019-01-11,243.42
2019-01-18,252.68
2019-01-25,242.59
2019-02-01,249.79
2019-02-08,239.88
2019-02-15,227.62
2019-02-22,222.65
2019-03-01,217.38
2019-03-08,226.57
2019-03-15,242.35
2019-03-22,232.35
2019-03-29,241.45
2019-04-05,279.68
2019-04-12,274.45
2019-04-19,266.01
2019-04-26,280.73
2019-05-03,285.44
2019-05-10,264.47
2019-05-17,266.53
2019-05-24,255.98
2019-05-31,248.61
2019-06-07,258.26
2019-06-14,265.94
2019-06-21,262.43
2019-06-28,255.77
2019-07-05,261.5
2019-07-12,259.87
2019-07-19,243.78
2019-07-26,238.96
2019-08-02,219.7
2019-08-09,242.9
2019-08-16,258.48
2019-08-23,247.23
2019-08-30,255.0
2019-09-06,278.81
2019-09-13,275.27
