date,value
2015-01-02,1251.99
2015-01-09,1312.0
2015-01-16,1279.61
2015-01-23,1262.58
2015-01-30,1254.23
2015-02-06,1315.11
2015-02-13,1333.0
2015-02-20,1348.05
2015-02-27,1332.0
2015-03-06,1332.96
2015-03-13,1319.97
2015-03-20,1355.0
2015-03-27,1330.6
2015-04-03,1353.13
2015-04-10,1344.84
2015-04-17,1324.89
2015-04-24,1345.1
2015-05-01,1345.69
2015-05-08,1323.97
2015-05-15,1335.24
2015-05-22,1373.0
2015-05-29,1360.6
2015-06-05,1366.99
2015-06-12,1367.88
2015-06-19,1366.71
2015-06-26,1374.01
2015-07-03,1362.99
2015-07-10,1388.45
2015-07-17,1404.1
2015-07-24,1434.55
2015-07-31,1490.04
2015-08-07,1472.6
2015-08-14,1524.99
2015-08-21,1540.99
2015-08-28,1509.85
2015-09-04,1545.44
2015-09-11,1575.47
2015-09-18,1571.24
2015-09-25,1592.0
2015-10-02,1547.06
2015-10-09,1570.0
2015-10-16,1553.09
2015-10-23,1665.0
2015-10-30,1637.76
2015-11-06,1632.5
2015-11-13,1623.0
2015-11-20,1668.94
2015-11-27,1684.95
2015-12-04,1705.75
2015-12-11,1660.0
2015-12-18,1656.56
2015-12-25,1654.91
2016-01-01,1643.0
2016-01-08,1541.42
2016-01-15,1512.02
2016-01-22,1544.51
2016-01-29,1651.0
2016-02-05,1585.12
2016-02-12,1535.0
2016-02-19,1591.62
2016-02-26,1626.39
2016-03-04,1654.5
2016-03-11,1672.01
2016-03-18,1730.0
2016-03-25,1726.0
2016-04-01,1749.29
2016-04-08,1753.48
2016-04-15,1781.78
2016-04-22,1695.56
2016-04-29,1661.29
2016-05-06,1636.0
2016-05-13,1641.8
2016-05-20,1694.97
2016-05-27,1737.79
2016-06-03,1717.14
2016-06-10,1721.77
2016-06-17,1705.0
2016-06-24,1695.62
2016-07-01,1782.83
2016-07-08,1830.0
2016-07-15,1761.19
2016-07-22,1730.0
2016-07-29,1705.0
2016-08-05,1710.0
2016-08-12,1698.93
2016-08-19,1682.0
2016-08-26,1676.51
2016-09-02,1696.0
2016-09-09,1665.1
2016-09-16,1657.0
2016-09-23,1651.3
2016-09-30,1639.87
2016-10-07,1620.09
2016-10-14,1590.71
2016-10-21,1580.2
2016-10-28,1524.49
2016-11-04,1503.18
2016-11-11,1528.51
2016-11-18,1598.62
2016-11-25,1601.0
2016-12-02,1576.94
2016-12-09,1650.9
2016-12-16,1638.6
2016-12-23,1670.0
2016-12-30,1669.0
2017-01-06,1678.1
2017-01-13,1700.0
2017-01-20,1673.35
2017-01-27,1860.0
2017-02-03,1884.45
2017-02-10,1903.41
2017-02-17,1896.35
2017-02-24,1928.58
2017-03-03,1965.62
2017-03-10,2042.02
2017-03-17,2059.05
2017-03-24,2054.34
2017-03-31,2106.88
2017-04-07,2066.41
2017-04-14,2118.2
2017-04-21,2092.41
2017-04-28,2111.25
2017-05-05,2163.57
2017-05-12,2190.63
2017-05-19,2325.98
2017-05-26,2285.63
2017-06-02,2331.89
2017-06-09,2376.09
2017-06-16,2444.68
2017-06-23,2426.6
2017-06-30,2410.61
2017-07-07,2497.79
2017-07-14,2530.8
2017-07-21,2648.45
2017-07-28,2625.0
2017-08-04,2675.52
2017-08-11,2705.7
2017-08-18,2683.55
