date,value
2015-01-02,35.63
2015-01-09,34.43
2015-01-16,35.03
2015-01-23,35.7
2015-01-30,35.18
2015-02-06,33.64
2015-02-13,33.34
2015-02-20,34.05
2015-02-27,32.51
2015-03-06,31.66
2015-03-13,31.24
2015-03-20,32.45
2015-03-27,31.52
2015-04-03,32.01
2015-04-10,32.07
2015-04-17,32.67
2015-04-24,32.45
2015-05-01,32.37
2015-05-08,31.96
2015-05-15,31.99
2015-05-22,31.6
2015-05-29,31.5
2015-06-05,30.04
2015-06-12,29.15
2015-06-19,29.28
2015-06-26,28.95
2015-07-03,29.25
2015-07-10,28.76
2015-07-17,28.62
2015-07-24,27.83
2015-07-31,29.76
2015-08-07,29.94
2015-08-14,31.01
2015-08-21,29.92
2015-08-28,28.43
2015-09-04,26.7
2015-09-11,26.91
2015-09-18,27.22
2015-09-25,27.07
2015-10-02,27.73
2015-10-09,28.41
2015-10-16,28.85
2015-10-23,28.79
2015-10-30,28.51
2015-11-06,26.07
2015-11-13,25.78
2015-11-20,26.06
2015-11-27,25.94
2015-12-04,24.75
2015-12-11,24.89
2015-12-18,25.47
2015-12-25,26.7
2016-01-01,26.29
2016-01-08,25.51
2016-01-15,25.01
2016-01-22,24.78
2016-01-29,26.23
2016-02-05,26.93
2016-02-12,25.91
2016-02-19,26.45
2016-02-26,25.07
2016-03-04,26.46
2016-03-11,27.14
2016-03-18,28.16
2016-03-25,28.09
2016-04-01,28.95
2016-04-08,28.22
2016-04-15,28.34
2016-04-22,27.67
2016-04-29,29.59
2016-05-06,29.94
2016-05-13,30.79
2016-05-20,30.56
2016-05-27,30.3
2016-06-03,30.96
2016-06-10,30.94
2016-06-17,31.02
2016-06-24,31.46
2016-07-01,32.61
2016-07-08,32.26
2016-07-15,32.06
2016-07-22,32.67
2016-07-29,32.17
2016-08-05,30.75
2016-08-12,31.3
2016-08-19,31.2
2016-08-26,30.49
2016-09-02,31.36
2016-09-09,31.2
2016-09-16,31.44
2016-09-23,32.68
2016-09-30,31.62
2016-10-07,29.62
2016-10-14,30.29
2016-10-21,30.55
2016-10-28,30.69
2016-11-04,30.4
2016-11-11,30.44
2016-11-18,30.85
2016-11-25,31.73
2016-12-02,32.34
2016-12-09,33.18
2016-12-16,33.69
2016-12-23,33.74
2016-12-30,33.45
2017-01-06,33.82
2017-01-13,33.75
2017-01-20,33.4
2017-01-27,33.42
2017-02-03,33.87
2017-02-10,34.27
2017-02-17,34.62
2017-02-24,36.11
2017-03-03,36.74
2017-03-10,36.22
2017-03-17,36.79
2017-03-24,35.69
2017-03-31,34.98
2017-04-07,34.81
2017-04-14,34.53
2017-04-21,35.16
2017-04-28,34.78
2017-05-05,34.29
2017-05-12,34.14
2017-05-19,34.22
2017-05-26,35.15
2017-06-02,35.79
2017-06-09,35.37
2017-06-16,36.47
2017-06-23,35.47
2017-06-30,34.79
2017-07-07,34.22
2017-07-14,34.57
2017-07-21,35.42
2017-07-28,35.8
2017-08-04,35.91
2017-08-11,35.42
2017-08-18,35.59
2017-08-25,36.22
2017-09-01,35.76
2017-09-08,36.15
2017-09-15,36.31
2017-09-22,35.84
2017-09-29,36.03
2017-10-06,35.58
2017-10-13,36.82
2017-10-20,37.09
2017-10-27,37.08
2017-11-03,35.63
2017-11-10,35.01
2017-11-17,35.2
2017-11-24,34.9
2017-12-01,35.23
2017-12-08,34.46
2017-12-15,34.15
2017-12-22,33.01
2017-12-29,32.91
2018-01-05,32.5
2018-01-12,30.74
2018-01-19,31.42
2018-01-26,32.14
2018-02-02,31.35
2018-02-09,30.39
2018-02-16,31.56
2018-02-23,32.95
2018-03-02,31.19
2018-03-09,31.35
2018-03-16,32.0
2018-03-23,31.43
2018-03-30,32.77
2018-04-06,32.37
2018-04-13,31.61
2018-04-20,32.47
2018-04-27,32.91
2018-05-04,34.17
2018-05-11,34.23
2018-05-18,33.35
2018-05-25,34.39
2018-06-01,34.38
2018-06-08,33.75
2018-06-15,34.22
2018-06-22,34.96
2018-06-29,35.21
2018-07-06,35.63
2018-07-13,35.42
2018-07-20,35.79
2018-07-27,36.17
2018-08-03,36.23
2018-08-10,36.89
2018-08-17,37.56
2018-08-24,37.1
2018-08-31,36.83
2018-09-07,37.03
2018-09-14,37.39
2018-09-21,36.69
2018-09-28,36.32
2018-10-05,37.03
2018-10-12,36.39
2018-10-19,37.77
2018-10-26,36.54
2018-11-02,35.76
2018-11-09,38.23
2018-11-16,39.16
2018-11-23,38.97
2018-11-30,39.62
2018-12-07,40.46
2018-12-14,41.6
2018-12-21,39.92
2018-12-28,39.05
2019-01-04,39.21
2019-01-11,39.72
2019-01-18,40.28
2019-01-25,40.31
2019-02-01,40.66
2019-02-08,41.26
2019-02-15,41.88
2019-02-22,42.79
2019-03-01,42.43
2019-03-08,42.37
2019-03-15,43.11
2019-03-22,43.11
2019-03-29,43.12
2019-04-05,43.07
2019-04-12,42.16
2019-04-19,41.43
2019-04-26,42.24
2019-05-03,41.61
2019-05-10,41.52
2019-05-17,42.26
2019-05-24,42.93
2019-05-31,41.56
2019-06-07,43.55
2019-06-14,43.4
2019-06-21,43.46
2019-06-28,42.56
2019-07-05,43.65
2019-07-12,43.17
2019-07-19,42.74
2019-07-26,42.56
2019-08-02,43.1
2019-08-09,42.87
2019-08-16,43.1
2019-08-23,42.23
2019-08-30,42.87
2019-09-06,43.11
2019-09-13,43.95
2019-09-20,44.96
2019-09-27,45.43
2019-10-04,44.9
2019-10-11,43.36
2019-10-18,42.79
2019-10-25,43.05
2019-11-01,43.04
2019-11-08,42.83
2019-11-15,43.37
2019-11-22,41.99
2019-11-29,42.06
2019-12-06,43.01
2019-12-13,43.31
2019-12-20,44.47
2019-12-27,44.03
2020-01-03,44.07
