date,value
2015-01-02,10.2
2015-01-09,10.355
2015-01-16,9.84
2015-01-23,10.07
2015-01-30,10.01
2015-02-06,11.39
2015-02-13,11.945
2015-02-20,12.02
2015-02-27,12.75
2015-03-06,12.9
2015-03-13,12.55
2015-03-20,12.93
2015-03-27,11.8
2015-04-03,11.7
2015-04-10,11.58
2015-04-17,11.84
2015-04-24,11.62
2015-05-01,11.81
2015-05-08,12.3
2015-05-15,12.61
2015-05-22,12.66
2015-05-29,13.26
2015-06-05,12.93
2015-06-12,12.39
2015-06-19,12.51
2015-06-26,12.0
2015-07-03,11.46
2015-07-10,11.34
2015-07-17,10.87
2015-07-24,10.31
2015-07-31,10.62
2015-08-07,10.25
2015-08-14,9.91
2015-08-21,9.18
2015-08-28,9.88
2015-09-04,9.66
2015-09-11,10.22
2015-09-18,9.92
2015-09-25,9.33
2015-10-02,9.53
2015-10-09,10.0
2015-10-16,10.49
2015-10-23,11.48
2015-10-30,11.0
2015-11-06,11.6
2015-11-13,10.72
2015-11-20,10.16
2015-11-27,10.73
2015-12-04,11.37
2015-12-11,9.9
2015-12-18,10.01
2015-12-25,10.14
2016-01-01,9.8
2016-01-08,8.53
2016-01-15,8.22
2016-01-22,8.34
2016-01-29,8.56
2016-02-05,8.05
2016-02-12,7.07
2016-02-19,7.68
2016-02-26,8.39
2016-03-04,8.87
2016-03-11,9.26
2016-03-18,9.48
2016-03-25,9.39
2016-04-01,9.7
2016-04-08,9.51
2016-04-15,9.66
2016-04-22,9.83
2016-04-29,9.47
2016-05-06,9.41
2016-05-13,8.95
2016-05-20,9.19
2016-05-27,9.66
2016-06-03,9.71
2016-06-10,9.8
2016-06-17,9.45
2016-06-24,9.09
2016-07-01,8.78
2016-07-08,8.91
2016-07-15,9.39
2016-07-22,9.56
2016-07-29,10.03
2016-08-05,9.99
2016-08-12,10.1
2016-08-19,10.24
2016-08-26,11.03
2016-09-02,11.03
2016-09-09,10.26
2016-09-16,11.31
2016-09-23,11.71
2016-09-30,12.32
2016-10-07,12.28
2016-10-14,11.59
2016-10-21,11.82
2016-10-28,11.53
2016-11-04,11.57
2016-11-11,11.22
2016-11-18,11.17
2016-11-25,12.43
2016-12-02,11.12
2016-12-09,12.22
2016-12-16,12.84
2016-12-23,12.97
2016-12-30,12.76
2017-01-06,13.01
2017-01-13,13.47
2017-01-20,13.4
2017-01-27,13.88
2017-02-03,13.94
2017-02-10,14.14
2017-02-17,15.6
2017-02-24,15.33
2017-03-03,15.21
2017-03-10,15.22
2017-03-17,15.25
2017-03-24,15.18
2017-03-31,15.49
2017-04-07,15.15
2017-04-14,14.11
2017-04-21,14.19
2017-04-28,14.18
2017-05-05,14.42
2017-05-12,14.82
2017-05-19,15.42
2017-05-26,15.49
2017-06-02,15.86
2017-06-09,16.1
2017-06-16,15.38
2017-06-23,15.07
2017-06-30,14.04
2017-07-07,14.3
2017-07-14,15.08
2017-07-21,15.2
2017-07-28,15.08
2017-08-04,15.1
2017-08-11,15.94
2017-08-18,15.94
2017-08-25,16.03
2017-09-01,17.25
2017-09-08,16.6
2017-09-15,17.38
2017-09-22,17.64
2017-09-29,18.47
2017-10-06,19.23
