date,value
2015-01-02,44.33
2015-01-09,43.39
2015-01-16,43.51
2015-01-23,44.19
2015-01-30,41.89
2015-02-06,42.98
2015-02-13,43.93
2015-02-20,43.77
2015-02-27,43.82
2015-03-06,42.38
2015-03-13,42.38
2015-03-20,44.41
2015-03-27,42.64
2015-04-03,42.62
2015-04-10,43.51
2015-04-17,43.0
2015-04-24,43.08
2015-05-01,44.37
2015-05-08,44.01
2015-05-15,44.15
2015-05-22,43.93
2015-05-29,43.49
2015-06-05,43.81
2015-06-12,44.34
2015-06-19,41.59
2015-06-26,40.99
2015-07-03,40.36
2015-07-10,40.36
2015-07-17,40.4
2015-07-24,39.0
2015-07-31,39.94
2015-08-07,39.56
2015-08-14,39.41
2015-08-21,37.55
2015-08-28,37.46
2015-09-04,36.27
2015-09-11,37.92
2015-09-18,36.38
2015-09-25,36.05
2015-10-02,36.89
2015-10-09,38.1
2015-10-16,37.37
2015-10-23,38.07
2015-10-30,38.84
2015-11-06,40.62
2015-11-13,37.3
2015-11-20,39.34
2015-11-27,39.18
2015-12-04,39.16
2015-12-11,37.21
2015-12-18,36.35
2015-12-25,37.01
2016-01-01,36.53
2016-01-08,34.65
2016-01-15,34.12
2016-01-22,34.8
2016-01-29,36.31
2016-02-05,35.7
2016-02-12,35.54
2016-02-19,36.78
2016-02-26,36.96
2016-03-04,37.89
2016-03-11,38.95
2016-03-18,41.48
2016-03-25,40.97
2016-04-01,41.16
2016-04-08,40.36
2016-04-15,41.02
2016-04-22,40.7
2016-04-29,39.86
2016-05-06,39.41
2016-05-13,39.61
2016-05-20,39.41
2016-05-27,40.07
2016-06-03,39.1
2016-06-10,38.74
2016-06-17,39.68
2016-06-24,39.23
2016-07-01,40.86
2016-07-08,40.87
2016-07-15,41.77
2016-07-22,41.08
2016-07-29,41.04
2016-08-05,41.13
2016-08-12,41.09
2016-08-19,41.32
2016-08-26,41.26
2016-09-02,41.25
2016-09-09,40.03
2016-09-16,38.92
2016-09-23,39.23
2016-09-30,39.28
2016-10-07,38.71
2016-10-14,38.41
2016-10-21,37.93
2016-10-28,38.17
2016-11-04,38.28
2016-11-11,39.45
2016-11-18,39.86
2016-11-25,40.27
2016-12-02,38.5
2016-12-09,40.52
2016-12-16,39.1
2016-12-23,38.78
2016-12-30,38.45
2017-01-06,38.45
2017-01-13,39.26
2017-01-20,39.87
2017-01-27,40.23
2017-02-03,40.43
2017-02-10,40.79
2017-02-17,42.06
2017-02-24,43.17
2017-03-03,42.69
2017-03-10,42.68
2017-03-17,45.66
2017-03-24,44.65
2017-03-31,44.61
2017-04-07,44.29
2017-04-14,44.0
2017-04-21,44.43
2017-04-28,44.96
2017-05-05,45.58
2017-05-12,45.08
2017-05-19,44.31
2017-05-26,45.26
2017-06-02,45.66
2017-06-09,45.03
2017-06-16,45.09
2017-06-23,50.95
2017-06-30,50.14
2017-07-07,49.35
2017-07-14,50.56
2017-07-21,50.8
2017-07-28,50.3
2017-08-04,49.96
2017-08-11,48.24
2017-08-18,48.62
2017-08-25,49.24
2017-09-01,50.62
2017-09-08,51.58
2017-09-15,48.74
2017-09-22,48.16
2017-09-29,48.35
2017-10-06,48.4
2017-10-13,48.61
2017-10-20,49.25
2017-10-27,50.88
2017-11-03,50.18
2017-11-10,49.32
2017-11-17,48.94
2017-11-24,49.01
2017-12-01,49.61
2017-12-08,49.6
2017-12-15,48.3
2017-12-22,47.36
2017-12-29,47.28
2018-01-05,48.47
2018-01-12,49.51
2018-01-19,50.58
2018-01-26,52.75
2018-02-02,50.13
2018-02-09,47.73
2018-02-16,50.71
2018-02-23,50.5
2018-03-02,50.32
2018-03-09,52.97
2018-03-16,52.27
2018-03-23,44.79
2018-03-30,45.75
2018-04-06,44.83
2018-04-13,46.08
2018-04-20,46.23
2018-04-27,45.53
2018-05-04,45.71
2018-05-11,46.82
2018-05-18,46.32
2018-05-25,47.0
2018-06-01,47.35
2018-06-08,48.18
2018-06-15,46.28
2018-06-22,44.1
2018-06-29,44.06
2018-07-06,46.0
2018-07-13,48.63
2018-07-20,48.52
2018-07-27,48.63
2018-08-03,48.47
2018-08-10,48.32
2018-08-17,48.36
2018-08-24,49.26
2018-08-31,48.58
2018-09-07,47.81
2018-09-14,49.25
2018-09-21,51.1
2018-09-28,51.56
2018-10-05,49.35
2018-10-12,47.38
2018-10-19,47.59
2018-10-26,47.32
2018-11-02,48.83
2018-11-09,50.61
2018-11-16,51.17
2018-11-23,48.7
2018-11-30,48.76
2018-12-07,46.0
2018-12-14,46.6
2018-12-21,44.0
2018-12-28,44.82
2019-01-04,46.71
2019-01-11,48.29
2019-01-18,49.27
2019-01-25,49.8
2019-02-01,50.81
2019-02-08,51.03
2019-02-15,51.72
2019-02-22,52.48
2019-03-01,52.51
2019-03-08,52.77
2019-03-15,52.94
2019-03-22,52.77
2019-03-29,53.71
2019-04-05,53.93
2019-04-12,54.5
2019-04-19,54.52
2019-04-26,55.41
2019-05-03,54.79
2019-05-10,54.65
2019-05-17,54.5
2019-05-24,52.77
2019-05-31,50.6
2019-06-07,53.26
2019-06-14,53.28
2019-06-21,56.12
2019-06-28,56.97
2019-07-05,59.28
2019-07-12,59.81
2019-07-19,57.54
2019-07-26,58.5
2019-08-02,55.84
2019-08-09,53.9
2019-08-16,53.59
2019-08-23,51.58
2019-08-30,52.06
2019-09-06,53.16
2019-09-13,53.75
2019-09-20,53.47
2019-09-27,54.09
2019-10-04,55.14
2019-10-11,56.89
2019-10-18,54.55
2019-10-25,54.17
2019-11-01,55.0
2019-11-08,56.49
2019-11-15,56.42
2019-11-22,56.39
2019-11-29,56.14
2019-12-06,54.83
2019-12-13,54.51
2019-12-20,53.6
2019-12-27,53.46
2020-01-03,53.76
