date,value
2015-01-02,80.65
2015-01-09,77.54
2015-01-16,78.06
2015-01-23,78.85
2015-01-30,80.0
2015-02-06,81.75
2015-02-13,83.11
2015-02-20,80.1
2015-02-27,77.88
2015-03-06,74.77
2015-03-13,72.84
2015-03-20,72.72
2015-03-27,72.72
2015-04-03,74.55
2015-04-10,78.45
2015-04-17,80.53
2015-04-24,79.77
2015-05-01,80.5
2015-05-08,77.9
2015-05-15,76.84
2015-05-22,77.01
2015-05-29,78.19
2015-06-05,79.09
2015-06-12,77.78
2015-06-19,77.97
2015-06-26,79.21
2015-07-03,75.73
2015-07-10,73.31
2015-07-17,71.92
2015-07-24,68.42
2015-07-31,70.2
2015-08-07,68.78
2015-08-14,73.4
2015-08-21,69.26
2015-08-28,71.84
2015-09-04,69.65
2015-09-11,66.9
2015-09-18,66.84
2015-09-25,66.12
2015-10-02,68.79
2015-10-09,73.6
2015-10-16,74.23
2015-10-23,73.71
2015-10-30,74.54
2015-11-06,75.1
2015-11-13,73.51
2015-11-20,74.09
2015-11-27,75.19
2015-12-04,71.72
2015-12-11,66.03
2015-12-18,65.96
2015-12-25,69.2
2016-01-01,67.61
2016-01-08,63.17
2016-01-15,62.79
2016-01-22,63.8
2016-01-29,68.83
2016-02-05,65.47
2016-02-12,67.06
2016-02-19,70.26
2016-02-26,69.8
2016-03-04,69.72
2016-03-11,69.95
2016-03-18,71.3
2016-03-25,68.51
2016-04-01,68.2
2016-04-08,70.6
2016-04-15,72.15
2016-04-22,75.85
2016-04-29,76.65
2016-05-06,76.06
2016-05-13,75.34
2016-05-20,74.96
2016-05-27,76.15
2016-06-03,74.83
2016-06-10,75.45
2016-06-17,74.95
2016-06-24,75.27
2016-07-01,75.67
2016-07-08,76.13
2016-07-15,77.32
2016-07-22,75.38
2016-07-29,74.73
2016-08-05,73.68
2016-08-12,74.46
2016-08-19,76.54
2016-08-26,77.17
2016-09-02,77.51
2016-09-09,76.11
2016-09-16,71.03
2016-09-23,69.6
2016-09-30,72.92
2016-10-07,73.54
2016-10-14,73.22
2016-10-21,74.61
2016-10-28,73.63
2016-11-04,66.59
2016-11-11,64.95
2016-11-18,68.22
2016-11-25,69.75
2016-12-02,70.85
2016-12-09,70.58
2016-12-16,73.44
2016-12-23,72.11
2016-12-30,71.23
2017-01-06,71.08
2017-01-13,69.08
2017-01-20,68.59
2017-01-27,68.95
2017-02-03,69.18
2017-02-10,68.47
2017-02-17,66.27
2017-02-24,64.89
2017-03-03,64.86
2017-03-10,62.6
2017-03-17,64.09
2017-03-24,62.83
2017-03-31,63.36
2017-04-07,62.99
2017-04-14,64.09
2017-04-21,61.86
2017-04-28,61.54
2017-05-05,60.4
2017-05-12,60.87
2017-05-19,60.64
2017-05-26,61.0
2017-06-02,60.7
2017-06-09,61.01
2017-06-16,61.83
2017-06-23,60.12
2017-06-30,59.87
2017-07-07,58.68
2017-07-14,59.82
2017-07-21,60.03
2017-07-28,62.73
2017-08-04,62.09
2017-08-11,61.13
2017-08-18,59.15
2017-08-25,59.22
2017-09-01,59.75
2017-09-08,60.24
2017-09-15,61.35
2017-09-22,62.94
2017-09-29,64.21
2017-10-06,63.91
2017-10-13,64.73
2017-10-20,65.47
2017-10-27,65.05
2017-11-03,68.26
2017-11-10,68.17
2017-11-17,68.4
2017-11-24,68.42
2017-12-01,70.24
2017-12-08,68.87
2017-12-15,70.62
2017-12-22,72.99
2017-12-29,73.66
2018-01-05,74.55
2018-01-12,76.53
2018-01-19,75.55
2018-01-26,77.18
2018-02-02,73.58
2018-02-09,68.18
2018-02-16,68.16
2018-02-23,68.32
2018-03-02,65.64
2018-03-09,63.67
2018-03-16,64.45
2018-03-23,65.49
2018-03-30,64.96
2018-04-06,67.53
2018-04-13,73.63
2018-04-20,76.47
2018-04-27,77.04
2018-05-04,77.71
2018-05-11,84.97
2018-05-18,85.42
2018-05-25,82.4
2018-06-01,85.1
2018-06-08,85.47
2018-06-15,83.33
2018-06-22,83.33
2018-06-29,83.68
2018-07-06,84.25
2018-07-13,83.64
2018-07-20,83.08
2018-07-27,83.47
2018-08-03,82.29
2018-08-10,78.78
2018-08-17,78.55
2018-08-24,79.34
2018-08-31,79.87
2018-09-07,76.65
2018-09-14,77.58
2018-09-21,79.6
2018-09-28,82.17
2018-10-05,81.4
2018-10-12,76.96
2018-10-19,72.18
2018-10-26,67.91
2018-11-02,68.31
2018-11-09,73.55
2018-11-16,73.38
2018-11-23,69.83
2018-11-30,70.27
2018-12-07,66.54
2018-12-14,65.1
2018-12-21,59.98
2018-12-28,60.47
2019-01-04,63.21
2019-01-11,66.22
2019-01-18,67.03
2019-01-25,66.53
2019-02-01,68.04
2019-02-08,64.96
2019-02-15,67.19
2019-02-22,65.93
2019-03-01,67.55
2019-03-08,62.71
2019-03-15,65.47
2019-03-22,65.24
2019-03-29,66.2
2019-04-05,68.04
2019-04-12,65.33
2019-04-19,61.82
2019-04-26,61.31
2019-05-03,57.95
2019-05-10,54.97
2019-05-17,52.76
2019-05-24,53.47
2019-05-31,49.77
2019-06-07,47.84
2019-06-14,49.31
2019-06-21,50.61
2019-06-28,50.28
2019-07-05,49.28
2019-07-12,51.72
2019-07-19,52.33
2019-07-26,51.59
2019-08-02,51.18
2019-08-09,47.13
2019-08-16,44.57
2019-08-23,42.37
2019-08-30,43.48
2019-09-06,45.46
2019-09-13,45.09
2019-09-20,45.7
2019-09-27,45.14
2019-10-04,43.07
2019-10-11,41.12
2019-10-18,40.45
2019-10-25,42.53
2019-11-01,42.29
2019-11-08,40.1
2019-11-15,38.95
2019-11-22,39.58
2019-11-29,38.57
2019-12-06,39.01
2019-12-13,37.71
2019-12-20,39.01
2019-12-27,40.16
2020-01-03,43.61
