date,value
2018-01-26,29.19
2018-02-02,27.61
2018-02-09,28.0
2018-02-16,30.36
2018-02-23,32.37
2018-03-02,33.34
2018-03-09,35.25
2018-03-16,34.62
2018-03-23,35.86
2018-03-30,38.32
2018-04-06,35.71
2018-04-13,34.46
2018-04-20,36.74
2018-04-27,32.65
2018-05-04,31.24
2018-05-11,32.34
2018-05-18,32.12
2018-05-25,35.4
2018-06-01,34.5
2018-06-08,30.85
2018-06-15,33.35
2018-06-22,30.45
2018-06-29,27.75
2018-07-06,27.87
2018-07-13,27.3
2018-07-20,26.85
2018-07-27,28.81
2018-08-03,27.56
2018-08-10,28.39
2018-08-17,26.76
2018-08-24,25.85
2018-08-31,28.89
2018-09-07,26.57
2018-09-14,27.04
2018-09-21,28.68
2018-09-28,27.67
2018-10-05,26.95
2018-10-12,27.01
2018-10-19,29.9
2018-10-26,27.29
2018-11-02,27.17
2018-11-09,24.51
2018-11-16,23.57
2018-11-23,21.53
2018-11-30,24.0
2018-12-07,21.36
2018-12-14,20.83
2018-12-21,17.49
2018-12-28,18.28
2019-01-04,20.53
2019-01-11,21.89
2019-01-18,22.39
2019-01-25,22.93
2019-02-01,22.67
2019-02-08,22.78
2019-02-15,23.59
2019-02-22,26.12
2019-03-01,27.97
2019-03-08,27.1
2019-03-15,28.46
2019-03-22,29.59
2019-03-29,29.85
2019-04-05,29.03
2019-04-12,28.47
2019-04-19,25.3
2019-04-26,26.59
2019-05-03,27.15
2019-05-10,27.51
2019-05-17,29.87
2019-05-24,32.08
2019-05-31,32.02
2019-06-07,35.77
2019-06-14,35.54
2019-06-21,37.59
2019-06-28,38.97
2019-07-05,40.51
2019-07-12,43.51
2019-07-19,45.64
2019-07-26,48.32
2019-08-02,45.64
2019-08-09,45.95
2019-08-16,51.54
2019-08-23,50.96
2019-08-30,49.96
2019-09-06,51.67
2019-09-13,45.87
2019-09-20,47.49
2019-09-27,45.74
2019-10-04,46.16
2019-10-11,45.68
2019-10-18,38.85
2019-10-25,38.36
2019-11-01,37.17
2019-11-08,33.78
2019-11-15,36.54
2019-11-22,32.77
2019-11-29,33.94
2019-12-06,28.82
2019-12-13,30.39
2019-12-20,33.15
2019-12-27,34.54
2020-01-03,35.23
