date,value
2015-01-02,121.42
2015-01-09,125.82
2015-01-16,125.01
2015-01-23,126.81
2015-01-30,126.39
2015-02-06,125.62
2015-02-13,135.27
2015-02-20,141.61
2015-02-27,142.22
2015-03-06,140.73
2015-03-13,141.34
2015-03-20,144.08
2015-03-27,146.44
2015-04-03,141.81
2015-04-10,147.97
2015-04-17,142.5
2015-04-24,153.84
2015-05-01,150.82
2015-05-08,151.1
2015-05-15,154.72
2015-05-22,162.87
2015-05-29,169.49
2015-06-05,173.59
2015-06-12,175.85
2015-06-19,184.08
2015-06-26,175.26
2015-07-03,173.9
2015-07-10,180.8
2015-07-17,191.25
2015-07-24,196.88
2015-07-31,185.83
2015-08-07,175.52
2015-08-14,173.54
2015-08-21,158.99
2015-08-28,168.0
2015-09-04,162.39
2015-09-11,177.39
2015-09-18,184.98
2015-09-25,180.81
2015-10-02,175.21
2015-10-09,171.88
2015-10-16,171.78
2015-10-23,159.2
2015-10-30,161.0
2015-11-06,161.82
2015-11-13,156.64
2015-11-20,170.97
2015-11-27,185.91
2015-12-04,191.67
2015-12-11,185.03
2015-12-18,182.89
2015-12-25,178.73
2016-01-01,176.14
2016-01-08,162.74
2016-01-15,154.82
2016-01-22,148.5
2016-01-29,149.49
2016-02-05,127.51
2016-02-12,123.74
2016-02-19,127.16
2016-02-26,147.59
2016-03-04,150.97
2016-03-11,157.82
2016-03-18,155.73
2016-03-25,155.73
2016-04-01,161.12
2016-04-08,147.85
2016-04-15,140.66
2016-04-22,148.52
2016-04-29,150.87
2016-05-06,136.14
2016-05-13,130.97
2016-05-20,141.76
2016-05-27,129.86
2016-06-03,139.64
2016-06-10,131.26
2016-06-17,128.3
2016-06-24,121.78
2016-07-01,121.07
2016-07-08,125.94
2016-07-15,123.67
2016-07-22,129.49
2016-07-29,130.89
2016-08-05,131.78
2016-08-12,127.18
2016-08-19,136.74
2016-08-26,140.68
2016-09-02,145.18
2016-09-09,144.41
2016-09-16,149.1
2016-09-23,151.22
2016-09-30,159.33
2016-10-07,159.92
2016-10-14,150.49
2016-10-21,150.17
2016-10-28,151.59
2016-11-04,148.0
2016-11-11,156.01
2016-11-18,161.35
2016-11-25,141.51
2016-12-02,126.66
2016-12-09,130.07
2016-12-16,129.32
2016-12-23,127.4
2016-12-30,125.05
2017-01-06,135.05
2017-01-13,138.48
2017-01-20,142.11
2017-01-27,145.18
2017-02-03,151.02
2017-02-10,155.29
2017-02-17,154.76
2017-02-24,153.01
2017-03-03,115.55
2017-03-10,118.88
2017-03-17,115.81
2017-03-24,111.77
2017-03-31,112.68
2017-04-07,112.2
2017-04-14,112.21
2017-04-21,108.55
2017-04-28,108.41
2017-05-05,116.31
2017-05-12,116.46
2017-05-19,116.5
2017-05-26,118.08
2017-06-02,138.11
2017-06-09,134.04
2017-06-16,131.59
2017-06-23,138.41
2017-06-30,133.81
2017-07-07,136.15
2017-07-14,138.96
2017-07-21,138.72
2017-07-28,133.7
2017-08-04,130.47
2017-08-11,128.84
2017-08-18,130.27
2017-08-25,128.63
2017-09-01,146.67
2017-09-08,144.03
2017-09-15,143.45
2017-09-22,140.26
2017-09-29,144.1
2017-10-06,147.37
2017-10-13,149.91
2017-10-20,149.61
2017-10-27,146.66
2017-11-03,146.36
2017-11-10,140.35
2017-11-17,142.72
2017-11-24,150.64
2017-12-01,143.77
2017-12-08,143.89
2017-12-15,147.26
2017-12-22,146.15
2017-12-29,144.94
2018-01-05,152.97
2018-01-12,153.52
2018-01-19,157.22
2018-01-26,159.71
2018-02-02,155.18
2018-02-09,153.87
2018-02-16,162.08
2018-02-23,165.54
2018-03-02,176.77
2018-03-09,188.51
2018-03-16,187.46
2018-03-23,181.76
2018-03-30,181.52
2018-04-06,193.84
2018-04-13,187.38
2018-04-20,192.07
2018-04-27,192.47
2018-05-04,195.36
2018-05-11,202.31
2018-05-18,201.75
2018-05-25,209.29
2018-06-01,209.19
2018-06-08,199.33
2018-06-15,214.6
2018-06-22,207.59
2018-06-29,205.47
2018-07-06,211.16
2018-07-13,215.95
2018-07-20,214.06
2018-07-27,207.97
2018-08-03,206.96
2018-08-10,212.62
2018-08-17,213.09
2018-08-24,225.43
2018-08-31,231.15
2018-09-07,227.61
2018-09-14,234.62
2018-09-21,229.52
2018-09-28,225.26
2018-10-05,215.71
2018-10-12,211.95
2018-10-19,193.51
2018-10-26,185.41
2018-11-02,184.24
2018-11-09,183.09
2018-11-16,169.61
2018-11-23,166.4
2018-11-30,172.95
2018-12-07,175.09
2018-12-14,184.03
2018-12-21,173.31
2018-12-28,184.13
2019-01-04,184.39
2019-01-11,195.97
2019-01-18,203.3
2019-01-25,209.72
2019-02-01,220.27
2019-02-08,224.62
2019-02-15,226.77
2019-02-22,230.1
2019-03-01,245.47
2019-03-08,234.63
2019-03-15,239.72
2019-03-22,242.36
2019-03-29,242.88
2019-04-05,238.85
2019-04-12,244.66
2019-04-19,235.46
2019-04-26,245.84
2019-05-03,250.77
2019-05-10,234.95
2019-05-17,225.62
2019-05-24,216.26
2019-05-31,200.14
2019-06-07,195.54
2019-06-14,203.29
2019-06-21,204.49
2019-06-28,203.76
2019-07-05,209.42
2019-07-12,216.94
2019-07-19,222.26
2019-07-26,227.03
