date,value
2015-01-02,11.57
2015-01-09,11.5
2015-01-16,11.26
2015-01-23,11.3447
2015-01-30,11.3
2015-02-06,11.73
2015-02-13,11.99
2015-02-20,12.1027
2015-02-27,12.255
2015-03-06,12.435
2015-03-13,12.1594
2015-03-20,12.67
2015-03-27,12.481
2015-04-03,12.86
2015-04-10,13.3299
2015-04-17,13.1701
2015-04-24,13.3752
2015-05-01,13.3436
2015-05-08,13.4732
2015-05-15,13.74
2015-05-22,13.72
2015-05-29,13.65
2015-06-05,13.4
2015-06-12,13.312
2015-06-19,13.2415
2015-06-26,13.106
2015-07-03,12.74
2015-07-10,12.365
2015-07-17,12.4654
2015-07-24,12.05
2015-07-31,11.98
2015-08-07,11.6258
2015-08-14,11.63
2015-08-21,10.52
2015-08-28,10.8
2015-09-04,10.5199
2015-09-11,10.96
2015-09-18,11.03
2015-09-25,10.54
2015-10-02,10.86
2015-10-09,11.6
2015-10-16,11.63
2015-10-23,11.6799
2015-10-30,11.42
2015-11-06,11.58
2015-11-13,10.87
2015-11-20,11.25
2015-11-27,11.2447
2015-12-04,11.4501
2015-12-11,10.69
2015-12-18,11.27
2015-12-25,11.51
2016-01-01,11.42
2016-01-08,10.5625
2016-01-15,9.918
2016-01-22,9.99
2016-01-29,10.15
2016-02-05,9.75
2016-02-12,9.3101
2016-02-19,9.85
2016-02-26,10.03
2016-03-04,10.5
2016-03-11,10.69
2016-03-18,10.8315
2016-03-25,10.5665
2016-04-01,10.8
2016-04-08,10.63
2016-04-15,10.922
2016-04-22,11.03
2016-04-29,10.95
2016-05-06,10.618
2016-05-13,10.416
2016-05-20,10.49
2016-05-27,10.7799
2016-06-03,10.97
2016-06-10,10.6499
2016-06-17,10.4
2016-06-24,10.16
2016-07-01,10.59
2016-07-08,10.6342
2016-07-15,10.8365
2016-07-22,10.95
2016-07-29,10.98
2016-08-05,11.1101
2016-08-12,11.01
2016-08-19,11.148
2016-08-26,11.0579
2016-09-02,11.21
2016-09-09,11.21
2016-09-16,10.95
2016-09-23,11.2229
2016-09-30,11.13
2016-10-07,10.9884
2016-10-14,10.84
2016-10-21,10.85
2016-10-28,10.6141
2016-11-04,10.3338
2016-11-11,10.0952
2016-11-18,10.12
2016-11-25,10.36
2016-12-02,10.24
2016-12-09,10.4727
2016-12-16,10.31
2016-12-23,10.34
2016-12-30,10.4
2017-01-06,10.67
2017-01-13,10.63
2017-01-20,10.63
2017-01-27,10.754
2017-02-03,10.7852
2017-02-10,10.84
2017-02-17,11.03
2017-02-24,11.0419
2017-03-03,11.02
2017-03-10,10.925
2017-03-17,11.134
2017-03-24,11.0515
2017-03-31,11.18
2017-04-07,11.04
2017-04-14,11.1011
2017-04-21,11.1289
2017-04-28,11.37
2017-05-05,11.5723
2017-05-12,11.56
2017-05-19,11.5933
2017-05-26,11.7
2017-06-02,11.82
2017-06-09,11.82
2017-06-16,11.66
2017-06-23,11.89
2017-06-30,11.92
2017-07-07,11.81
2017-07-14,12.115
2017-07-21,12.1936
2017-07-28,12.26
2017-08-04,12.25
2017-08-11,12.065
2017-08-18,12.0607
2017-08-25,12.155
2017-09-01,12.2276
2017-09-08,12.36
2017-09-15,12.78
2017-09-22,12.76
2017-09-29,12.66
2017-10-06,12.8881
2017-10-13,13.06
2017-10-20,13.03
2017-10-27,12.97
2017-11-03,13.03
2017-11-10,12.9279
2017-11-17,12.92
2017-11-24,13.094
2017-12-01,12.87
2017-12-08,12.67
2017-12-15,12.9147
2017-12-22,12.92
2017-12-29,13.14
2018-01-05,13.4219
2018-01-12,13.59
2018-01-19,13.67
2018-01-26,13.65
2018-02-02,13.15
2018-02-09,12.55
2018-02-16,13.24
2018-02-23,13.29
2018-03-02,13.14
2018-03-09,13.29
2018-03-16,13.24
2018-03-23,12.85
2018-03-30,12.8848
