date,value
2015-01-02,30.4199
2015-01-09,30.8
2015-01-16,30.67
2015-01-23,31.05
2015-01-30,30.134
2015-02-06,30.65
2015-02-13,30.7
2015-02-20,31.24
2015-02-27,31.38
2015-03-06,30.92
2015-03-13,31.27
2015-03-20,31.995
2015-03-27,32.21
2015-04-03,32.7
2015-04-10,32.794
2015-04-17,32.05
2015-04-24,32.424
2015-05-01,31.74
2015-05-08,31.78
2015-05-15,32.59
2015-05-22,32.59
2015-05-29,32.32
2015-06-05,31.95
2015-06-12,32.21
2015-06-19,32.73
2015-06-26,33.04
2015-07-03,32.59
2015-07-10,33.1201
2015-07-17,33.26
2015-07-24,32.6
2015-07-31,33.63
2015-08-07,33.52
2015-08-14,33.97
2015-08-21,31.95
2015-08-28,31.95
2015-09-04,31.5699
2015-09-11,31.94
2015-09-18,32.11
2015-09-25,32.22
2015-10-02,31.94
2015-10-09,33.14
2015-10-16,33.17
2015-10-23,33.83
2015-10-30,33.6699
2015-11-06,33.1
2015-11-13,31.65
2015-11-20,32.3301
2015-11-27,33.27
2015-12-04,32.84
2015-12-11,31.99
2015-12-18,31.71
2015-12-25,32.6825
2016-01-01,32.2
2016-01-08,30.98
2016-01-15,30.26
2016-01-22,30.67
2016-01-29,31.57
2016-02-05,30.14
2016-02-12,30.47
2016-02-19,31.22
2016-02-26,31.679
2016-03-04,31.92
2016-03-11,32.24
2016-03-18,32.4
2016-03-25,31.77
2016-04-01,32.95
2016-04-08,32.75
2016-04-15,32.48
2016-04-22,31.8
2016-04-29,32.28
2016-05-06,32.8775
2016-05-13,33.12
2016-05-20,31.99
2016-05-27,32.64
2016-06-03,32.66
2016-06-10,32.91
2016-06-17,32.58
2016-06-24,32.54
2016-07-01,33.87
2016-07-08,34.51
2016-07-15,34.5
2016-07-22,34.63
2016-07-29,34.34
2016-08-05,33.99
2016-08-12,34.08
2016-08-19,33.93
2016-08-26,33.7
2016-09-02,34.1498
2016-09-09,32.67
2016-09-16,32.78
2016-09-23,32.98
2016-09-30,32.9
2016-10-07,32.34
2016-10-14,32.56
2016-10-21,32.47
2016-10-28,32.5
2016-11-04,31.87
2016-11-11,32.01
2016-11-18,32.63
2016-11-25,32.76
2016-12-02,31.92
2016-12-09,33.41
