date,value
2017-09-29,24.95
2017-10-06,24.95
2017-10-13,25.03
2017-10-20,25.01
2017-10-27,24.93
2017-11-03,25.01
2017-11-10,25.01
2017-11-17,25.01
2017-11-24,25.01
2017-12-01,24.95
2017-12-08,24.95
2017-12-15,24.95
2017-12-22,24.903
2017-12-29,24.903
2018-01-05,24.903
2018-01-12,24.903
2018-01-19,24.903
2018-01-26,24.7
2018-02-02,24.64
2018-02-09,24.54
2018-02-16,24.41
2018-02-23,24.41
2018-03-02,24.37
2018-03-09,24.37
2018-03-16,24.42
2018-03-23,24.32
2018-03-30,24.405
2018-04-06,24.43
2018-04-13,24.4
2018-04-20,24.3
2018-04-27,24.13
2018-05-04,24.18
2018-05-11,24.13
2018-05-18,24.06
2018-05-25,24.006
2018-06-01,24.006
2018-06-08,24.14
2018-06-15,24.14
2018-06-22,24.06
2018-06-29,24.18
2018-07-06,24.18
2018-07-13,24.3
2018-07-20,24.32
2018-07-27,24.22
2018-08-03,24.137
2018-08-10,24.24
2018-08-17,24.24
2018-08-24,24.18
2018-08-31,24.18
2018-09-07,24.18
2018-09-14,24.21
2018-09-21,24.02
2018-09-28,24.047
2018-10-05,23.75
2018-10-12,23.818
2018-10-19,23.9
2018-10-26,23.813
2018-11-02,23.81
2018-11-09,23.71
2018-11-16,23.71
2018-11-23,23.6518
2018-11-30,23.652
2018-12-07,23.652
2018-12-14,24.035
2018-12-21,24.08
2018-12-28,24.165
2019-01-04,24.265
2019-01-11,24.275
2019-01-18,24.235
2019-01-25,24.245
2019-02-01,24.38
2019-02-08,24.455
2019-02-15,24.435
2019-02-22,24.4084
2019-03-01,24.31
2019-03-08,24.445
2019-03-15,24.52
2019-03-22,24.675
2019-03-29,24.76
2019-04-05,24.685
2019-04-12,24.665
2019-04-19,24.66
2019-04-26,24.705
2019-05-03,24.69
2019-05-10,24.765
2019-05-17,24.85
2019-05-24,24.855
2019-05-31,25.09
2019-06-07,25.2
2019-06-14,25.205
2019-06-21,25.325
2019-06-28,25.42
2019-07-05,25.35
2019-07-12,25.28
2019-07-19,25.405
2019-07-26,25.315
2019-08-02,25.555
2019-08-09,25.695
2019-08-16,25.935
2019-08-23,25.919
2019-08-30,25.965
2019-09-06,25.936
2019-09-13,25.503
2019-09-20,25.748
2019-09-27,25.745
2019-10-04,25.98
2019-10-11,25.711
2019-10-18,25.755
2019-10-25,25.665
2019-11-01,25.77
2019-11-08,25.505
2019-11-15,25.665
2019-11-22,25.685
2019-11-29,25.7
2019-12-06,25.66
2019-12-13,25.73
2019-12-20,25.655
2019-12-27,25.675
2020-01-03,25.775
