date,value
2017-09-22,25.18
2017-09-29,25.53
2017-10-06,25.93
2017-10-13,25.94
2017-10-20,25.94
2017-10-27,26.1
2017-11-03,25.96
2017-11-10,25.96
2017-11-17,25.65
2017-11-24,25.65
2017-12-01,25.65
2017-12-08,25.65
2017-12-15,26.59
2017-12-22,26.461
2017-12-29,26.461
2018-01-05,27.22
2018-01-12,27.64
2018-01-19,27.655
2018-01-26,27.655
2018-02-02,27.655
2018-02-09,25.615
2018-02-16,25.615
2018-02-23,26.8647
2018-03-02,26.9
2018-03-09,27.11
2018-03-16,27.11
2018-03-23,27.0682
2018-03-30,27.0682
2018-04-06,24.8
2018-04-13,24.8
2018-04-20,24.8
2018-04-27,26.9
2018-05-04,26.9
2018-05-11,26.9
2018-05-18,27.92
2018-05-25,27.92
2018-06-01,27.92
2018-06-08,28.9
2018-06-15,29.0389
2018-06-22,29.31
2018-06-29,29.84
2018-07-06,28.735
2018-07-13,29.2017
2018-07-20,29.43
2018-07-27,29.249
2018-08-03,29.07
2018-08-10,29.07
2018-08-17,29.07
2018-08-24,28.2
2018-08-31,30.169
2018-09-07,30.0
2018-09-14,30.0
2018-09-21,29.807
2018-09-28,29.5
2018-10-05,29.5
2018-10-12,27.27
2018-10-19,27.75
2018-10-26,27.07
2018-11-02,26.71
2018-11-09,26.71
2018-11-16,26.71
2018-11-23,26.71
2018-11-30,26.71
2018-12-07,25.6318
2018-12-14,25.124
2018-12-21,23.0502
2018-12-28,22.6788
2019-01-04,23.3388
2019-01-11,24.51
2019-01-18,25.1889
2019-01-25,25.258
2019-02-01,25.6657
2019-02-08,25.7637
2019-02-15,26.7539
2019-02-22,27.0745
2019-03-01,27.1054
2019-03-08,26.085
2019-03-15,26.6156
2019-03-22,26.2575
2019-03-29,26.5999
2019-04-05,27.2399
2019-04-12,27.455
2019-04-19,27.122
2019-04-26,27.537
2019-05-03,27.72
2019-05-10,27.0177
2019-05-17,26.5509
2019-05-24,26.2193
2019-05-31,25.4074
2019-06-07,26.3366
2019-06-14,26.4362
2019-06-21,26.9198
2019-06-28,27.0269
2019-07-05,27.3173
2019-07-12,27.3353
2019-07-19,26.9907
2019-07-26,27.5666
2019-08-02,26.6489
2019-08-09,26.425
2019-08-16,26.1026
2019-08-23,25.5825
2019-08-30,26.2089
2019-09-06,26.4448
2019-09-13,27.1998
2019-09-20,27.0365
2019-09-27,26.463
2019-10-04,26.2139
2019-10-11,26.4068
2019-10-18,26.6936
2019-10-25,27.0154
2019-11-01,27.403
2019-11-08,27.645
2019-11-15,27.7152
2019-11-22,27.585
2019-11-29,28.1219
2019-12-06,28.195
2019-12-13,28.2186
2019-12-20,28.8739
2019-12-27,28.6903
2020-01-03,28.639
