date,value
2017-09-22,24.97
2017-09-29,24.98
2017-10-06,24.98
2017-10-13,24.98
2017-10-20,24.98
2017-10-27,24.98
2017-11-03,24.98
2017-11-10,24.98
2017-11-17,24.98
2017-11-24,24.98
2017-12-01,24.98
2017-12-08,24.98
2017-12-15,24.98
2017-12-22,24.7995
2017-12-29,24.7995
2018-01-05,24.7995
2018-01-12,24.7995
2018-01-19,24.8
2018-01-26,24.7995
2018-02-02,24.7
2018-02-09,24.7
2018-02-16,24.7399
2018-02-23,24.75
2018-03-02,24.8
2018-03-09,24.8
2018-03-16,24.8
2018-03-23,24.8
2018-03-30,24.88
2018-04-06,24.88
2018-04-13,24.88
2018-04-20,24.88
2018-04-27,24.88
2018-05-04,24.88
2018-05-11,24.8899
2018-05-18,24.88
2018-05-25,24.88
2018-06-01,24.89
2018-06-08,24.82
2018-06-15,24.82
2018-06-22,24.58
2018-06-29,24.58
2018-07-06,24.73
2018-07-13,24.73
2018-07-20,24.73
2018-07-27,24.61
2018-08-03,24.642
2018-08-10,24.69
2018-08-17,24.74
2018-08-24,24.8
2018-08-31,24.8
2018-09-07,24.78
2018-09-14,24.71
2018-09-21,24.71
2018-09-28,24.51
2018-10-05,24.51
2018-10-12,24.489
2018-10-19,24.48
2018-10-26,24.48
2018-11-02,24.36
2018-11-09,24.4
2018-11-16,24.48
2018-11-23,24.41
2018-11-30,24.44
2018-12-07,24.435
2018-12-14,24.385
2018-12-21,24.38
2018-12-28,24.345
2019-01-04,24.425
2019-01-11,24.49
2019-01-18,24.445
2019-01-25,24.44
2019-02-01,24.5694
2019-02-08,24.56
2019-02-15,24.585
2019-02-22,24.635
2019-03-01,24.61
2019-03-08,24.65
2019-03-15,24.715
2019-03-22,24.785
2019-03-29,24.78
2019-04-05,24.78
2019-04-12,24.805
2019-04-19,24.815
2019-04-26,24.89
2019-05-03,24.845
2019-05-10,24.86
2019-05-17,24.945
2019-05-24,24.925
2019-05-31,25.035
2019-06-07,25.125
2019-06-14,25.07
2019-06-21,25.17
2019-06-28,24.9
2019-07-05,24.86
2019-07-12,24.93
2019-07-19,24.9681
2019-07-26,24.895
2019-08-02,24.92
2019-08-09,24.985
2019-08-16,24.99
2019-08-23,24.995
2019-08-30,25.004
2019-09-06,25.005
2019-09-13,24.9
2019-09-20,24.9552
2019-09-27,24.845
2019-10-04,24.9102
2019-10-11,24.8452
2019-10-18,24.895
2019-10-25,24.92
2019-11-01,24.9152
2019-11-08,24.9002
2019-11-15,24.92
2019-11-22,24.94
2019-11-29,24.93
2019-12-06,24.995
2019-12-13,25.025
2019-12-20,25.0648
2019-12-27,24.96
2020-01-03,25.065
