date,value
2015-01-02,68.15
2015-01-09,65.23
2015-01-16,64.5
2015-01-23,64.55
2015-01-30,60.11
2015-02-06,62.75
2015-02-13,64.225
2015-02-20,64.59
2015-02-27,64.05
2015-03-06,61.655
2015-03-13,61.73
2015-03-20,63.61
2015-03-27,62.17
2015-04-03,61.2
2015-04-10,63.235
2015-04-17,62.77
2015-04-24,66.14
2015-05-01,65.57
2015-05-08,66.49
2015-05-15,66.45
2015-05-22,65.765
2015-05-29,63.56
2015-06-05,63.53
2015-06-12,65.01
2015-06-19,64.75
2015-06-26,64.82
2015-07-03,64.69
2015-07-10,63.39
2015-07-17,64.48
2015-07-24,64.9
2015-07-31,64.84
2015-08-07,62.95
2015-08-14,62.92
2015-08-21,58.44
2015-08-28,59.45
2015-09-04,56.84
2015-09-11,57.47
2015-09-18,56.31
2015-09-25,53.16
2015-10-02,52.06
2015-10-09,55.28
2015-10-16,52.53
2015-10-23,54.85
2015-10-30,52.65
2015-11-06,53.95
2015-11-13,50.01
2015-11-20,51.44
2015-11-27,51.84
2015-12-04,49.78
2015-12-11,47.25
2015-12-18,45.16
2015-12-25,48.45
2016-01-01,47.4
2016-01-08,45.23
2016-01-15,45.31
2016-01-22,46.53
2016-01-29,49.07
2016-02-05,50.11
2016-02-12,50.0
2016-02-19,50.9
2016-02-26,51.95
2016-03-04,53.42
2016-03-11,52.73
2016-03-18,55.18
2016-03-25,53.45
2016-04-01,54.21
2016-04-08,52.65
2016-04-15,55.78
2016-04-22,56.49
2016-04-29,58.91
2016-05-06,55.54
2016-05-13,56.02
2016-05-20,53.39
2016-05-27,55.63
2016-06-03,54.9
2016-06-10,54.89
2016-06-17,54.37
2016-06-24,51.97
2016-07-01,51.84
2016-07-08,52.12
2016-07-15,53.81
2016-07-22,55.0
2016-07-29,58.97
2016-08-05,57.96
2016-08-12,57.71
2016-08-19,59.92
2016-08-26,59.85
2016-09-02,59.21
2016-09-09,56.11
2016-09-16,56.57
2016-09-23,57.93
2016-09-30,58.78
2016-10-07,59.03
2016-10-14,56.82
2016-10-21,56.49
2016-10-28,55.39
