date,value
2015-01-02,23.63
2015-01-09,23.7016
2015-01-16,23.49
2015-01-23,23.74
2015-01-30,23.59
2015-02-06,23.82
2015-02-13,23.82
2015-02-20,23.822
2015-02-27,24.06
2015-03-06,23.97
2015-03-13,23.65
2015-03-20,23.78
2015-03-27,23.8
2015-04-03,23.87
2015-04-10,24.09
2015-04-17,23.95
2015-04-24,24.13
2015-05-01,24.1
2015-05-08,23.98
2015-05-15,23.83
2015-05-22,23.7801
2015-05-29,23.77
2015-06-05,23.49
2015-06-12,23.35
2015-06-19,23.2
2015-06-26,22.89
2015-07-03,22.88
2015-07-10,22.89
2015-07-17,22.85
2015-07-24,22.42
2015-07-31,22.58
2015-08-07,22.42
2015-08-14,22.27
2015-08-21,21.67
2015-08-28,21.67
2015-09-04,21.57
2015-09-11,21.63
2015-09-18,21.58
2015-09-25,21.35
2015-10-02,21.04
2015-10-09,21.842
2015-10-16,21.76
2015-10-23,21.97
2015-10-30,21.84
2015-11-06,21.89
2015-11-13,21.3
2015-11-20,21.39
2015-11-27,21.45
2015-12-04,21.45
2015-12-11,20.77
2015-12-18,21.07
2015-12-25,21.41
2016-01-01,21.34
2016-01-08,21.0
2016-01-15,20.01
2016-01-22,20.07
2016-01-29,20.59
2016-02-05,20.37
2016-02-12,19.7
2016-02-19,20.09
2016-02-26,20.38
2016-03-04,21.01
2016-03-11,21.3
2016-03-18,21.39
2016-03-25,21.23
2016-04-01,21.59
2016-04-08,21.43
2016-04-15,21.55
2016-04-22,21.8
2016-04-29,21.85
2016-05-06,21.75
2016-05-13,21.65
2016-05-20,21.64
2016-05-27,21.97
2016-06-03,22.08
2016-06-10,22.3
2016-06-17,21.95
2016-06-24,22.0
2016-07-01,22.26
2016-07-08,22.48
2016-07-15,22.38
2016-07-22,22.64
2016-07-29,22.8
2016-08-05,22.74
2016-08-12,22.95
2016-08-19,22.89
2016-08-26,22.94
2016-09-02,22.97
2016-09-09,22.7399
2016-09-16,22.4004
2016-09-23,22.7
2016-09-30,22.81
2016-10-07,22.59
2016-10-14,22.26
2016-10-21,22.36
2016-10-28,22.23
2016-11-04,21.72
2016-11-11,21.62
2016-11-18,21.73
2016-11-25,22.12
2016-12-02,21.95
2016-12-09,22.27
2016-12-16,22.15
2016-12-23,22.25
2016-12-30,22.41
2017-01-06,22.7
2017-01-13,22.66
