date,value
2015-01-02,28.05
2015-01-09,28.29
2015-01-16,28.37
2015-01-23,28.66
2015-01-30,28.78
2015-02-06,28.64
2015-02-13,28.51
2015-02-20,28.3
2015-02-27,28.58
2015-03-06,28.13
2015-03-13,27.85
2015-03-20,28.3
2015-03-27,28.41
2015-04-03,28.68
2015-04-10,28.91
2015-04-17,28.67
2015-04-24,29.02
2015-05-01,28.7
2015-05-08,28.75
2015-05-15,28.57
2015-05-22,28.55
2015-05-29,28.42
2015-06-05,27.97
2015-06-12,27.73
2015-06-19,27.88
2015-06-26,27.71
2015-07-03,27.92
2015-07-10,27.95
2015-07-17,27.79
2015-07-24,27.55
2015-07-31,27.89
2015-08-07,27.58
2015-08-14,27.48
2015-08-21,27.12
2015-08-28,27.63
2015-09-04,27.69
2015-09-11,27.715
2015-09-18,28.04
2015-09-25,27.42
2015-10-02,27.73
2015-10-09,28.15
2015-10-16,28.26
2015-10-23,28.21
2015-10-30,28.03
2015-11-06,27.94
2015-11-13,27.77
2015-11-20,28.07
2015-11-27,27.96
2015-12-04,27.72
2015-12-11,27.28
2015-12-18,27.24
2015-12-25,27.36
2016-01-01,27.31
2016-01-08,27.15
2016-01-15,26.68
2016-01-22,26.94
2016-01-29,27.17
2016-02-05,27.15
2016-02-12,26.88
2016-02-19,27.21
2016-02-26,27.4
2016-03-04,27.88
2016-03-11,28.01
2016-03-18,28.22
2016-03-25,28.09
2016-04-01,28.41
2016-04-08,28.33
2016-04-15,28.54
2016-04-22,28.62
2016-04-29,28.61
2016-05-06,28.53
2016-05-13,28.6
2016-05-20,28.31
2016-05-27,28.39
2016-06-03,28.77
2016-06-10,28.97
2016-06-17,28.65
2016-06-24,28.74
2016-07-01,29.55
2016-07-08,30.1
2016-07-15,30.06
2016-07-22,30.09
2016-07-29,30.1592
2016-08-05,30.1692
2016-08-12,30.62
2016-08-19,30.63
2016-08-26,30.51
2016-09-02,30.54
2016-09-09,30.42
2016-09-16,29.9
2016-09-23,30.6
2016-09-30,30.63
2016-10-07,30.39
2016-10-14,29.92
2016-10-21,30.14
2016-10-28,29.66
2016-11-04,29.64
2016-11-11,28.07
2016-11-18,27.94
2016-11-25,27.99
2016-12-02,27.79
2016-12-09,28.12
2016-12-16,27.95
2016-12-23,28.19
2016-12-30,28.26
2017-01-06,28.78
2017-01-13,28.72
2017-01-20,28.61
2017-01-27,28.62
2017-02-03,28.88
2017-02-10,29.03
2017-02-17,28.81
2017-02-24,29.08
2017-03-03,29.01
2017-03-10,28.63
2017-03-17,28.84
2017-03-24,29.13
2017-03-31,29.06
2017-04-07,29.16
2017-04-14,29.16
2017-04-21,29.35
2017-04-28,29.48
2017-05-05,29.38
2017-05-12,29.5
2017-05-19,29.38
2017-05-26,29.55
2017-06-02,29.8
2017-06-09,29.7
2017-06-16,29.65
2017-06-23,29.57
2017-06-30,29.27
2017-07-07,28.94
2017-07-14,29.24
2017-07-21,29.52
2017-07-28,29.42
2017-08-04,29.56
2017-08-11,29.48
2017-08-18,29.52
2017-08-25,29.76
2017-09-01,29.95
2017-09-08,30.13
2017-09-15,30.08
2017-09-22,29.79
2017-09-29,29.77
2017-10-06,29.74
2017-10-13,29.88
2017-10-20,29.76
2017-10-27,29.51
2017-11-03,29.48
2017-11-10,29.19
2017-11-17,29.39
2017-11-24,29.38
2017-12-01,29.36
2017-12-08,29.39
2017-12-15,29.51
2017-12-22,29.43
2017-12-29,29.54
2018-01-05,29.67
2018-01-12,29.53
2018-01-19,29.34
2018-01-26,29.38
2018-02-02,28.93
2018-02-09,28.29
2018-02-16,28.47
2018-02-23,28.26
2018-03-02,28.18
2018-03-09,28.22
2018-03-16,28.21
2018-03-23,27.79
2018-03-30,28.19
2018-04-06,28.24
2018-04-13,28.19
2018-04-20,27.79
2018-04-27,27.56
2018-05-04,27.17
2018-05-11,27.31
2018-05-18,26.93
2018-05-25,27.24
2018-06-01,26.92
2018-06-08,26.83
2018-06-15,26.61
2018-06-22,26.61
2018-06-29,26.52
2018-07-06,27.1
2018-07-13,27.3
2018-07-20,27.25
2018-07-27,27.41
2018-08-03,27.2
2018-08-10,26.74
2018-08-17,26.93
2018-08-24,26.97
2018-08-31,26.63
2018-09-07,26.61
2018-09-14,26.83
2018-09-21,26.97
2018-09-28,26.98
2018-10-05,26.6
2018-10-12,26.54
2018-10-19,26.4
2018-10-26,26.33
2018-11-02,26.23
2018-11-09,26.26
2018-11-16,26.1
2018-11-23,25.71
2018-11-30,25.96
2018-12-07,26.24
2018-12-14,26.33
2018-12-21,26.32
2018-12-28,26.34
2019-01-04,26.77
2019-01-11,26.79
2019-01-18,27.05
2019-01-25,27.15
2019-02-01,27.51
2019-02-08,27.36
2019-02-15,27.52
2019-02-22,27.55
2019-03-01,27.57
2019-03-08,27.48
2019-03-15,27.76
2019-03-22,27.82
2019-03-29,28.0
2019-04-05,28.23
2019-04-12,27.91
2019-04-19,28.0
2019-04-26,27.86
2019-05-03,28.05
2019-05-10,27.87
2019-05-17,27.8
2019-05-24,27.76
2019-05-31,27.82
2019-06-07,28.49
2019-06-14,28.43
2019-06-21,28.99
2019-06-28,29.04
2019-07-05,29.31
2019-07-12,29.18
2019-07-19,29.34
2019-07-26,29.42
2019-08-02,29.37
2019-08-09,29.57
2019-08-16,29.48
2019-08-23,29.36
2019-08-30,29.64
2019-09-06,29.9
2019-09-13,29.08
2019-09-20,29.56
2019-09-27,29.11
2019-10-04,29.39
2019-10-11,29.17
2019-10-18,29.23
2019-10-25,29.18
2019-11-01,29.31
