date,value
2015-01-02,21.16
2015-01-09,20.44
2015-01-16,20.344
2015-01-23,20.08
2015-01-30,20.24
2015-02-06,20.86
2015-02-13,20.92
2015-02-20,20.85
2015-02-27,21.04
2015-03-06,20.37
2015-03-13,19.65
2015-03-20,19.93
2015-03-27,20.1258
2015-04-03,20.03
2015-04-10,20.153
2015-04-17,20.78
2015-04-24,20.83
2015-05-01,21.16
2015-05-08,21.1041
2015-05-15,21.32
2015-05-22,20.88
2015-05-29,20.38
2015-06-05,20.08
2015-06-12,20.87
2015-06-19,20.48
2015-06-26,20.388
2015-07-03,20.446
2015-07-10,19.91
2015-07-17,19.2001
2015-07-24,18.99
2015-07-31,18.4599
2015-08-07,17.87
2015-08-14,17.82
2015-08-21,17.1671
2015-08-28,17.8
2015-09-04,17.62
2015-09-11,17.36
2015-09-18,17.55
2015-09-25,17.55
2015-10-02,17.33
2015-10-09,18.09
2015-10-16,17.87
2015-10-23,17.466
2015-10-30,17.65
2015-11-06,17.3324
2015-11-13,16.6273
2015-11-20,16.53
2015-11-27,16.599
2015-12-04,16.47
2015-12-11,15.7674
2015-12-18,15.42
2015-12-25,15.61
2016-01-01,15.61
2016-01-08,14.92
2016-01-15,14.02
2016-01-22,14.44
2016-01-29,14.83
2016-02-05,14.58
2016-02-12,14.52
2016-02-19,14.48
2016-02-26,14.6
2016-03-04,15.25
2016-03-11,15.63
2016-03-18,15.74
2016-03-25,15.5
2016-04-01,15.17
2016-04-08,15.39
2016-04-15,15.76
2016-04-22,16.33
2016-04-29,16.95
2016-05-06,16.42
2016-05-13,16.82
2016-05-20,17.01
2016-05-27,17.2
2016-06-03,17.43
2016-06-10,17.85
2016-06-17,17.76
2016-06-24,17.46
2016-07-01,18.08
2016-07-08,17.3299
2016-07-15,17.33
2016-07-22,16.93
2016-07-29,16.61
2016-08-05,16.67
2016-08-12,16.96
2016-08-19,17.55
2016-08-26,17.3
2016-09-02,16.77
2016-09-09,17.0299
2016-09-16,16.7999
2016-09-23,16.96
2016-09-30,17.44
2016-10-07,17.65
2016-10-14,17.78
2016-10-21,17.84
2016-10-28,17.67
2016-11-04,17.11
2016-11-11,16.79
2016-11-18,17.06
2016-11-25,17.45
2016-12-02,18.12
2016-12-09,18.15
2016-12-16,17.08
2016-12-23,16.94
2016-12-30,17.28
2017-01-06,17.26
2017-01-13,17.35
2017-01-20,17.315
2017-01-27,17.2
2017-02-03,17.3599
2017-02-10,17.515
2017-02-17,17.21
2017-02-24,17.18
2017-03-03,17.06
2017-03-10,16.29
2017-03-17,16.36
2017-03-24,16.31
2017-03-31,16.63
2017-04-07,16.85
2017-04-14,17.03
2017-04-21,16.37
2017-04-28,16.21
2017-05-05,15.8
2017-05-12,15.99
2017-05-19,16.48
2017-05-26,16.28
2017-06-02,15.78
2017-06-09,15.63
2017-06-16,15.425
2017-06-23,15.08
2017-06-30,15.78
2017-07-07,15.54
2017-07-14,15.86
2017-07-21,15.8
2017-07-28,16.33
2017-08-04,16.23
2017-08-11,16.2299
2017-08-18,16.26
2017-08-25,16.18
2017-09-01,16.53
2017-09-08,16.51
2017-09-15,16.82
2017-09-22,16.85
2017-09-29,16.85
2017-10-06,16.63
2017-10-13,17.02
2017-10-20,17.05
2017-10-27,17.39
2017-11-03,17.67
2017-11-10,17.95
2017-11-17,17.8
2017-11-24,17.92
2017-12-01,17.8
2017-12-08,17.37
2017-12-15,17.265
2017-12-22,16.985
2017-12-29,17.45
