date,value
2018-07-27,24.6
2018-08-03,19.07
2018-08-10,19.51
2018-08-17,19.0
2018-08-24,17.22
2018-08-31,19.35
2018-09-07,19.57
2018-09-14,26.34
2018-09-21,25.6
2018-09-28,26.29
2018-10-05,21.78
2018-10-12,21.62
2018-10-19,18.68
2018-10-26,18.2
2018-11-02,20.37
2018-11-09,18.31
2018-11-16,20.83
2018-11-23,22.5
2018-11-30,22.96
2018-12-07,20.61
2018-12-14,23.1
2018-12-21,21.13
2018-12-28,22.06
2019-01-04,22.69
2019-01-11,26.16
2019-01-18,24.99
2019-01-25,29.5
2019-02-01,28.96
2019-02-08,25.95
2019-02-15,27.52
2019-02-22,29.38
2019-03-01,29.99
2019-03-08,28.46
2019-03-15,24.52
2019-03-22,23.5
2019-03-29,24.8
2019-04-05,21.6
2019-04-12,21.69
2019-04-19,23.55
2019-04-26,21.92
2019-05-03,23.96
2019-05-10,22.4
2019-05-17,22.7
2019-05-24,20.28
2019-05-31,19.42
2019-06-07,19.78
2019-06-14,20.51
2019-06-21,21.05
2019-06-28,20.63
2019-07-05,20.29
2019-07-12,19.14
2019-07-19,20.05
2019-07-26,21.61
2019-08-02,22.99
2019-08-09,22.6
2019-08-16,25.01
2019-08-23,29.49
2019-08-30,32.77
2019-09-06,34.98
2019-09-13,35.9
2019-09-20,34.08
2019-09-27,31.28
2019-10-04,33.35
2019-10-11,32.86
2019-10-18,33.38
2019-10-25,40.84
2019-11-01,41.49
2019-11-08,43.23
2019-11-15,42.76
2019-11-22,33.99
2019-11-29,35.95
2019-12-06,37.52
2019-12-13,36.46
2019-12-20,37.36
2019-12-27,39.24
2020-01-03,40.89
