date,value
2015-01-02,35.49
2015-01-09,36.02
2015-01-16,36.12
2015-01-23,36.36
2015-01-30,35.53
2015-02-06,35.95
2015-02-13,36.97
2015-02-20,38.03
2015-02-27,37.91
2015-03-06,37.39
2015-03-13,38.12
2015-03-20,39.25
2015-03-27,38.26
2015-04-03,37.6
2015-04-10,37.588
2015-04-17,37.08
2015-04-24,38.2574
2015-05-01,37.03
2015-05-08,37.42
2015-05-15,37.46
2015-05-22,36.652
2015-05-29,36.5999
2015-06-05,36.77
2015-06-12,36.5
2015-06-19,37.13
2015-06-26,37.32
2015-07-03,36.4499
2015-07-10,37.3334
2015-07-17,37.92
2015-07-24,37.21
2015-07-31,37.7825
2015-08-07,37.2583
2015-08-14,37.5699
2015-08-21,35.59
2015-08-28,35.7775
2015-09-04,36.03
2015-09-11,36.98
2015-09-18,37.13
2015-09-25,36.41
2015-10-02,36.08
2015-10-09,37.1999
2015-10-16,37.42
2015-10-23,38.5599
2015-10-30,38.4612
2015-11-06,38.835
2015-11-13,37.17
2015-11-20,37.89
2015-11-27,37.77
2015-12-04,38.02
2015-12-11,36.61
2015-12-18,36.33
2015-12-25,37.25
2016-01-01,36.76
2016-01-08,34.05
2016-01-15,32.78
2016-01-22,33.48
2016-01-29,33.3
2016-02-05,31.2
2016-02-12,31.91
2016-02-19,33.85
2016-02-26,34.95
2016-03-04,35.5599
2016-03-11,35.78
2016-03-18,36.38
2016-03-25,35.83
2016-04-01,36.97
2016-04-08,36.89
2016-04-15,37.68
2016-04-22,36.58
2016-04-29,35.67
2016-05-06,35.39
2016-05-13,35.03
2016-05-20,34.78
2016-05-27,35.22
2016-06-03,34.99
2016-06-10,35.17
2016-06-17,33.87
2016-06-24,32.93
2016-07-01,33.7761
2016-07-08,34.33
2016-07-15,35.6399
2016-07-22,35.69
2016-07-29,35.22
2016-08-05,35.01
2016-08-12,35.17
2016-08-19,35.11
2016-08-26,34.88
2016-09-02,35.24
2016-09-09,34.825
2016-09-16,34.71
2016-09-23,35.76
2016-09-30,35.57
2016-10-07,35.6798
2016-10-14,35.93
2016-10-21,36.79
2016-10-28,36.1198
2016-11-04,35.89
2016-11-11,38.13
2016-11-18,39.61
2016-11-25,40.34
2016-12-02,39.5
2016-12-09,41.13
2016-12-16,40.51
2016-12-23,40.69
2016-12-30,40.02
2017-01-06,40.46
2017-01-13,40.7155
2017-01-20,40.78
2017-01-27,40.93
2017-02-03,40.47
2017-02-10,41.16
2017-02-17,41.08
2017-02-24,41.14
2017-03-03,40.97
2017-03-10,40.49
2017-03-17,40.5
2017-03-24,40.37
2017-03-31,41.22
2017-04-07,40.73
2017-04-14,40.06
2017-04-21,41.04
2017-04-28,42.02
2017-05-05,41.91
2017-05-12,41.28
2017-05-19,41.12
2017-05-26,42.0499
2017-06-02,42.7797
2017-06-09,42.15
2017-06-16,41.84
2017-06-23,41.94
2017-06-30,41.5
2017-07-07,41.61
2017-07-14,41.7324
2017-07-21,41.75
2017-07-28,40.92
2017-08-04,41.14
2017-08-11,40.4399
2017-08-18,39.915
2017-08-25,39.92
2017-09-01,40.51
2017-09-08,39.72
2017-09-15,40.45
2017-09-22,40.8
2017-09-29,41.31
2017-10-06,42.2164
2017-10-13,42.0901
2017-10-20,42.13
2017-10-27,41.6207
2017-11-03,41.81
2017-11-10,41.72
2017-11-17,42.29
2017-11-24,42.7243
2017-12-01,43.3198
2017-12-08,43.59
2017-12-15,43.6401
2017-12-22,44.2213
2017-12-29,44.19
2018-01-05,44.0338
2018-01-12,45.29
2018-01-19,45.9898
2018-01-26,46.447
2018-02-02,45.51
2018-02-09,43.76
2018-02-16,45.34
2018-02-23,45.265
2018-03-02,44.3801
2018-03-09,46.55
2018-03-16,46.27
2018-03-23,43.68
2018-03-30,44.53
2018-04-06,43.7155
2018-04-13,44.0349
2018-04-20,45.54
2018-04-27,45.0509
2018-05-04,45.15
