date,value
2015-01-02,94.44
2015-01-09,96.82
2015-01-16,97.29
2015-01-23,98.53
2015-01-30,93.78
2015-02-06,96.71
2015-02-13,99.13
2015-02-20,99.06
2015-02-27,98.98
2015-03-06,96.17
2015-03-13,94.32
2015-03-20,95.34
2015-03-27,95.95
2015-04-03,95.69
2015-04-10,96.2
2015-04-17,95.81
2015-04-24,95.17
2015-05-01,95.56
2015-05-08,96.55
2015-05-15,98.22
2015-05-22,96.26
2015-05-29,96.43
2015-06-05,93.05
2015-06-12,93.74
2015-06-19,94.86
2015-06-26,94.91
2015-07-03,94.66
2015-07-10,95.55
2015-07-17,96.78
2015-07-24,96.18
2015-07-31,96.35
2015-08-07,99.1
2015-08-14,99.23
2015-08-21,96.25
2015-08-28,93.53
2015-09-04,90.92
2015-09-11,91.62
2015-09-18,93.05
2015-09-25,93.47
2015-10-02,94.16
2015-10-09,99.47
2015-10-16,99.7
2015-10-23,102.43
2015-10-30,102.19
2015-11-06,99.72
2015-11-13,98.04
2015-11-20,100.1
2015-11-27,100.74
2015-12-04,101.06
2015-12-11,97.78
2015-12-18,97.9
2015-12-25,100.54
2016-01-01,99.92
2016-01-08,97.21
2016-01-15,93.93
2016-01-22,95.85
2016-01-29,99.3
2016-02-05,97.32
2016-02-12,98.49
2016-02-19,99.58
2016-02-26,98.36
2016-03-04,100.0
2016-03-11,101.31
2016-03-18,101.29
2016-03-25,100.68
2016-04-01,103.78
2016-04-08,105.08
2016-04-15,103.77
2016-04-22,101.98
2016-04-29,102.96
2016-05-06,104.96
2016-05-13,104.18
2016-05-20,100.1
2016-05-27,101.96
2016-06-03,102.53
2016-06-10,103.31
2016-06-17,103.41
2016-06-24,101.98
2016-07-01,105.63
2016-07-08,108.27
2016-07-15,109.66
2016-07-22,109.19
2016-07-29,108.92
2016-08-05,108.66
2016-08-12,108.59
2016-08-19,108.17
2016-08-26,107.45
2016-09-02,107.87
2016-09-09,104.05
2016-09-16,105.28
2016-09-23,107.34
2016-09-30,108.77
2016-10-07,105.99
2016-10-14,106.83
2016-10-21,105.62
2016-10-28,107.07
2016-11-04,105.81
2016-11-11,103.19
2016-11-18,101.31
2016-11-25,102.17
2016-12-02,100.6
2016-12-09,103.57
2016-12-16,105.87
2016-12-23,105.09
2016-12-30,104.63
2017-01-06,104.56
2017-01-13,101.55
2017-01-20,103.24
2017-01-27,103.48
2017-02-03,105.11
2017-02-10,106.1
2017-02-17,108.15
2017-02-24,109.83
2017-03-03,110.56
2017-03-10,109.59
2017-03-17,111.39
2017-03-24,112.12
2017-03-31,111.86
2017-04-07,111.61
2017-04-14,112.68
2017-04-21,113.43
2017-04-28,113.28
2017-05-05,113.22
2017-05-12,112.91
2017-05-19,113.69
2017-05-26,117.91
2017-06-02,117.67
2017-06-09,115.94
2017-06-16,116.86
2017-06-23,116.96
2017-06-30,115.49
2017-07-07,115.51
2017-07-14,114.93
2017-07-21,116.63
2017-07-28,116.61
2017-08-04,116.37
2017-08-11,116.51
2017-08-18,117.6
2017-08-25,115.85
2017-09-01,115.84
2017-09-08,115.04
2017-09-15,114.85
2017-09-22,111.85
2017-09-29,111.43
2017-10-06,110.4
2017-10-13,112.62
2017-10-20,111.61
2017-10-27,110.6
2017-11-03,110.22
2017-11-10,112.75
2017-11-17,114.68
2017-11-24,115.9
2017-12-01,116.78
2017-12-08,116.57
2017-12-15,119.22
2017-12-22,118.6
2017-12-29,119.92
2018-01-05,118.67
2018-01-12,117.38
2018-01-19,120.17
2018-01-26,121.76
2018-02-02,118.67
2018-02-09,111.18
2018-02-16,111.06
2018-02-23,109.68
2018-03-02,109.04
2018-03-09,112.54
2018-03-16,111.64
2018-03-23,106.15
2018-03-30,109.15
2018-04-06,109.3
2018-04-13,109.26
2018-04-20,102.48
2018-04-27,101.71
2018-05-04,98.99
2018-05-11,97.43
2018-05-18,97.51
2018-05-25,100.31
2018-06-01,100.25
2018-06-08,102.49
2018-06-15,107.61
2018-06-22,108.37
2018-06-29,108.87
2018-07-06,109.56
2018-07-13,112.69
2018-07-20,116.01
2018-07-27,114.28
2018-08-03,116.3
2018-08-10,112.87
2018-08-17,114.96
2018-08-24,112.15
2018-08-31,112.01
2018-09-07,112.74
2018-09-14,114.57
2018-09-21,114.91
2018-09-28,111.8
2018-10-05,106.49
2018-10-12,105.28
2018-10-19,110.29
2018-10-26,110.45
2018-11-02,111.17
2018-11-09,117.48
2018-11-16,118.35
2018-11-23,115.41
2018-11-30,121.94
2018-12-07,115.82
2018-12-14,113.95
2018-12-21,109.42
2018-12-28,110.36
2019-01-04,110.48
2019-01-11,108.16
2019-01-18,110.07
2019-01-25,109.35
2019-02-01,112.19
2019-02-08,113.015
2019-02-15,115.91
2019-02-22,116.76
2019-03-01,116.18
2019-03-08,115.23
2019-03-15,115.66
2019-03-22,120.72
2019-03-29,122.55
2019-04-05,121.62
2019-04-12,122.23
2019-04-19,127.09
2019-04-26,126.4
2019-05-03,127.67
2019-05-10,128.01
2019-05-17,130.51
2019-05-24,129.5
2019-05-31,128.0
2019-06-07,133.47
2019-06-14,132.73
2019-06-21,133.96
2019-06-28,131.13
2019-07-05,133.02
