date,value
2015-01-02,13.4
2015-01-09,13.32
2015-01-16,13.37
2015-01-23,13.51
2015-01-30,13.19
2015-02-06,13.49
2015-02-13,13.43
2015-02-20,13.48
2015-02-27,13.48
2015-03-06,13.1401
2015-03-13,13.07
2015-03-20,13.45
2015-03-27,13.27
2015-04-03,13.44
2015-04-10,13.54
2015-04-17,13.4429
2015-04-24,13.625
2015-05-01,13.48
2015-05-08,13.38
2015-05-15,13.39
2015-05-22,13.42
2015-05-29,13.34
2015-06-05,13.15
2015-06-12,13.22
2015-06-19,13.36
2015-06-26,13.4
2015-07-03,13.27
2015-07-10,13.33
2015-07-17,13.34
2015-07-24,13.05
2015-07-31,13.312
2015-08-07,13.2
2015-08-14,13.399
2015-08-21,12.9151
2015-08-28,12.88
2015-09-04,12.5201
2015-09-11,12.62
2015-09-18,12.68
2015-09-25,12.7
2015-10-02,12.82
2015-10-09,13.38
2015-10-16,13.47
2015-10-23,13.6301
2015-10-30,13.67
2015-11-06,13.56
2015-11-13,13.19
2015-11-20,13.575
2015-11-27,13.67
2015-12-04,13.51
2015-12-11,12.96
2015-12-18,12.92
2015-12-25,13.49
2016-01-01,13.35
2016-01-08,12.69
2016-01-15,12.41
2016-01-22,12.6
2016-01-29,13.08
2016-02-05,13.06
2016-02-12,12.82
2016-02-19,13.12
2016-02-26,13.24
2016-03-04,13.84
2016-03-11,14.04
2016-03-18,14.28
2016-03-25,14.055
2016-04-01,14.24
2016-04-08,14.0
2016-04-15,14.4
2016-04-22,14.72
2016-04-29,14.91
2016-05-06,14.67
2016-05-13,14.6
2016-05-20,14.65
2016-05-27,15.0
2016-06-03,15.14
2016-06-10,15.24
2016-06-17,15.15
2016-06-24,15.08
2016-07-01,15.56
2016-07-08,15.65
2016-07-15,15.95
2016-07-22,15.95
2016-07-29,15.89
2016-08-05,15.82
2016-08-12,15.8
2016-08-19,15.87
2016-08-26,15.77
2016-09-02,15.86
2016-09-09,15.48
2016-09-16,15.38
2016-09-23,15.73
2016-09-30,15.88
2016-10-07,15.62
2016-10-14,15.5
2016-10-21,15.5
2016-10-28,15.38
2016-11-04,15.25
2016-11-11,15.8458
2016-11-18,16.13
2016-11-25,16.47
2016-12-02,16.41
2016-12-09,17.15
2016-12-16,16.94
2016-12-23,17.06
2016-12-30,16.93
2017-01-06,17.02
2017-01-13,16.95
2017-01-20,17.01
2017-01-27,17.065
2017-02-03,17.02
2017-02-10,17.12
2017-02-17,17.03
2017-02-24,17.21
2017-03-03,17.24
2017-03-10,17.04
2017-03-17,17.05
2017-03-24,16.91
2017-03-31,17.07
2017-04-07,17.0
2017-04-14,16.83
2017-04-21,16.96
2017-04-28,17.0
2017-05-05,16.93
2017-05-12,16.75
2017-05-19,16.67
2017-05-26,16.835
2017-06-02,17.0
2017-06-09,17.07
2017-06-16,17.13
2017-06-23,16.86
2017-06-30,16.83
2017-07-07,16.72
2017-07-14,16.74
2017-07-21,16.96
2017-07-28,17.04
2017-08-04,17.03
2017-08-11,16.74
2017-08-18,16.57
2017-08-25,16.76
2017-09-01,16.805
2017-09-08,16.81
2017-09-15,17.165
2017-09-22,16.97
2017-09-29,17.15
2017-10-06,17.22
2017-10-13,17.36
2017-10-20,17.51
2017-10-27,17.33
2017-11-03,17.2
2017-11-10,17.22
2017-11-17,17.24
2017-11-24,17.26
2017-12-01,17.82
2017-12-08,17.91
2017-12-15,17.89
2017-12-22,17.81
2017-12-29,17.81
2018-01-05,17.97
2018-01-12,18.34
2018-01-19,18.41
2018-01-26,18.61
2018-02-02,17.8
2018-02-09,17.1
2018-02-16,17.56
2018-02-23,17.45
2018-03-02,17.1
2018-03-09,17.4
2018-03-16,17.31
2018-03-23,16.55
2018-03-30,17.02
2018-04-06,17.05
2018-04-13,17.21
2018-04-20,17.1
2018-04-27,17.26
2018-05-04,17.13
2018-05-11,17.18
2018-05-18,17.15
2018-05-25,17.3
2018-06-01,17.25
2018-06-08,17.45
2018-06-15,17.57
2018-06-22,17.67
2018-06-29,17.6
2018-07-06,17.93
2018-07-13,17.87
2018-07-20,17.79
2018-07-27,17.86
2018-08-03,18.16
2018-08-10,17.72
2018-08-17,18.14
2018-08-24,18.09
2018-08-31,18.01
2018-09-07,18.17
2018-09-14,18.31
2018-09-21,18.34
2018-09-28,17.94
2018-10-05,18.0
2018-10-12,17.38
2018-10-19,17.8
2018-10-26,17.01
2018-11-02,17.19
2018-11-09,17.69
2018-11-16,17.48
2018-11-23,17.0
2018-11-30,17.39
2018-12-07,17.0
2018-12-14,16.74
2018-12-21,15.7
2018-12-28,15.75
2019-01-04,16.11
2019-01-11,16.61
2019-01-18,16.9
2019-01-25,16.69
2019-02-01,17.08
2019-02-08,17.18
2019-02-15,17.64
2019-02-22,17.88
2019-03-01,17.83
2019-03-08,17.54
2019-03-15,17.89
2019-03-22,17.7
2019-03-29,17.87
2019-04-05,18.13
2019-04-12,18.17
2019-04-19,18.17
2019-04-26,18.15
2019-05-03,18.22
2019-05-10,17.97
2019-05-17,17.83
2019-05-24,17.69
2019-05-31,17.05
2019-06-07,17.86
2019-06-14,17.95
2019-06-21,18.2
2019-06-28,18.14
2019-07-05,18.38
2019-07-12,18.43
2019-07-19,18.35
2019-07-26,18.51
2019-08-02,18.04
2019-08-09,17.68
2019-08-16,17.59
2019-08-23,17.39
2019-08-30,17.59
2019-09-06,17.93
2019-09-13,18.49
2019-09-20,18.33
2019-09-27,18.29
2019-10-04,18.02
2019-10-11,17.98
2019-10-18,18.14
2019-10-25,18.34
2019-11-01,18.42
2019-11-08,18.51
2019-11-15,18.48
2019-11-22,18.32
2019-11-29,18.46
2019-12-06,18.54
2019-12-13,18.63
2019-12-20,19.01
2019-12-27,18.9
2020-01-03,18.9
