date,value
2015-01-02,39.61
2015-01-09,39.67
2015-01-16,39.67
2015-01-23,39.82
2015-01-30,39.96
2015-02-06,39.78
2015-02-13,40.0
2015-02-20,39.84
2015-02-27,40.16
2015-03-06,39.7
2015-03-13,39.74
2015-03-20,40.05
2015-03-27,40.08
2015-04-03,39.97
2015-04-10,40.02
2015-04-17,39.92
2015-04-24,40.05
2015-05-01,39.68
2015-05-08,39.57
2015-05-15,39.83
2015-05-22,39.86
2015-05-29,39.75
2015-06-05,39.47
2015-06-12,39.31
2015-06-19,39.24
2015-06-26,39.31
2015-07-03,39.1
2015-07-10,39.07
2015-07-17,39.5
2015-07-24,39.33
2015-07-31,39.52
2015-08-07,39.3
2015-08-14,39.42
2015-08-21,39.01
2015-08-28,39.1
2015-09-04,38.86
2015-09-11,38.85
2015-09-18,38.86
2015-09-25,38.9
2015-10-02,38.44
2015-10-09,38.79
2015-10-16,39.09
2015-10-23,39.15
2015-10-30,39.26
2015-11-06,38.99
2015-11-13,39.1
2015-11-20,39.12
2015-11-27,39.46
2015-12-04,39.02
2015-12-11,38.48
2015-12-18,38.43
2015-12-25,38.67
2016-01-01,38.85
2016-01-08,38.84
2016-01-15,38.22
2016-01-22,38.21
2016-01-29,38.47
2016-02-05,37.88
2016-02-12,36.57
2016-02-19,37.87
2016-02-26,38.21
2016-03-04,38.23
2016-03-11,38.58
2016-03-18,38.66
2016-03-25,38.76
2016-04-01,38.59
2016-04-08,38.48
2016-04-15,38.76
2016-04-22,39.03
2016-04-29,39.18
2016-05-06,38.98
2016-05-13,39.23
2016-05-20,39.17
2016-05-27,39.51
2016-06-03,39.68
2016-06-10,39.48
2016-06-17,39.48
2016-06-24,39.47
2016-07-01,39.81
2016-07-08,39.71
2016-07-15,40.07
2016-07-22,40.07
2016-07-29,40.27
2016-08-05,40.13
2016-08-12,40.14
2016-08-19,39.99
2016-08-26,40.1
2016-09-02,39.96
2016-09-09,39.53
2016-09-16,39.35
2016-09-23,39.83
2016-09-30,39.5
2016-10-07,39.17
2016-10-14,38.87
2016-10-21,39.36
2016-10-28,39.02
2016-11-04,38.14
2016-11-11,37.34
2016-11-18,37.16
2016-11-25,37.67
2016-12-02,37.02
2016-12-09,37.13
2016-12-16,37.12
2016-12-23,37.35
2016-12-30,37.21
2017-01-06,37.9
2017-01-13,38.11
2017-01-20,37.75
2017-01-27,37.97
2017-02-03,38.16
2017-02-10,38.46
2017-02-17,38.5
2017-02-24,38.74
2017-03-03,38.37
2017-03-10,37.9
2017-03-17,38.46
2017-03-24,38.46
2017-03-31,38.7
2017-04-07,38.71
2017-04-14,38.72
2017-04-21,38.93
2017-04-28,39.01
2017-05-05,38.91
2017-05-12,38.89
2017-05-19,38.75
2017-05-26,39.08
2017-06-02,38.98
2017-06-09,38.79
2017-06-16,38.98
2017-06-23,39.15
2017-06-30,39.17
2017-07-07,39.01
2017-07-14,39.06
2017-07-21,39.3
2017-07-28,39.27
2017-08-04,39.11
2017-08-11,38.63
2017-08-18,38.77
2017-08-25,38.85
2017-09-01,38.83
2017-09-08,38.76
2017-09-15,38.91
2017-09-22,38.79
2017-09-29,38.81
2017-10-06,38.31
2017-10-13,38.55
2017-10-20,38.59
2017-10-27,38.51
2017-11-03,38.3
2017-11-10,38.19
2017-11-17,38.38
2017-11-24,38.64
2017-12-01,38.46
2017-12-08,38.54
2017-12-15,38.38
2017-12-22,38.11
2017-12-29,38.07
2018-01-05,37.97
2018-01-12,38.12
2018-01-19,37.95
2018-01-26,37.9
2018-02-02,36.97
2018-02-09,36.84
2018-02-16,37.08
2018-02-23,37.3
2018-03-02,37.27
2018-03-09,37.56
2018-03-16,37.67
2018-03-23,37.43
2018-03-30,37.56
2018-04-06,37.2
2018-04-13,37.17
2018-04-20,37.29
2018-04-27,37.1
2018-05-04,36.99
2018-05-11,37.06
2018-05-18,36.96
2018-05-25,37.16
2018-06-01,37.19
2018-06-08,37.51
2018-06-15,37.58
2018-06-22,37.57
2018-06-29,37.71
2018-07-06,38.0
2018-07-13,37.67
2018-07-20,37.74
2018-07-27,37.6
2018-08-03,37.47
2018-08-10,37.34
2018-08-17,37.56
2018-08-24,37.76
2018-08-31,37.94
2018-09-07,37.1
2018-09-14,37.34
2018-09-21,37.15
2018-09-28,37.13
2018-10-05,36.05
2018-10-12,35.85
2018-10-19,36.21
2018-10-26,36.1
2018-11-02,35.89
2018-11-09,36.11
2018-11-16,35.76
2018-11-23,35.37
2018-11-30,35.18
2018-12-07,34.75
2018-12-14,34.56
2018-12-21,33.62
2018-12-28,33.9
2019-01-04,34.98
2019-01-11,35.36
2019-01-18,35.5
2019-01-25,35.79
2019-02-01,35.85
2019-02-08,35.65
2019-02-15,36.15
2019-02-22,36.22
2019-03-01,36.29
2019-03-08,36.34
2019-03-15,36.63
2019-03-22,36.39
2019-03-29,36.55
2019-04-05,36.81
2019-04-12,36.68
2019-04-19,36.55
2019-04-26,36.58
2019-05-03,36.49
2019-05-10,36.44
2019-05-17,36.52
2019-05-24,36.61
2019-05-31,36.54
2019-06-07,36.72
2019-06-14,36.82
2019-06-21,36.96
2019-06-28,36.85
2019-07-05,36.85
2019-07-12,37.0
2019-07-19,37.19
2019-07-26,37.32
2019-08-02,37.25
2019-08-09,37.06
2019-08-16,37.25
2019-08-23,37.32
2019-08-30,37.41
2019-09-06,37.45
2019-09-13,36.91
2019-09-20,37.41
2019-09-27,37.41
2019-10-04,37.29
2019-10-11,37.36
2019-10-18,37.55
2019-10-25,37.65
2019-11-01,37.35
2019-11-08,37.04
2019-11-15,37.32
2019-11-22,37.19
2019-11-29,37.2
2019-12-06,36.86
2019-12-13,37.24
2019-12-20,37.44
2019-12-27,37.51
2020-01-03,37.89
