date,value
2015-01-02,25.4195
2015-01-09,25.62
2015-01-16,25.66
2015-01-23,25.76
2015-01-30,25.84
2015-02-06,25.72
2015-02-13,25.58
2015-02-20,25.62
2015-02-27,25.6601
2015-03-06,25.47
2015-03-13,25.508
2015-03-20,25.81
2015-03-27,25.75
2015-04-03,25.88
2015-04-10,25.6584
2015-04-17,25.7512
2015-04-24,25.711
2015-05-01,25.54
2015-05-08,25.57
2015-05-15,25.46
2015-05-22,25.42
2015-05-29,25.53
2015-06-05,25.3099
2015-06-12,25.2612
2015-06-19,25.34
2015-06-26,25.17
2015-07-03,25.4299
2015-07-10,25.3726
2015-07-17,25.34
2015-07-24,25.13
2015-07-31,25.52
2015-08-07,25.225
2015-08-14,25.19
2015-08-21,25.3
2015-08-28,25.295
2015-09-04,25.15
2015-09-11,25.15
2015-09-18,25.2399
2015-09-25,25.27
2015-10-02,25.318
2015-10-09,25.33
2015-10-16,25.2919
2015-10-23,25.435
2015-10-30,25.31
2015-11-06,25.03
2015-11-13,25.38
2015-11-20,25.038
2015-11-27,25.098
2015-12-04,25.17
2015-12-11,25.08
2015-12-18,24.9458
2015-12-25,24.83
2016-01-01,25.02
2016-01-08,25.1039
2016-01-15,24.9715
2016-01-22,24.95
2016-01-29,24.96
2016-02-05,24.965
2016-02-12,24.88
2016-02-19,25.12
2016-02-26,25.041
2016-03-04,25.1154
2016-03-11,25.21
2016-03-18,25.45
2016-03-25,25.36
2016-04-01,25.62
2016-04-08,25.72
2016-04-15,25.6483
2016-04-22,25.6994
2016-04-29,25.75
2016-05-06,25.81
2016-05-13,25.82
2016-05-20,25.72
2016-05-27,25.68
2016-06-03,25.93
2016-06-10,25.9491
2016-06-17,25.8807
2016-06-24,25.9545
2016-07-01,26.0
2016-07-08,26.14
2016-07-15,26.0021
2016-07-22,26.102
2016-07-29,26.15
2016-08-05,26.049
2016-08-12,26.17
2016-08-19,26.01
2016-08-26,25.996
2016-09-02,26.046
2016-09-09,26.01
2016-09-16,25.891
2016-09-23,26.06
2016-09-30,26.0396
2016-10-07,25.94
2016-10-14,25.95
2016-10-21,25.99
2016-10-28,25.8666
2016-11-04,25.838
2016-11-11,25.5215
2016-11-18,25.3
2016-11-25,25.28
2016-12-02,25.28
2016-12-09,25.27
2016-12-16,25.1199
2016-12-23,25.1716
2016-12-30,25.2201
2017-01-06,25.385
2017-01-13,25.318
2017-01-20,25.325
2017-01-27,25.26
2017-02-03,25.3101
2017-02-10,25.3841
2017-02-17,25.31
2017-02-24,25.43
2017-03-03,25.28
2017-03-10,25.1799
2017-03-17,25.2122
2017-03-24,25.3184
2017-03-31,25.3247
2017-04-07,25.42
2017-04-14,25.44
2017-04-21,25.5302
2017-04-28,25.4747
2017-05-05,25.474
2017-05-12,25.54
2017-05-19,25.5618
2017-05-26,25.5638
2017-06-02,25.6957
2017-06-09,25.6485
2017-06-16,25.6227
2017-06-23,25.63
2017-06-30,25.61
2017-07-07,25.57
2017-07-14,25.66
2017-07-21,25.76
2017-07-28,25.72
2017-08-04,25.73
2017-08-11,25.74
2017-08-18,25.71
2017-08-25,25.7
2017-09-01,25.78
2017-09-08,25.8568
2017-09-15,25.73
2017-09-22,25.67
2017-09-29,25.6397
2017-10-06,25.6635
2017-10-13,25.724
2017-10-20,25.66
2017-10-27,25.6176
2017-11-03,25.6703
2017-11-10,25.57
2017-11-17,25.6
2017-11-24,25.6
2017-12-01,25.53
2017-12-08,25.58
2017-12-15,25.54
2017-12-22,25.38
2017-12-29,25.57
2018-01-05,25.53
2018-01-12,25.49
2018-01-19,25.41
2018-01-26,25.33
2018-02-02,25.22
2018-02-09,25.08
2018-02-16,25.06
2018-02-23,25.0
2018-03-02,24.93
2018-03-09,24.95
2018-03-16,24.95
2018-03-23,24.86
2018-03-30,24.91
2018-04-06,24.95
2018-04-13,24.9
2018-04-20,24.78
2018-04-27,24.72
2018-05-04,24.68
2018-05-11,24.68
2018-05-18,24.67
2018-05-25,24.72
2018-06-01,24.76
2018-06-08,24.69
2018-06-15,24.73
2018-06-22,24.63
2018-06-29,24.71
2018-07-06,24.75
2018-07-13,24.81
2018-07-20,24.8
2018-07-27,24.74
2018-08-03,24.81
2018-08-10,24.84
2018-08-17,24.91
2018-08-24,24.87
2018-08-31,24.83
2018-09-07,24.73
2018-09-14,24.72
2018-09-21,24.71
2018-09-28,24.67
2018-10-05,24.56
2018-10-12,24.57
2018-10-19,24.54
2018-10-26,24.6
2018-11-02,24.4
2018-11-09,24.48
2018-11-16,24.51
2018-11-23,24.4865
2018-11-30,24.43
2018-12-07,24.55
2018-12-14,24.52
2018-12-21,24.53
2018-12-28,24.62
2019-01-04,24.65
2019-01-11,24.65
2019-01-18,24.76
2019-01-25,24.76
2019-02-01,24.95
2019-02-08,25.04
2019-02-15,25.06
2019-02-22,25.0128
2019-03-01,25.0
2019-03-08,25.13
2019-03-15,25.18
2019-03-22,25.36
2019-03-29,25.38
2019-04-05,25.32
2019-04-12,25.34
2019-04-19,25.33
2019-04-26,25.42
2019-05-03,25.32
2019-05-10,25.37
2019-05-17,25.47
2019-05-24,25.47
2019-05-31,25.61
2019-06-07,25.69
2019-06-14,25.71
2019-06-21,25.91
2019-06-28,25.93
2019-07-05,25.9
2019-07-12,25.87
2019-07-19,25.93
2019-07-26,25.9
2019-08-02,26.07
2019-08-09,26.11
2019-08-16,26.255
2019-08-23,26.27
2019-08-30,26.28
2019-09-06,26.29
2019-09-13,25.97
2019-09-20,26.22
2019-09-27,26.15
2019-10-04,26.39
2019-10-11,26.19
2019-10-18,26.26
2019-10-25,26.18
2019-11-01,26.29
2019-11-08,26.09
2019-11-15,26.22
2019-11-22,26.2
2019-11-29,26.23
2019-12-06,26.23
2019-12-13,26.3
2019-12-20,26.24
2019-12-27,26.27
2020-01-03,26.35
