date,value
2015-01-02,90.44
2015-01-09,90.25
2015-01-16,91.25
2015-01-23,90.08
2015-01-30,84.29
2015-02-06,85.61
2015-02-13,85.9
2015-02-20,84.87
2015-02-27,85.13
2015-03-06,82.66
2015-03-13,81.83
2015-03-20,84.74
2015-03-27,82.31
2015-04-03,82.43
2015-04-10,83.35
2015-04-17,82.53
2015-04-24,81.0
2015-05-01,80.29
2015-05-08,80.96
2015-05-15,81.05
2015-05-22,79.95
2015-05-29,78.39
2015-06-05,77.43
2015-06-12,78.87
2015-06-19,80.54
2015-06-26,79.34
2015-07-03,79.93
2015-07-10,80.95
2015-07-17,82.24
2015-07-24,80.29
2015-07-31,76.7
2015-08-07,75.48
2015-08-14,75.62
2015-08-21,71.84
2015-08-28,71.21
2015-09-04,68.76
2015-09-11,68.42
2015-09-18,69.94
2015-09-25,72.67
2015-10-02,72.42
2015-10-09,74.48
2015-10-16,74.9
2015-10-23,77.03
2015-10-30,76.38
2015-11-06,75.57
2015-11-13,73.96
2015-11-20,75.82
2015-11-27,75.7
2015-12-04,77.83
2015-12-11,77.78
2015-12-18,78.13
2015-12-25,79.79
2016-01-01,79.41
2016-01-08,75.97
2016-01-15,74.98
2016-01-22,77.36
2016-01-29,81.69
2016-02-05,81.2
2016-02-12,80.99
2016-02-19,81.79
2016-02-26,81.1
2016-03-04,83.49
2016-03-11,81.75
2016-03-18,83.15
2016-03-25,82.89
2016-04-01,83.53
2016-04-08,83.2
2016-04-15,82.3
2016-04-22,80.95
2016-04-29,80.12
2016-05-06,82.13
2016-05-13,81.23
2016-05-20,80.02
2016-05-27,81.43
2016-06-03,82.47
2016-06-10,83.2
2016-06-17,83.13
2016-06-24,82.26
2016-07-01,84.78
2016-07-08,85.77
2016-07-15,86.01
2016-07-22,85.72
2016-07-29,85.59
2016-08-05,85.78
2016-08-12,87.04
2016-08-19,87.31
2016-08-26,87.58
2016-09-02,88.2
2016-09-09,86.24
2016-09-16,88.05
2016-09-23,87.76
2016-09-30,89.75
2016-10-07,90.0
2016-10-14,88.43
2016-10-21,84.33
2016-10-28,86.84
2016-11-04,85.08
2016-11-11,83.58
2016-11-18,82.0
2016-11-25,83.46
2016-12-02,82.4
2016-12-09,84.37
2016-12-16,84.68
2016-12-23,84.96
2016-12-30,84.08
2017-01-06,85.03
2017-01-13,84.01
2017-01-20,87.45
2017-01-27,86.72
2017-02-03,87.41
2017-02-10,87.97
2017-02-17,91.09
2017-02-24,91.05
2017-03-03,90.5
2017-03-10,91.07
2017-03-17,91.0
2017-03-24,90.57
2017-03-31,89.85
2017-04-07,89.23
2017-04-14,90.03
2017-04-21,88.62
2017-04-28,87.33
2017-05-05,86.5
2017-05-12,86.19
2017-05-19,86.24
2017-05-26,87.25
2017-06-02,88.59
2017-06-09,88.16
2017-06-16,89.66
2017-06-23,89.42
2017-06-30,87.15
2017-07-07,87.65
2017-07-14,87.1
2017-07-21,88.61
2017-07-28,90.21
2017-08-04,90.67
2017-08-11,91.34
2017-08-18,92.47
2017-08-25,92.51
2017-09-01,92.53
2017-09-08,92.84
2017-09-15,93.27
2017-09-22,92.24
2017-09-29,90.98
2017-10-06,92.33
2017-10-13,93.04
2017-10-20,88.25
2017-10-27,87.04
2017-11-03,86.58
2017-11-10,88.16
2017-11-17,88.43
2017-11-24,88.45
2017-12-01,90.36
2017-12-08,90.37
2017-12-15,91.89
2017-12-22,92.13
2017-12-29,91.88
2018-01-05,91.24
2018-01-12,89.61
2018-01-19,91.07
2018-01-26,87.73
2018-02-02,84.25
2018-02-09,79.92
2018-02-16,82.6
2018-02-23,81.05
2018-03-02,79.5
2018-03-09,80.29
2018-03-16,78.97
2018-03-23,75.91
2018-03-30,79.28
2018-04-06,78.43
2018-04-13,78.37
2018-04-20,73.8
2018-04-27,72.81
2018-05-04,72.43
2018-05-11,73.37
2018-05-18,73.45
2018-05-25,74.31
2018-06-01,73.45
2018-06-08,77.18
2018-06-15,77.38
2018-06-22,77.43
2018-06-29,78.06
2018-07-06,79.31
2018-07-13,79.31
2018-07-20,78.68
2018-07-27,80.58
2018-08-03,82.33
2018-08-10,81.43
2018-08-17,83.69
2018-08-24,83.36
2018-08-31,82.95
2018-09-07,81.91
2018-09-14,83.61
2018-09-21,85.82
2018-09-28,83.23
2018-10-05,82.15
2018-10-12,79.06
2018-10-19,87.3
2018-10-26,87.86
2018-11-02,89.81
2018-11-09,92.41
2018-11-16,93.82
2018-11-23,91.54
2018-11-30,94.51
2018-12-07,92.45
2018-12-14,96.64
2018-12-21,90.97
2018-12-28,91.18
2019-01-04,92.49
2019-01-11,91.77
2019-01-18,91.42
2019-01-25,93.6
2019-02-01,97.47
2019-02-08,97.71
2019-02-15,98.48
2019-02-22,100.25
2019-03-01,98.44
2019-03-08,98.41
2019-03-15,102.44
2019-03-22,101.66
2019-03-29,104.05
2019-04-05,103.65
2019-04-12,105.06
2019-04-19,106.05
2019-04-26,105.86
2019-05-03,106.08
2019-05-10,106.01
2019-05-17,107.45
2019-05-24,106.69
2019-05-31,102.91
2019-06-07,108.77
2019-06-14,111.2
2019-06-21,111.2
2019-06-28,109.65
2019-07-05,113.15
2019-07-12,114.99
2019-07-19,115.01
2019-07-26,114.73
2019-08-02,116.44
2019-08-09,116.78
2019-08-16,119.18
2019-08-23,117.32
2019-08-30,120.23
2019-09-06,122.87
2019-09-13,122.12
2019-09-20,122.24
2019-09-27,124.57
2019-10-04,124.0
2019-10-11,121.09
2019-10-18,117.47
