date,value
2015-01-02,23.37
2015-01-09,23.369
2015-01-16,23.1157
2015-01-23,23.16
2015-01-30,23.17
2015-02-06,23.35
2015-02-13,23.27
2015-02-20,23.4206
2015-02-27,23.384
2015-03-06,23.489
2015-03-13,23.36
2015-03-20,23.25
2015-03-27,23.282
2015-04-03,23.45
2015-04-10,23.55
2015-04-17,23.5778
2015-04-24,23.639
2015-05-01,23.3479
2015-05-08,23.7008
2015-05-15,23.501
2015-05-22,23.4001
2015-05-29,23.5362
2015-06-05,23.6176
2015-06-12,23.674
2015-06-19,23.5845
2015-06-26,23.4656
2015-07-03,23.66
2015-07-10,23.61
2015-07-17,23.68
2015-07-24,23.69
2015-07-31,23.74
2015-08-07,23.35
2015-08-14,23.47
2015-08-21,23.28
2015-08-28,23.2801
2015-09-04,23.51
2015-09-11,23.4847
2015-09-18,23.3378
2015-09-25,23.2499
2015-10-02,23.148
2015-10-09,23.2099
2015-10-16,23.3199
2015-10-23,23.31
2015-10-30,23.322
2015-11-06,23.66
2015-11-13,23.1601
2015-11-20,23.374
2015-11-27,23.46
2015-12-04,23.29
2015-12-11,23.13
2015-12-18,22.8708
2015-12-25,22.8001
2016-01-01,22.92
2016-01-08,22.9599
2016-01-15,22.42
2016-01-22,22.47
2016-01-29,22.54
2016-02-05,22.4856
2016-02-12,22.275
2016-02-19,22.37
2016-02-26,22.62
2016-03-04,22.842
2016-03-11,23.15
2016-03-18,23.2265
2016-03-25,23.1345
2016-04-01,23.32
2016-04-08,23.2395
2016-04-15,23.31
2016-04-22,23.52
2016-04-29,23.46
2016-05-06,23.52
2016-05-13,23.53
2016-05-20,23.7
2016-05-27,23.6201
2016-06-03,23.77
2016-06-10,23.95
2016-06-17,23.745
2016-06-24,23.7359
2016-07-01,24.06
2016-07-08,24.21
2016-07-15,24.0938
2016-07-22,24.19
2016-07-29,24.47
2016-08-05,24.2
2016-08-12,24.374
2016-08-19,24.25
2016-08-26,24.315
2016-09-02,24.29
2016-09-09,24.39
2016-09-16,24.1151
2016-09-23,24.26
2016-09-30,24.3486
2016-10-07,24.4899
2016-10-14,24.3
2016-10-21,24.26
2016-10-28,24.12
2016-11-04,24.25
2016-11-11,24.12
2016-11-18,24.21
2016-11-25,24.28
2016-12-02,24.36
2016-12-09,24.4715
2016-12-16,24.29
2016-12-23,24.39
2016-12-30,24.4396
2017-01-06,24.57
2017-01-13,24.4602
2017-01-20,24.56
2017-01-27,24.54
2017-02-03,24.6738
2017-02-10,24.64
2017-02-17,24.53
2017-02-24,24.65
2017-03-03,24.68
2017-03-10,24.63
2017-03-17,24.48
2017-03-24,24.5
2017-03-31,24.58
2017-04-07,24.5
2017-04-14,24.466
2017-04-21,24.44
2017-04-28,24.54
2017-05-05,24.52
2017-05-12,24.56
2017-05-19,24.41
2017-05-26,24.47
